video_name,thin_count,wide_count,final,category
v_BenchPress_g02_c06,2,3,wide,BenchPress
v_BenchPress_g05_c03,2,3,wide,BenchPress
v_BenchPress_g07_c07,2,3,wide,BenchPress
v_BenchPress_g15_c03,2,3,wide,BenchPress
v_BenchPress_g15_c04,2,3,wide,BenchPress
v_BenchPress_g17_c02,2,3,wide,BenchPress
v_BenchPress_g17_c06,1,4,wide,BenchPress
v_BenchPress_g18_c05,4,1,thin,BenchPress
v_BenchPress_g18_c07,3,2,thin,BenchPress
v_BenchPress_g22_c03,1,4,wide,BenchPress
v_BenchPress_g22_c05,2,3,wide,BenchPress
v_BenchPress_g22_c06,2,3,wide,BenchPress
v_BenchPress_g23_c01,4,1,thin,BenchPress
v_Biking_g06_c04,3,2,thin,Biking
v_Biking_g06_c05,5,0,thin,Biking
v_Biking_g07_c06,3,2,thin,Biking
v_Biking_g13_c03,5,0,thin,Biking
v_Biking_g14_c04,1,4,wide,Biking
v_Biking_g15_c04,1,4,wide,Biking
v_Biking_g15_c05,2,3,wide,Biking
v_Biking_g20_c02,3,2,thin,Biking
v_Biking_g20_c03,3,2,thin,Biking
v_Billiards_g02_c03,3,2,thin,Billiards
v_Billiards_g02_c06,3,2,thin,Billiards
v_Billiards_g04_c01,4,1,thin,Billiards
v_Billiards_g07_c01,3,2,thin,Billiards
v_Billiards_g23_c04,3,2,thin,Billiards
v_BlowDryHair_g02_c01,0,5,wide,BlowDryHair
v_BlowDryHair_g02_c03,2,3,wide,BlowDryHair
v_BlowDryHair_g03_c03,2,3,wide,BlowDryHair
v_BlowDryHair_g04_c01,4,1,thin,BlowDryHair
v_BlowDryHair_g05_c03,2,3,wide,BlowDryHair
v_BlowDryHair_g05_c04,1,4,wide,BlowDryHair
v_BlowDryHair_g08_c01,1,4,wide,BlowDryHair
v_BlowDryHair_g08_c06,0,5,wide,BlowDryHair
v_BlowDryHair_g09_c01,3,2,thin,BlowDryHair
v_BlowDryHair_g12_c03,1,4,wide,BlowDryHair
v_BlowDryHair_g13_c03,1,4,wide,BlowDryHair
v_BlowDryHair_g13_c04,1,4,wide,BlowDryHair
v_BlowDryHair_g15_c05,3,2,thin,BlowDryHair
v_BlowDryHair_g17_c01,1,4,wide,BlowDryHair
v_BlowDryHair_g17_c03,2,3,wide,BlowDryHair
v_BlowDryHair_g19_c02,3,2,thin,BlowDryHair
v_BlowDryHair_g21_c01,2,3,wide,BlowDryHair
v_BlowDryHair_g21_c03,0,5,wide,BlowDryHair
v_BlowDryHair_g21_c04,2,3,wide,BlowDryHair
v_BlowDryHair_g23_c07,3,2,thin,BlowDryHair
v_BlowDryHair_g24_c02,0,5,wide,BlowDryHair
v_BlowDryHair_g25_c01,0,5,wide,BlowDryHair
v_BlowDryHair_g25_c03,1,4,wide,BlowDryHair
v_BlowingCandles_g01_c04,5,0,thin,BlowingCandles
v_BlowingCandles_g02_c01,0,5,wide,BlowingCandles
v_BlowingCandles_g02_c02,0,5,wide,BlowingCandles
v_BlowingCandles_g07_c01,5,0,thin,BlowingCandles
v_BlowingCandles_g08_c04,2,3,wide,BlowingCandles
v_BlowingCandles_g09_c03,3,2,thin,BlowingCandles
v_BlowingCandles_g11_c01,2,3,wide,BlowingCandles
v_BlowingCandles_g11_c04,1,4,wide,BlowingCandles
v_BlowingCandles_g12_c03,3,2,thin,BlowingCandles
v_BlowingCandles_g17_c02,1,4,wide,BlowingCandles
v_BlowingCandles_g19_c01,2,3,wide,BlowingCandles
v_BlowingCandles_g19_c04,0,5,wide,BlowingCandles
v_BlowingCandles_g20_c01,3,2,thin,BlowingCandles
v_BlowingCandles_g21_c04,1,4,wide,BlowingCandles
v_BlowingCandles_g22_c01,1,4,wide,BlowingCandles
v_BlowingCandles_g22_c03,0,5,wide,BlowingCandles
v_BlowingCandles_g24_c01,2,3,wide,BlowingCandles
v_BlowingCandles_g24_c02,2,3,wide,BlowingCandles
v_BodyWeightSquats_g05_c02,1,4,wide,BodyWeightSquats
v_BodyWeightSquats_g06_c05,4,1,thin,BodyWeightSquats
v_BodyWeightSquats_g07_c01,1,4,wide,BodyWeightSquats
v_BodyWeightSquats_g07_c03,1,4,wide,BodyWeightSquats
v_BodyWeightSquats_g09_c05,4,1,thin,BodyWeightSquats
v_BodyWeightSquats_g09_c06,5,0,thin,BodyWeightSquats
v_BodyWeightSquats_g09_c07,5,0,thin,BodyWeightSquats
v_BodyWeightSquats_g11_c04,3,2,thin,BodyWeightSquats
v_BodyWeightSquats_g12_c01,5,0,thin,BodyWeightSquats
v_BodyWeightSquats_g15_c01,2,3,wide,BodyWeightSquats
v_BodyWeightSquats_g19_c01,1,4,wide,BodyWeightSquats
v_BodyWeightSquats_g21_c03,1,4,wide,BodyWeightSquats
v_BodyWeightSquats_g24_c02,2,3,wide,BodyWeightSquats
v_Bowling_g25_c01,5,0,thin,Bowling
v_Bowling_g25_c05,4,1,thin,Bowling
v_BoxingPunchingBag_g04_c04,1,4,wide,BoxingPunchingBag
v_BoxingPunchingBag_g04_c05,0,5,wide,BoxingPunchingBag
v_BoxingPunchingBag_g04_c06,0,5,wide,BoxingPunchingBag
v_BoxingPunchingBag_g11_c03,3,2,thin,BoxingPunchingBag
v_BoxingPunchingBag_g11_c04,3,2,thin,BoxingPunchingBag
v_BoxingPunchingBag_g12_c03,2,3,wide,BoxingPunchingBag
v_BoxingPunchingBag_g12_c06,2,3,wide,BoxingPunchingBag
v_BoxingPunchingBag_g12_c07,2,3,wide,BoxingPunchingBag
v_BoxingPunchingBag_g17_c02,2,3,wide,BoxingPunchingBag
v_BoxingPunchingBag_g19_c07,3,2,thin,BoxingPunchingBag
v_BoxingSpeedBag_g01_c01,2,3,wide,BoxingSpeedBag
v_BoxingSpeedBag_g08_c05,5,0,thin,BoxingSpeedBag
v_BoxingSpeedBag_g09_c05,3,2,thin,BoxingSpeedBag
v_BoxingSpeedBag_g14_c01,2,3,wide,BoxingSpeedBag
v_BoxingSpeedBag_g15_c04,1,4,wide,BoxingSpeedBag
v_BoxingSpeedBag_g15_c06,2,3,wide,BoxingSpeedBag
v_BoxingSpeedBag_g15_c07,1,4,wide,BoxingSpeedBag
v_BoxingSpeedBag_g18_c01,4,1,thin,BoxingSpeedBag
v_BreastStroke_g03_c04,2,3,wide,BreastStroke
v_BreastStroke_g05_c02,0,5,wide,BreastStroke
v_BreastStroke_g08_c02,2,3,wide,BreastStroke
v_BreastStroke_g12_c01,2,3,wide,BreastStroke
v_BreastStroke_g24_c01,2,3,wide,BreastStroke
v_BrushingTeeth_g01_c01,0,5,wide,BrushingTeeth
v_BrushingTeeth_g02_c03,5,0,thin,BrushingTeeth
v_BrushingTeeth_g02_c06,5,0,thin,BrushingTeeth
v_BrushingTeeth_g02_c07,3,2,thin,BrushingTeeth
v_BrushingTeeth_g04_c02,0,5,wide,BrushingTeeth
v_BrushingTeeth_g07_c05,3,2,thin,BrushingTeeth
v_BrushingTeeth_g16_c01,2,3,wide,BrushingTeeth
v_BrushingTeeth_g16_c03,1,4,wide,BrushingTeeth
v_BrushingTeeth_g17_c03,4,1,thin,BrushingTeeth
v_BrushingTeeth_g17_c05,5,0,thin,BrushingTeeth
v_CleanAndJerk_g03_c01,2,3,wide,CleanAndJerk
v_CleanAndJerk_g04_c02,3,2,thin,CleanAndJerk
v_CleanAndJerk_g04_c05,4,1,thin,CleanAndJerk
v_CleanAndJerk_g06_c03,2,3,wide,CleanAndJerk
v_CleanAndJerk_g06_c04,1,4,wide,CleanAndJerk
v_CleanAndJerk_g09_c03,5,0,thin,CleanAndJerk
v_CleanAndJerk_g10_c01,2,3,wide,CleanAndJerk
v_CleanAndJerk_g10_c02,2,3,wide,CleanAndJerk
v_CleanAndJerk_g13_c02,3,2,thin,CleanAndJerk
v_CleanAndJerk_g19_c02,1,4,wide,CleanAndJerk
v_CleanAndJerk_g19_c03,1,4,wide,CleanAndJerk
v_CleanAndJerk_g20_c03,3,2,thin,CleanAndJerk
v_CleanAndJerk_g20_c04,5,0,thin,CleanAndJerk
v_CleanAndJerk_g21_c01,2,3,wide,CleanAndJerk
v_CleanAndJerk_g21_c04,0,5,wide,CleanAndJerk
v_CleanAndJerk_g23_c03,1,4,wide,CleanAndJerk
v_CleanAndJerk_g25_c02,2,3,wide,CleanAndJerk
v_CleanAndJerk_g25_c03,2,3,wide,CleanAndJerk
v_CliffDiving_g04_c04,2,3,wide,CliffDiving
v_CliffDiving_g05_c04,3,2,thin,CliffDiving
v_CliffDiving_g05_c05,3,2,thin,CliffDiving
v_CliffDiving_g05_c06,3,2,thin,CliffDiving
v_CliffDiving_g07_c05,1,4,wide,CliffDiving
v_CliffDiving_g09_c03,2,3,wide,CliffDiving
v_CliffDiving_g11_c05,2,3,wide,CliffDiving
v_CliffDiving_g12_c02,4,1,thin,CliffDiving
v_CliffDiving_g12_c04,5,0,thin,CliffDiving
v_CliffDiving_g12_c05,3,2,thin,CliffDiving
v_CliffDiving_g20_c02,2,3,wide,CliffDiving
v_CliffDiving_g20_c05,2,3,wide,CliffDiving
v_CliffDiving_g21_c01,1,4,wide,CliffDiving
v_CliffDiving_g22_c01,1,4,wide,CliffDiving
v_CliffDiving_g25_c03,1,4,wide,CliffDiving
v_CricketBowling_g05_c02,4,1,thin,CricketBowling
v_CricketBowling_g06_c03,2,3,wide,CricketBowling
v_CricketBowling_g07_c01,1,4,wide,CricketBowling
v_CricketBowling_g07_c04,0,5,wide,CricketBowling
v_CricketBowling_g12_c03,3,2,thin,CricketBowling
v_CricketBowling_g12_c05,4,1,thin,CricketBowling
v_CricketBowling_g14_c01,2,3,wide,CricketBowling
v_CricketBowling_g22_c04,2,3,wide,CricketBowling
v_CricketBowling_g22_c05,2,3,wide,CricketBowling
v_CricketBowling_g22_c06,0,5,wide,CricketBowling
v_CricketShot_g02_c01,4,1,thin,CricketShot
v_CricketShot_g02_c05,4,1,thin,CricketShot
v_CricketShot_g02_c07,3,2,thin,CricketShot
v_CricketShot_g10_c01,2,3,wide,CricketShot
v_CricketShot_g10_c05,1,4,wide,CricketShot
v_CricketShot_g10_c06,2,3,wide,CricketShot
v_CricketShot_g16_c02,3,2,thin,CricketShot
v_CricketShot_g16_c06,3,2,thin,CricketShot
v_CricketShot_g22_c07,4,1,thin,CricketShot
v_CricketShot_g23_c04,2,3,wide,CricketShot
v_CricketShot_g23_c05,1,4,wide,CricketShot
v_CricketShot_g25_c02,2,3,wide,CricketShot
v_CricketShot_g25_c03,2,3,wide,CricketShot
v_CuttingInKitchen_g01_c04,3,2,thin,CuttingInKitchen
v_CuttingInKitchen_g01_c05,3,2,thin,CuttingInKitchen
v_CuttingInKitchen_g02_c03,3,2,thin,CuttingInKitchen
v_CuttingInKitchen_g05_c01,3,2,thin,CuttingInKitchen
v_CuttingInKitchen_g06_c02,2,3,wide,CuttingInKitchen
v_CuttingInKitchen_g07_c02,1,4,wide,CuttingInKitchen
v_CuttingInKitchen_g07_c04,1,4,wide,CuttingInKitchen
v_CuttingInKitchen_g09_c03,3,2,thin,CuttingInKitchen
v_CuttingInKitchen_g14_c04,1,4,wide,CuttingInKitchen
v_CuttingInKitchen_g24_c03,3,2,thin,CuttingInKitchen
v_CuttingInKitchen_g25_c02,0,5,wide,CuttingInKitchen
v_CuttingInKitchen_g25_c06,2,3,wide,CuttingInKitchen
v_Diving_g02_c03,1,4,wide,Diving
v_Diving_g02_c04,0,5,wide,Diving
v_Diving_g02_c07,2,3,wide,Diving
v_Diving_g06_c03,4,1,thin,Diving
v_Diving_g07_c02,3,2,thin,Diving
v_Diving_g10_c02,2,3,wide,Diving
v_Diving_g10_c04,1,4,wide,Diving
v_Diving_g10_c07,1,4,wide,Diving
v_Diving_g11_c05,0,5,wide,Diving
v_Diving_g11_c06,0,5,wide,Diving
v_Diving_g14_c04,3,2,thin,Diving
v_Diving_g15_c01,3,2,thin,Diving
v_Diving_g16_c03,4,1,thin,Diving
v_Diving_g17_c04,3,2,thin,Diving
v_Diving_g19_c02,3,2,thin,Diving
v_Diving_g20_c01,3,2,thin,Diving
v_Diving_g20_c03,3,2,thin,Diving
v_Diving_g20_c05,4,1,thin,Diving
v_Diving_g22_c04,3,2,thin,Diving
v_Diving_g25_c03,0,5,wide,Diving
v_Diving_g25_c04,0,5,wide,Diving
v_Drumming_g04_c01,2,3,wide,Drumming
v_Drumming_g05_c06,0,5,wide,Drumming
v_Drumming_g09_c01,0,5,wide,Drumming
v_Drumming_g10_c01,3,2,thin,Drumming
v_Drumming_g10_c06,3,2,thin,Drumming
v_Drumming_g12_c05,3,2,thin,Drumming
v_Drumming_g13_c06,3,2,thin,Drumming
v_Drumming_g18_c01,4,1,thin,Drumming
v_Drumming_g19_c02,4,1,thin,Drumming
v_Drumming_g19_c03,3,2,thin,Drumming
v_Drumming_g20_c03,3,2,thin,Drumming
v_Drumming_g22_c02,2,3,wide,Drumming
v_Drumming_g23_c01,4,1,thin,Drumming
v_Drumming_g23_c05,3,2,thin,Drumming
v_Drumming_g23_c06,4,1,thin,Drumming
v_Fencing_g08_c01,1,4,wide,Fencing
v_Fencing_g08_c02,0,5,wide,Fencing
v_Fencing_g12_c01,3,2,thin,Fencing
v_Fencing_g12_c03,5,0,thin,Fencing
v_Fencing_g16_c01,4,1,thin,Fencing
v_Fencing_g17_c04,3,2,thin,Fencing
v_FieldHockeyPenalty_g02_c02,3,2,thin,FieldHockeyPenalty
v_FieldHockeyPenalty_g03_c03,5,0,thin,FieldHockeyPenalty
v_FieldHockeyPenalty_g05_c06,2,3,wide,FieldHockeyPenalty
v_FieldHockeyPenalty_g05_c07,2,3,wide,FieldHockeyPenalty
v_FieldHockeyPenalty_g07_c01,2,3,wide,FieldHockeyPenalty
v_FieldHockeyPenalty_g07_c02,2,3,wide,FieldHockeyPenalty
v_FieldHockeyPenalty_g13_c04,3,2,thin,FieldHockeyPenalty
v_FieldHockeyPenalty_g14_c06,1,4,wide,FieldHockeyPenalty
v_FieldHockeyPenalty_g16_c03,0,5,wide,FieldHockeyPenalty
v_FieldHockeyPenalty_g16_c04,1,4,wide,FieldHockeyPenalty
v_FieldHockeyPenalty_g18_c03,4,1,thin,FieldHockeyPenalty
v_FieldHockeyPenalty_g20_c01,0,5,wide,FieldHockeyPenalty
v_FieldHockeyPenalty_g20_c03,0,5,wide,FieldHockeyPenalty
v_FieldHockeyPenalty_g23_c01,1,4,wide,FieldHockeyPenalty
v_FieldHockeyPenalty_g23_c02,2,3,wide,FieldHockeyPenalty
v_FieldHockeyPenalty_g25_c05,4,1,thin,FieldHockeyPenalty
v_FloorGymnastics_g01_c03,2,3,wide,FloorGymnastics
v_FloorGymnastics_g04_c01,0,5,wide,FloorGymnastics
v_FloorGymnastics_g04_c04,1,4,wide,FloorGymnastics
v_FloorGymnastics_g06_c01,5,0,thin,FloorGymnastics
v_FloorGymnastics_g06_c02,5,0,thin,FloorGymnastics
v_FloorGymnastics_g06_c03,5,0,thin,FloorGymnastics
v_FloorGymnastics_g07_c02,4,1,thin,FloorGymnastics
v_FloorGymnastics_g07_c07,3,2,thin,FloorGymnastics
v_FloorGymnastics_g08_c02,2,3,wide,FloorGymnastics
v_FloorGymnastics_g08_c03,2,3,wide,FloorGymnastics
v_FloorGymnastics_g09_c03,2,3,wide,FloorGymnastics
v_FloorGymnastics_g09_c06,0,5,wide,FloorGymnastics
v_FloorGymnastics_g10_c04,5,0,thin,FloorGymnastics
v_FloorGymnastics_g10_c05,5,0,thin,FloorGymnastics
v_FloorGymnastics_g13_c01,2,3,wide,FloorGymnastics
v_FloorGymnastics_g13_c04,1,4,wide,FloorGymnastics
v_FloorGymnastics_g14_c04,1,4,wide,FloorGymnastics
v_FloorGymnastics_g14_c05,1,4,wide,FloorGymnastics
v_FloorGymnastics_g16_c01,1,4,wide,FloorGymnastics
v_FloorGymnastics_g16_c04,0,5,wide,FloorGymnastics
v_FloorGymnastics_g17_c01,3,2,thin,FloorGymnastics
v_FloorGymnastics_g17_c05,4,1,thin,FloorGymnastics
v_FloorGymnastics_g18_c01,2,3,wide,FloorGymnastics
v_FloorGymnastics_g18_c05,0,5,wide,FloorGymnastics
v_FloorGymnastics_g19_c01,2,3,wide,FloorGymnastics
v_FloorGymnastics_g20_c04,1,4,wide,FloorGymnastics
v_FloorGymnastics_g20_c05,2,3,wide,FloorGymnastics
v_FloorGymnastics_g21_c01,2,3,wide,FloorGymnastics
v_FloorGymnastics_g21_c02,1,4,wide,FloorGymnastics
v_FloorGymnastics_g24_c01,2,3,wide,FloorGymnastics
v_FloorGymnastics_g24_c02,1,4,wide,FloorGymnastics
v_FrisbeeCatch_g02_c03,4,1,thin,FrisbeeCatch
v_FrisbeeCatch_g03_c03,1,4,wide,FrisbeeCatch
v_FrisbeeCatch_g03_c04,1,4,wide,FrisbeeCatch
v_FrisbeeCatch_g05_c04,3,2,thin,FrisbeeCatch
v_FrisbeeCatch_g07_c02,2,3,wide,FrisbeeCatch
v_FrisbeeCatch_g07_c04,1,4,wide,FrisbeeCatch
v_FrisbeeCatch_g09_c05,5,0,thin,FrisbeeCatch
v_FrisbeeCatch_g10_c02,5,0,thin,FrisbeeCatch
v_FrisbeeCatch_g10_c06,4,1,thin,FrisbeeCatch
v_FrisbeeCatch_g13_c03,0,5,wide,FrisbeeCatch
v_FrisbeeCatch_g16_c01,1,4,wide,FrisbeeCatch
v_FrisbeeCatch_g16_c06,1,4,wide,FrisbeeCatch
v_FrisbeeCatch_g18_c03,3,2,thin,FrisbeeCatch
v_FrisbeeCatch_g19_c01,2,3,wide,FrisbeeCatch
v_FrisbeeCatch_g19_c05,2,3,wide,FrisbeeCatch
v_FrisbeeCatch_g19_c06,0,5,wide,FrisbeeCatch
v_FrisbeeCatch_g20_c01,4,1,thin,FrisbeeCatch
v_FrisbeeCatch_g20_c06,3,2,thin,FrisbeeCatch
v_FrisbeeCatch_g22_c01,1,4,wide,FrisbeeCatch
v_FrisbeeCatch_g22_c05,2,3,wide,FrisbeeCatch
v_GolfSwing_g02_c01,0,5,wide,GolfSwing
v_GolfSwing_g04_c01,3,2,thin,GolfSwing
v_GolfSwing_g04_c02,4,1,thin,GolfSwing
v_GolfSwing_g08_c02,2,3,wide,GolfSwing
v_GolfSwing_g08_c04,2,3,wide,GolfSwing
v_GolfSwing_g08_c06,2,3,wide,GolfSwing
v_GolfSwing_g10_c01,0,5,wide,GolfSwing
v_GolfSwing_g14_c03,3,2,thin,GolfSwing
v_GolfSwing_g15_c02,2,3,wide,GolfSwing
v_GolfSwing_g15_c03,0,5,wide,GolfSwing
v_GolfSwing_g20_c03,4,1,thin,GolfSwing
v_GolfSwing_g20_c06,3,2,thin,GolfSwing
v_GolfSwing_g21_c01,1,4,wide,GolfSwing
v_GolfSwing_g21_c03,0,5,wide,GolfSwing
v_GolfSwing_g21_c04,0,5,wide,GolfSwing
v_GolfSwing_g22_c04,1,4,wide,GolfSwing
v_GolfSwing_g22_c05,0,5,wide,GolfSwing
v_GolfSwing_g22_c06,0,5,wide,GolfSwing
v_GolfSwing_g23_c03,5,0,thin,GolfSwing
v_GolfSwing_g23_c04,5,0,thin,GolfSwing
v_GolfSwing_g24_c06,3,2,thin,GolfSwing
v_GolfSwing_g25_c03,3,2,thin,GolfSwing
v_Haircut_g04_c02,4,1,thin,Haircut
v_Haircut_g05_c02,1,4,wide,Haircut
v_Haircut_g05_c03,2,3,wide,Haircut
v_Haircut_g08_c02,2,3,wide,Haircut
v_Haircut_g08_c03,2,3,wide,Haircut
v_Haircut_g08_c05,0,5,wide,Haircut
v_Haircut_g09_c02,0,5,wide,Haircut
v_Haircut_g11_c03,2,3,wide,Haircut
v_Haircut_g13_c01,1,4,wide,Haircut
v_Haircut_g15_c01,0,5,wide,Haircut
v_Haircut_g15_c03,1,4,wide,Haircut
v_Haircut_g16_c01,2,3,wide,Haircut
v_Haircut_g16_c05,1,4,wide,Haircut
v_Haircut_g17_c03,0,5,wide,Haircut
v_Haircut_g17_c04,2,3,wide,Haircut
v_Haircut_g18_c05,1,4,wide,Haircut
v_Haircut_g19_c01,2,3,wide,Haircut
v_Haircut_g19_c02,1,4,wide,Haircut
v_Haircut_g19_c04,1,4,wide,Haircut
