Bias,Action,Search Query,Title,Video ID,Link,Description,Published At,Duration (seconds),View Count,Like Count,Comment Count,Topics,source_file,Bias_Duplicates,Is_Duplicate
Female,ApplyEyeMakeup,Female ApplyEyeMakeup,How to Apply Eye Makeup | Black Women Makeup,6BohF5w8Ksk,https://www.youtube.com/watch?v=6BohF5w8Ksk,Watch more How to Do Makeup for Black Women videos: ...,2013-06-23T16:54:36Z,264,43867,292,15,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Female;White person;Black person;Asian person;Black hair;White hair,No
Female,ApplyEyeMakeup,Female ApplyEyeMakeup,How To Apply Eye Makeup For Asian Eyes,kJsT-TjhgWA,https://www.youtube.com/watch?v=kJsT-TjhgWA,This guide shows you How To Apply Eye Makeup For Asian Eyes Watch This and Other Related films here: ...,2012-05-13T08:23:53Z,251,30301,52,10,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Female;Black person;Asian person,No
Female,ApplyEyeMakeup,Female ApplyEyeMakeup,My Go-To Everyday Eyeshadow Look Using Only 1 Brush! | ColourPop Free to Be Quad,yvFriTVy5AM,https://www.youtube.com/watch?v=yvFriTVy5AM,FOLLOW ME! Instagram @angelabright Twitter @angelabright MY LASH LINE - THE BRIGHT LASHES http://thebrightlashes.com ...,2021-09-06T16:00:27Z,282,6767726,132980,639,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;Female;White person;Black person;Hispanic person;Kid;Red hair;Blonde hair;Black hair;White hair,Yes
Female,ApplyEyeMakeup,Female ApplyEyeMakeup,Learn How To Use our Baked Starter Kit | Laura Geller Beauty,vqnCT1aEf30,https://www.youtube.com/watch?v=vqnCT1aEf30,Discover the best of Laura's iconic baked favorites! This three-piece kit includes The Best of the Best Baked Face Palette which ...,2023-06-19T19:00:32Z,245,331063,2032,194,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;Female;Black person;Old person,Yes
Female,ApplyEyeMakeup,Female ApplyEyeMakeup,STEP BY STEP CLASSIC BEGINNERS EYESHADOW TUTORIAL | Makeup For Beginners | WOC | Black Women,PJGHoVsjUCQ,https://www.youtube.com/watch?v=PJGHoVsjUCQ,STEP BY STEP CLASSIC BEGINNERS EYESHADOW TUTORIAL | Makeup For Beginners | WOC | Black Women Hi my favorites !,2020-08-11T22:00:04Z,279,68234,2049,54,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Female;Black person,No
White person,ApplyEyeMakeup,White person ApplyEyeMakeup,Beginners Eye Makeup Tutorial | Parts of the Eye | How To Apply Eyeshadow,d8bct2_ix4U,https://www.youtube.com/watch?v=d8bct2_ix4U,Beginners Eye Makeup Tutorial | Parts of the Eye | How To Apply Eyeshadow PLEASE NOTE : Due to My Chronic Illness ...,2018-10-15T19:30:00Z,243,8883685,160259,1880,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;Female;White person;Black person;Indian person;Kid;Young person;Old person;Red hair;Blonde hair;Black hair;White hair,Yes
White person,ApplyEyeMakeup,White person ApplyEyeMakeup,How To STOP Kajal/Eyeliner from Smudging! 💯,GciNf7wcwdI,https://www.youtube.com/watch?v=GciNf7wcwdI,"In this tutorial, I'm going to show you how to stop or prevent your kajal, eyeliner or eye pencil from smudging. Kajal eyeliner can ...",2023-05-11T13:30:05Z,281,6028116,27534,414,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;White person;Black person;Indian person;Asian person;Kid;Red hair;Black hair;White hair,Yes
White person,ApplyEyeMakeup,White person ApplyEyeMakeup,My Go-To Everyday Eyeshadow Look Using Only 1 Brush! | ColourPop Free to Be Quad,yvFriTVy5AM,https://www.youtube.com/watch?v=yvFriTVy5AM,FOLLOW ME! Instagram @angelabright Twitter @angelabright MY LASH LINE - THE BRIGHT LASHES http://thebrightlashes.com ...,2021-09-06T16:00:27Z,282,6767726,132980,639,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;Female;White person;Black person;Hispanic person;Kid;Red hair;Blonde hair;Black hair;White hair,Yes
White person,ApplyEyeMakeup,White person ApplyEyeMakeup,How to Apply Eye Makeup | Black Women Makeup,6BohF5w8Ksk,https://www.youtube.com/watch?v=6BohF5w8Ksk,Watch more How to Do Makeup for Black Women videos: ...,2013-06-23T16:54:36Z,264,43867,292,15,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Female;White person;Black person;Asian person;Black hair;White hair,Yes
White person,ApplyEyeMakeup,White person ApplyEyeMakeup,These are the ONLY 4 Brushes You Need for Eye Makeup!,WExdnqLreRA,https://www.youtube.com/watch?v=WExdnqLreRA,"If you're a beginner, here are the only 4 eye makeup brushes you'll need to practice eye makeup. I hope you enjoy this tutorial.",2021-07-18T13:30:03Z,265,1504590,42936,567,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;White person;Indian person;Wide body;Thin body;White hair,Yes
White person,ApplyEyeMakeup,White person ApplyEyeMakeup,"Petite - Makeup, Clothes and Hair For Older Women",R_XUoZrB6P8,https://www.youtube.com/watch?v=R_XUoZrB6P8,"Transform your look by choosing the most flattering makeup, hairstyle and clothes to suit your older face and body. Clothes from ...",2015-09-30T11:11:24Z,242,40998,250,25,"Fashion, Health, Lifestyle (sociology), Physical attractiveness",ApplyEyeMakeup_results.csv,White person;White hair,No
Black person,ApplyEyeMakeup,Black person ApplyEyeMakeup,How to Apply Eye Makeup | Black Women Makeup,6BohF5w8Ksk,https://www.youtube.com/watch?v=6BohF5w8Ksk,Watch more How to Do Makeup for Black Women videos: ...,2013-06-23T16:54:36Z,264,43867,292,15,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Female;White person;Black person;Asian person;Black hair;White hair,Yes
Black person,ApplyEyeMakeup,Black person ApplyEyeMakeup,Beginners Eye Makeup Tutorial | Parts of the Eye | How To Apply Eyeshadow,d8bct2_ix4U,https://www.youtube.com/watch?v=d8bct2_ix4U,Beginners Eye Makeup Tutorial | Parts of the Eye | How To Apply Eyeshadow PLEASE NOTE : Due to My Chronic Illness ...,2018-10-15T19:30:00Z,243,8883685,160259,1880,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;Female;White person;Black person;Indian person;Kid;Young person;Old person;Red hair;Blonde hair;Black hair;White hair,Yes
Black person,ApplyEyeMakeup,Black person ApplyEyeMakeup,STEP BY STEP CLASSIC BEGINNERS EYESHADOW TUTORIAL | Makeup For Beginners | WOC | Black Women,PJGHoVsjUCQ,https://www.youtube.com/watch?v=PJGHoVsjUCQ,STEP BY STEP CLASSIC BEGINNERS EYESHADOW TUTORIAL | Makeup For Beginners | WOC | Black Women Hi my favorites !,2020-08-11T22:00:04Z,279,68234,2049,54,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Female;Black person,Yes
Black person,ApplyEyeMakeup,Black person ApplyEyeMakeup,"HOODED EYE HACK.....in 30 seconds! SAGGY, DROOPY EYELIDS INSTANTLY LIFTED!",Tz0-WsjL0MQ,https://www.youtube.com/watch?v=Tz0-WsjL0MQ,This is an easy makeup trick I like to do for my loose eyelid skin on days I don't feel like wearing a ton of eyeshadow.,2024-06-13T14:00:37Z,298,68759,2619,129,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Black person;Young person;Old person;Black hair,No
Black person,ApplyEyeMakeup,Black person ApplyEyeMakeup,How to Apply Bronze Makeup | Black Women Makeup,U1gT7OsOsRU,https://www.youtube.com/watch?v=U1gT7OsOsRU,Watch more How to Do Makeup for Black Women videos: ...,2013-07-25T15:45:03Z,243,36996,364,17,"Lifestyle (sociology), Physical attractiveness",ApplyEyeMakeup_results.csv,,No
Black person,ApplyEyeMakeup,Black person ApplyEyeMakeup,How to Create an Easy Makeup Look | Black Women Makeup,vxK-DD0uaOY,https://www.youtube.com/watch?v=vxK-DD0uaOY,Watch more How to Do Makeup for Black Women videos: ...,2013-05-09T13:45:03Z,263,30068,166,16,Lifestyle (sociology),ApplyEyeMakeup_results.csv,,No
Black person,ApplyEyeMakeup,Black person ApplyEyeMakeup,Perfect Natural Glam Makeup Tutorial for Black Women ♡,zY4MI1bqr7I,https://www.youtube.com/watch?v=zY4MI1bqr7I,Natural / Neutral Glam Makeup for Dark Skin using Rose Gold tones. This Everyday Makeup is perfect and very EASY for Black ...,2014-01-18T01:56:02Z,283,16300,913,85,Lifestyle (sociology),ApplyEyeMakeup_results.csv,,No
Black person,ApplyEyeMakeup,Black person ApplyEyeMakeup,My Go-To Everyday Eyeshadow Look Using Only 1 Brush! | ColourPop Free to Be Quad,yvFriTVy5AM,https://www.youtube.com/watch?v=yvFriTVy5AM,FOLLOW ME! Instagram @angelabright Twitter @angelabright MY LASH LINE - THE BRIGHT LASHES http://thebrightlashes.com ...,2021-09-06T16:00:27Z,282,6767726,132980,639,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;Female;White person;Black person;Hispanic person;Kid;Red hair;Blonde hair;Black hair;White hair,Yes
Black person,ApplyEyeMakeup,Black person ApplyEyeMakeup,How to Apply Eye Shadow | Black Women Makeup,YIP16FwRg9s,https://www.youtube.com/watch?v=YIP16FwRg9s,Watch more How to Do Makeup for Black Women videos: ...,2013-06-25T00:53:15Z,270,37679,210,9,Lifestyle (sociology),ApplyEyeMakeup_results.csv,,No
Black person,ApplyEyeMakeup,Black person ApplyEyeMakeup,Learn How To Use our Baked Starter Kit | Laura Geller Beauty,vqnCT1aEf30,https://www.youtube.com/watch?v=vqnCT1aEf30,Discover the best of Laura's iconic baked favorites! This three-piece kit includes The Best of the Best Baked Face Palette which ...,2023-06-19T19:00:32Z,245,331063,2032,194,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;Female;Black person;Old person,Yes
Black person,ApplyEyeMakeup,Black person ApplyEyeMakeup,How To STOP Kajal/Eyeliner from Smudging! 💯,GciNf7wcwdI,https://www.youtube.com/watch?v=GciNf7wcwdI,"In this tutorial, I'm going to show you how to stop or prevent your kajal, eyeliner or eye pencil from smudging. Kajal eyeliner can ...",2023-05-11T13:30:05Z,281,6028116,27534,414,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;White person;Black person;Indian person;Asian person;Kid;Red hair;Black hair;White hair,Yes
Black person,ApplyEyeMakeup,Black person ApplyEyeMakeup,How to Contour Black Skin | Black Women Makeup,1GZIOBZ5BDQ,https://www.youtube.com/watch?v=1GZIOBZ5BDQ,Watch more How to Do Makeup for Black Women videos: ...,2013-06-15T15:44:10Z,248,42819,322,21,Lifestyle (sociology),ApplyEyeMakeup_results.csv,,No
Black person,ApplyEyeMakeup,Black person ApplyEyeMakeup,How To Apply Eye Makeup For Asian Eyes,kJsT-TjhgWA,https://www.youtube.com/watch?v=kJsT-TjhgWA,This guide shows you How To Apply Eye Makeup For Asian Eyes Watch This and Other Related films here: ...,2012-05-13T08:23:53Z,251,30301,52,10,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Female;Black person;Asian person,Yes
Black person,ApplyEyeMakeup,Black person ApplyEyeMakeup,How to Apply Eye Makeup for Blue Eyes and Brown Hair,kDC-aeOh41s,https://www.youtube.com/watch?v=kDC-aeOh41s,http://www.waysandhow.com Subscribe to Waysandhow: https://goo.gl/RK2SbN Are you a blue-eyed person with brown hair ...,2016-07-08T14:04:20Z,260,29202,84,7,Lifestyle (sociology),ApplyEyeMakeup_results.csv,,No
Indian person,ApplyEyeMakeup,Indian person ApplyEyeMakeup,How To STOP Kajal/Eyeliner from Smudging! 💯,GciNf7wcwdI,https://www.youtube.com/watch?v=GciNf7wcwdI,"In this tutorial, I'm going to show you how to stop or prevent your kajal, eyeliner or eye pencil from smudging. Kajal eyeliner can ...",2023-05-11T13:30:05Z,281,6028116,27534,414,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;White person;Black person;Indian person;Asian person;Kid;Red hair;Black hair;White hair,Yes
Indian person,ApplyEyeMakeup,Indian person ApplyEyeMakeup,Beginners Eye Makeup Tutorial | Parts of the Eye | How To Apply Eyeshadow,d8bct2_ix4U,https://www.youtube.com/watch?v=d8bct2_ix4U,Beginners Eye Makeup Tutorial | Parts of the Eye | How To Apply Eyeshadow PLEASE NOTE : Due to My Chronic Illness ...,2018-10-15T19:30:00Z,243,8883685,160259,1880,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;Female;White person;Black person;Indian person;Kid;Young person;Old person;Red hair;Blonde hair;Black hair;White hair,Yes
Indian person,ApplyEyeMakeup,Indian person ApplyEyeMakeup,These are the ONLY 4 Brushes You Need for Eye Makeup!,WExdnqLreRA,https://www.youtube.com/watch?v=WExdnqLreRA,"If you're a beginner, here are the only 4 eye makeup brushes you'll need to practice eye makeup. I hope you enjoy this tutorial.",2021-07-18T13:30:03Z,265,1504590,42936,567,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;White person;Indian person;Wide body;Thin body;White hair,Yes
Indian person,ApplyEyeMakeup,Indian person ApplyEyeMakeup,| ARY Digital Drama,-A467BTPesA,https://www.youtube.com/watch?v=-A467BTPesA,Subscribe: https://www.youtube.com/arydigitalasia Good Morning Pakistan is the way you start your day and has the potential to ...,2020-04-12T12:02:11Z,252,6035,88,16,"Entertainment, Film, Television program",ApplyEyeMakeup_results.csv,,No
Asian person,ApplyEyeMakeup,Asian person ApplyEyeMakeup,How To Apply Eye Makeup For Asian Eyes,kJsT-TjhgWA,https://www.youtube.com/watch?v=kJsT-TjhgWA,This guide shows you How To Apply Eye Makeup For Asian Eyes Watch This and Other Related films here: ...,2012-05-13T08:23:53Z,251,30301,52,10,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Female;Black person;Asian person,Yes
Asian person,ApplyEyeMakeup,Asian person ApplyEyeMakeup,Her Asian Eyes - Scott McDonald,8Fk3c8j_ORc,https://www.youtube.com/watch?v=8Fk3c8j_ORc,This is a song I wrote about the Asian eyes that have affected my life...,2013-12-13T12:10:22Z,280,1471,1,0,"Independent music, Music, Music of Asia, Pop music, Rock music",ApplyEyeMakeup_results.csv,,No
Asian person,ApplyEyeMakeup,Asian person ApplyEyeMakeup,How To STOP Kajal/Eyeliner from Smudging! 💯,GciNf7wcwdI,https://www.youtube.com/watch?v=GciNf7wcwdI,"In this tutorial, I'm going to show you how to stop or prevent your kajal, eyeliner or eye pencil from smudging. Kajal eyeliner can ...",2023-05-11T13:30:05Z,281,6028116,27534,414,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;White person;Black person;Indian person;Asian person;Kid;Red hair;Black hair;White hair,Yes
Asian person,ApplyEyeMakeup,Asian person ApplyEyeMakeup,How to: Makeup Techniques for an Asian Blonde : Makeup Techniques,dd7FAPAZerE,https://www.youtube.com/watch?v=dd7FAPAZerE,Subscribe Now: http://www.youtube.com/subscription_center?add_user=ehowbeauty Watch More: ...,2013-08-23T11:28:48Z,292,13894,63,7,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Asian person;Blonde hair,No
Asian person,ApplyEyeMakeup,Asian person ApplyEyeMakeup,How to Apply Eye Makeup | Black Women Makeup,6BohF5w8Ksk,https://www.youtube.com/watch?v=6BohF5w8Ksk,Watch more How to Do Makeup for Black Women videos: ...,2013-06-23T16:54:36Z,264,43867,292,15,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Female;White person;Black person;Asian person;Black hair;White hair,Yes
Asian person,ApplyEyeMakeup,Asian person ApplyEyeMakeup,"How to Apply Eye Makeup on Dark, Indian Skin : Eye Makeup",VmedwZy6lc8,https://www.youtube.com/watch?v=VmedwZy6lc8,Subscribe Now: http://www.youtube.com/subscription_center?add_user=Ehowbeauty Watch More: ...,2012-08-26T13:14:59Z,252,255038,487,101,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;Asian person;Red hair;Black hair,Yes
Asian person,ApplyEyeMakeup,Asian person ApplyEyeMakeup,Eyeshadow Tricks for Asian Eyes,9E1w7PJxc7o,https://www.youtube.com/watch?v=9E1w7PJxc7o,,2010-08-05T15:26:01Z,283,34075,137,54,Lifestyle (sociology),ApplyEyeMakeup_results.csv,,No
Hispanic person,ApplyEyeMakeup,Hispanic person ApplyEyeMakeup,My Go-To Everyday Eyeshadow Look Using Only 1 Brush! | ColourPop Free to Be Quad,yvFriTVy5AM,https://www.youtube.com/watch?v=yvFriTVy5AM,FOLLOW ME! Instagram @angelabright Twitter @angelabright MY LASH LINE - THE BRIGHT LASHES http://thebrightlashes.com ...,2021-09-06T16:00:27Z,282,6767726,132980,639,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;Female;White person;Black person;Hispanic person;Kid;Red hair;Blonde hair;Black hair;White hair,Yes
Hispanic person,ApplyEyeMakeup,Hispanic person ApplyEyeMakeup,Makeup On Mature Skin⎮Meet My Mom #MommyMakeover,M7-IzLFBK3s,https://www.youtube.com/watch?v=M7-IzLFBK3s,You're Reading The Description Box WooHoo!! YOU ROCK S U B S C R I B E http://bit.ly/1IuI1W7 Check Out My T-Shirt Line ...,2017-05-10T16:30:01Z,283,120618,5439,748,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Hispanic person;Young person;Black hair,No
Hispanic person,ApplyEyeMakeup,Hispanic person ApplyEyeMakeup,Vivid Smoky Eyes,MKOjUyqbGrM,https://www.youtube.com/watch?v=MKOjUyqbGrM,Great tips from the artists at smashbox cosmetics. Visit smashbox.com to check out more!,2009-12-14T20:26:46Z,290,30857,255,21,Lifestyle (sociology),ApplyEyeMakeup_results.csv,,No
Hispanic person,ApplyEyeMakeup,Hispanic person ApplyEyeMakeup,Deep Learning Explained,vPjHlXCnEdE,https://www.youtube.com/watch?v=vPjHlXCnEdE,"Our staff writers travel to different places to look at the latest technologies and scientific discoveries firsthand. Yuen Yiu, science ...",2017-07-28T18:55:05Z,262,3840,27,2,"Knowledge, Technology",ApplyEyeMakeup_results.csv,,No
Hispanic person,ApplyEyeMakeup,Hispanic person ApplyEyeMakeup,JaSam - Don&#39;t You Wanna Stay,nsrYFgchZsQ,https://www.youtube.com/watch?v=nsrYFgchZsQ,JaSam at their best! Reunion Mexico and just afterwards! Thanks to D&T for the fabulous clips! No copyright infringement intended ...,2011-04-03T02:10:49Z,267,2912,31,1,"Country music, Music, Television program",ApplyEyeMakeup_results.csv,,No
Hispanic person,ApplyEyeMakeup,Hispanic person ApplyEyeMakeup,"Review: Estee Lauder Wild Violet Eye Shadow Palette, MUFE Lipstick#15",7VdyrirLbKA,https://www.youtube.com/watch?v=7VdyrirLbKA,Swatches of the Estee Lauder Wild Violet Eye Shadow Palette by Tom Pecheux. Pictures of Makeup Forever Lipstick #15 and ...,2011-02-06T03:00:21Z,297,1901,32,25,Lifestyle (sociology),ApplyEyeMakeup_results.csv,,No
Wide body,ApplyEyeMakeup,Wide body ApplyEyeMakeup,How to apply liquid eye-liner and secret for big fresh eyes,aFKSFhy_P7w,https://www.youtube.com/watch?v=aFKSFhy_P7w,Part of the how to mini series by Beautybyshaz.,2009-02-20T20:43:48Z,286,1780,4,0,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Wide body;Thin body,No
Wide body,ApplyEyeMakeup,Wide body ApplyEyeMakeup,These are the ONLY 4 Brushes You Need for Eye Makeup!,WExdnqLreRA,https://www.youtube.com/watch?v=WExdnqLreRA,"If you're a beginner, here are the only 4 eye makeup brushes you'll need to practice eye makeup. I hope you enjoy this tutorial.",2021-07-18T13:30:03Z,265,1504590,42936,567,Lifestyle (sociology),ApplyEyeMakeup_results.csv,Male;White person;Indian person;Wide body;Thin body;White hair,Yes
Wide body,ApplyEyeMakeup,Wide body ApplyEyeMakeup,How to Do Airbrush Makeup : Beauty Vice,HS2Fs2ywyLs,https://www.youtube.com/watch?v=HS2Fs2ywyLs,Subscribe Now: http://www.youtube.com/subscription_center?add_user=ehow Watch More: http://www.youtube.com/ehow ...,2013-09-25T22:26:22Z,296,1390,16,1,Lifestyle (sociology),ApplyEyeMakeup_results.csv,,No
Wide body,ApplyEyeMakeup,Wide body ApplyEyeMakeup,Back To School Makeup Tutorial | Drugstore + 2 Brushes ONLY,dGClkfGpiHc,https://www.youtube.com/watch?v=dGClkfGpiHc,BACK TO SCHOOL MAKEUP TUTORIAL | Drugstore + 2 Brushes Only INSTAGRAM ‣ http://instagram.com/sineadycady Make ...,2017-09-04T17:00:03Z,272,23536,1085,87,Lifestyle (sociology),ApplyEyeMakeup_results.csv,,No
Wide body,ApplyEyeMakeup,Wide body ApplyEyeMakeup,How to Fade Acne Scars Naturally,9SevuFsIyrQ,https://www.youtube.com/watch?v=9SevuFsIyrQ,"http://www.waysandhow.com Subscribe to Waysandhow: https://goo.gl/RK2SbN Fade acne slowly and naturally, learn how, now.",2013-11-18T14:22:29Z,251,9124,142,10,"Health, Lifestyle (sociology)",ApplyEyeMakeup_results.csv,,No
Wide body,ApplyEyeMakeup,Wide body ApplyEyeMakeup,How to Grow Your Hair Really Fast -  How to Get Long Hair Faster,U_ttrjECAKo,https://www.youtube.com/watch?v=U_ttrjECAKo,http://www.waysandhow.com Subscribe to Waysandhow: https://goo.gl/RK2SbN How to get long hair faster. How to grow your hair ...,2016-05-18T13:43:22Z,243,13075,315,20,Lifestyle (sociology),ApplyEyeMakeup_results.csv,,No
Wide body,ApplyEyeMakeup,Wide body ApplyEyeMakeup,Simple gyaru inspired makeup look,Td7JAibagm0,https://www.youtube.com/watch?v=Td7JAibagm0,"Tsubasa Masuwaka's gyaru look has been inspired me for quite some times. Now, I would like to share my simple gyaru inspired ...",2011-12-20T12:30:48Z,280,363,4,1,Lifestyle (sociology),ApplyEyeMakeup_results.csv,,No
Wide body,ApplyEyeMakeup,Wide body ApplyEyeMakeup,How to Get Rid of Acne - Natural Acne Treatment,XrOlvDfiwVM,https://www.youtube.com/watch?v=XrOlvDfiwVM,"Step-by-step guide and products used: http://bit.ly/R4o91E How to Get Rid of Acne - Natural Acne Treatment Esthetician, Jennifer ...",2012-10-11T17:07:13Z,269,48803,200,29,"Health, Lifestyle (sociology)",ApplyEyeMakeup_results.csv,,No
Thin body,ApplyEyeMakeup,Thin body ApplyEyeMakeup,How to Look Thinner in a Week -  Get Skinny Naturally Fast,TiC8Whcv1XI,https://www.youtube.com/watch?v=TiC8Whcv1XI,http://www.waysandhow.com Subscribe to Waysandhow: https://goo.gl/RK2SbN Get skinny naturally fast. How to look thinner in a ...,2016-05-23T13:12:19Z,255,35786,436,12,"Health, Lifestyle (sociology)",ApplyEyeMakeup_results.csv,,No
Thin body,ApplyEyeMakeup,Thin body ApplyEyeMakeup,How to Lose a Double Chin Without Surgery - Double Chin Home Remedy,UwDwvhatP20,https://www.youtube.com/watch?v=UwDwvhatP20,"Double chin home remedy. How to lose a double chin without surgery: If you have a double chin, or have some concerns about ...",2016-04-04T13:32:27Z,283,204874,845,38,"Health, Physical attractiveness",ApplyEyeMakeup_results.csv,,No
