video_name,thin and tall_count,thin and short_count,wide and tall_count,wide and short_count,final,category
v_Bowling_g09_c07,0,3,0,2,thin and short,Bowling
v_Bowling_g12_c03,0,1,0,4,wide and short,Bowling
v_Bowling_g12_c04,0,0,0,5,wide and short,Bowling
v_Bowling_g18_c05,0,5,0,0,thin and short,Bowling
v_Bowling_g20_c02,0,4,0,1,thin and short,Bowling
v_Bowling_g20_c04,0,5,0,0,thin and short,Bowling
v_Bowling_g21_c03,0,3,0,2,thin and short,Bowling
v_Bowling_g22_c04,0,4,0,1,thin and short,Bowling
v_Bowling_g23_c03,0,4,0,1,thin and short,Bowling
v_Bowling_g23_c04,0,3,0,2,thin and short,Bowling
v_Bowling_g23_c07,0,4,0,1,thin and short,Bowling
v_Bowling_g24_c03,0,3,0,2,thin and short,Bowling
v_Bowling_g24_c06,0,4,0,1,thin and short,Bowling
v_Bowling_g24_c07,0,5,0,0,thin and short,Bowling
v_BoxingSpeedBag_g11_c06,0,2,0,3,wide and short,BoxingSpeedBag
v_BreastStroke_g01_c04,0,5,0,0,thin and short,BreastStroke
v_BreastStroke_g04_c03,0,3,0,2,thin and short,BreastStroke
v_BreastStroke_g05_c02,0,1,0,4,wide and short,BreastStroke
v_BreastStroke_g05_c03,0,2,0,3,wide and short,BreastStroke
v_BreastStroke_g08_c01,0,2,0,3,wide and short,BreastStroke
v_BreastStroke_g08_c04,0,1,0,4,wide and short,BreastStroke
v_BreastStroke_g09_c01,0,3,0,2,thin and short,BreastStroke
v_BreastStroke_g10_c01,0,0,0,5,wide and short,BreastStroke
v_BreastStroke_g12_c03,0,3,0,2,thin and short,BreastStroke
v_BreastStroke_g14_c03,0,2,0,3,wide and short,BreastStroke
v_BreastStroke_g15_c02,0,1,0,4,wide and short,BreastStroke
v_BreastStroke_g16_c01,0,2,0,3,wide and short,BreastStroke
v_BreastStroke_g16_c04,0,2,0,3,wide and short,BreastStroke
v_BreastStroke_g17_c03,0,5,0,0,thin and short,BreastStroke
v_BreastStroke_g18_c04,0,2,0,3,wide and short,BreastStroke
v_BreastStroke_g22_c01,0,0,0,5,wide and short,BreastStroke
v_BreastStroke_g22_c03,0,0,0,5,wide and short,BreastStroke
v_BreastStroke_g24_c03,0,1,0,4,wide and short,BreastStroke
v_BreastStroke_g24_c04,0,0,0,5,wide and short,BreastStroke
v_BreastStroke_g25_c01,0,1,0,4,wide and short,BreastStroke
v_BreastStroke_g25_c03,0,1,0,4,wide and short,BreastStroke
v_CliffDiving_g01_c01,0,2,0,3,wide and short,CliffDiving
v_CliffDiving_g02_c02,0,2,0,3,wide and short,CliffDiving
v_CliffDiving_g02_c03,0,2,0,3,wide and short,CliffDiving
v_CliffDiving_g03_c05,0,4,0,1,thin and short,CliffDiving
v_CliffDiving_g05_c01,0,4,0,1,thin and short,CliffDiving
v_CliffDiving_g05_c03,0,4,0,1,thin and short,CliffDiving
v_CliffDiving_g06_c02,0,3,0,2,thin and short,CliffDiving
v_CliffDiving_g07_c04,0,4,0,1,thin and short,CliffDiving
v_CliffDiving_g07_c06,0,4,0,1,thin and short,CliffDiving
v_CliffDiving_g08_c02,0,0,0,5,wide and short,CliffDiving
v_CliffDiving_g09_c02,0,2,0,3,wide and short,CliffDiving
v_CliffDiving_g09_c06,0,1,0,4,wide and short,CliffDiving
v_CliffDiving_g10_c02,0,3,0,2,thin and short,CliffDiving
v_CliffDiving_g11_c02,0,1,0,4,wide and short,CliffDiving
v_CliffDiving_g11_c03,0,0,0,5,wide and short,CliffDiving
v_CliffDiving_g11_c05,0,2,0,3,wide and short,CliffDiving
v_CliffDiving_g12_c02,0,5,0,0,thin and short,CliffDiving
v_CliffDiving_g12_c04,0,4,0,1,thin and short,CliffDiving
v_CliffDiving_g12_c06,0,3,0,2,thin and short,CliffDiving
v_CliffDiving_g13_c04,0,3,0,2,thin and short,CliffDiving
v_CliffDiving_g14_c07,0,5,0,0,thin and short,CliffDiving
v_CliffDiving_g16_c01,0,2,0,3,wide and short,CliffDiving
v_CliffDiving_g17_c03,0,0,0,5,wide and short,CliffDiving
v_CliffDiving_g17_c04,0,1,0,4,wide and short,CliffDiving
v_CliffDiving_g18_c04,0,3,0,2,thin and short,CliffDiving
v_CliffDiving_g18_c05,0,5,0,0,thin and short,CliffDiving
v_CliffDiving_g19_c03,0,3,0,2,thin and short,CliffDiving
v_CliffDiving_g19_c07,0,3,0,2,thin and short,CliffDiving
v_CliffDiving_g22_c01,0,1,0,4,wide and short,CliffDiving
v_CliffDiving_g22_c02,0,0,0,5,wide and short,CliffDiving
v_CliffDiving_g22_c03,0,0,0,5,wide and short,CliffDiving
v_CricketBowling_g04_c05,0,4,0,1,thin and short,CricketBowling
v_CricketBowling_g06_c01,0,3,0,2,thin and short,CricketBowling
v_CuttingInKitchen_g09_c02,0,2,0,3,wide and short,CuttingInKitchen
v_Diving_g14_c02,0,4,0,1,thin and short,Diving
v_Diving_g21_c03,0,4,0,1,thin and short,Diving
v_Diving_g22_c01,0,4,0,1,thin and short,Diving
v_Diving_g23_c06,0,4,0,1,thin and short,Diving
v_Diving_g25_c04,0,4,0,1,thin and short,Diving
v_Drumming_g03_c03,0,3,0,2,thin and short,Drumming
v_Drumming_g05_c01,0,4,0,1,thin and short,Drumming
v_Drumming_g05_c04,0,3,0,2,thin and short,Drumming
v_Drumming_g08_c01,0,3,0,2,thin and short,Drumming
v_Drumming_g09_c04,0,1,0,4,wide and short,Drumming
v_Drumming_g13_c06,0,2,0,3,wide and short,Drumming
v_Drumming_g13_c07,0,0,0,5,wide and short,Drumming
v_Drumming_g18_c02,0,0,0,5,wide and short,Drumming
v_Drumming_g18_c03,0,0,0,5,wide and short,Drumming
v_Drumming_g18_c05,0,0,0,5,wide and short,Drumming
v_Drumming_g21_c03,0,3,0,2,thin and short,Drumming
v_Drumming_g21_c04,0,3,0,2,thin and short,Drumming
v_Drumming_g23_c02,0,5,0,0,thin and short,Drumming
v_Drumming_g23_c03,0,3,0,2,thin and short,Drumming
v_Drumming_g24_c01,0,0,0,5,wide and short,Drumming
v_Drumming_g24_c02,0,2,0,3,wide and short,Drumming
v_Drumming_g24_c07,0,1,0,4,wide and short,Drumming
v_FloorGymnastics_g04_c01,0,0,0,5,wide and short,FloorGymnastics
v_FloorGymnastics_g06_c01,0,5,0,0,thin and short,FloorGymnastics
v_FloorGymnastics_g06_c02,0,5,0,0,thin and short,FloorGymnastics
v_FloorGymnastics_g06_c03,0,5,0,0,thin and short,FloorGymnastics
v_FloorGymnastics_g07_c03,0,1,0,4,wide and short,FloorGymnastics
v_FloorGymnastics_g07_c06,0,1,0,4,wide and short,FloorGymnastics
v_FloorGymnastics_g08_c04,0,5,0,0,thin and short,FloorGymnastics
v_FloorGymnastics_g11_c02,0,2,0,3,wide and short,FloorGymnastics
v_FloorGymnastics_g12_c05,0,1,0,4,wide and short,FloorGymnastics
v_FloorGymnastics_g14_c05,0,1,0,4,wide and short,FloorGymnastics
v_FloorGymnastics_g16_c01,0,2,0,3,wide and short,FloorGymnastics
v_FloorGymnastics_g16_c04,0,2,0,3,wide and short,FloorGymnastics
v_FloorGymnastics_g18_c01,0,1,0,4,wide and short,FloorGymnastics
v_FloorGymnastics_g18_c05,0,1,0,4,wide and short,FloorGymnastics
v_FloorGymnastics_g20_c05,0,2,0,3,wide and short,FloorGymnastics
v_FloorGymnastics_g21_c01,0,2,0,3,wide and short,FloorGymnastics
v_FloorGymnastics_g22_c01,0,1,0,4,wide and short,FloorGymnastics
v_FloorGymnastics_g22_c02,0,2,0,3,wide and short,FloorGymnastics
v_FloorGymnastics_g24_c02,0,0,0,5,wide and short,FloorGymnastics
v_FrisbeeCatch_g03_c02,0,4,0,1,thin and short,FrisbeeCatch
v_FrisbeeCatch_g03_c03,0,3,0,2,thin and short,FrisbeeCatch
v_FrisbeeCatch_g05_c02,0,3,0,2,thin and short,FrisbeeCatch
v_FrisbeeCatch_g13_c01,0,2,0,3,wide and short,FrisbeeCatch
v_FrisbeeCatch_g13_c03,0,1,0,4,wide and short,FrisbeeCatch
v_FrisbeeCatch_g15_c03,0,3,0,2,thin and short,FrisbeeCatch
v_FrisbeeCatch_g16_c04,0,5,0,0,thin and short,FrisbeeCatch
v_FrisbeeCatch_g18_c01,0,3,0,2,thin and short,FrisbeeCatch
v_FrisbeeCatch_g20_c03,0,3,0,2,thin and short,FrisbeeCatch
v_FrisbeeCatch_g24_c02,0,3,0,2,thin and short,FrisbeeCatch
v_FrontCrawl_g01_c01,0,2,0,3,wide and short,FrontCrawl
v_FrontCrawl_g04_c01,0,0,0,5,wide and short,FrontCrawl
v_FrontCrawl_g04_c02,0,2,0,3,wide and short,FrontCrawl
v_FrontCrawl_g04_c06,0,2,0,3,wide and short,FrontCrawl
v_FrontCrawl_g07_c03,0,3,0,2,thin and short,FrontCrawl
v_FrontCrawl_g07_c05,0,5,0,0,thin and short,FrontCrawl
v_FrontCrawl_g07_c07,0,3,0,2,thin and short,FrontCrawl
v_FrontCrawl_g12_c04,0,4,0,1,thin and short,FrontCrawl
v_FrontCrawl_g13_c04,0,2,0,3,wide and short,FrontCrawl
v_FrontCrawl_g17_c01,0,1,0,4,wide and short,FrontCrawl
v_FrontCrawl_g17_c07,0,0,0,5,wide and short,FrontCrawl
v_FrontCrawl_g22_c02,0,2,0,3,wide and short,FrontCrawl
v_FrontCrawl_g22_c04,0,1,0,4,wide and short,FrontCrawl
v_FrontCrawl_g22_c05,0,1,0,4,wide and short,FrontCrawl
v_FrontCrawl_g23_c01,0,3,0,2,thin and short,FrontCrawl
v_FrontCrawl_g23_c03,0,3,0,2,thin and short,FrontCrawl
v_FrontCrawl_g23_c05,0,4,0,1,thin and short,FrontCrawl
v_FrontCrawl_g24_c01,0,3,0,2,thin and short,FrontCrawl
v_FrontCrawl_g24_c06,0,4,0,1,thin and short,FrontCrawl
v_GolfSwing_g08_c01,0,4,0,1,thin and short,GolfSwing
v_GolfSwing_g08_c05,0,3,0,2,thin and short,GolfSwing
v_GolfSwing_g10_c01,0,0,0,5,wide and short,GolfSwing
v_GolfSwing_g20_c01,0,0,0,5,wide and short,GolfSwing
v_GolfSwing_g20_c05,0,1,0,4,wide and short,GolfSwing
v_GolfSwing_g21_c01,0,4,0,1,thin and short,GolfSwing
v_GolfSwing_g21_c06,0,4,0,1,thin and short,GolfSwing
v_GolfSwing_g22_c04,0,0,0,5,wide and short,GolfSwing
v_GolfSwing_g22_c05,0,1,0,4,wide and short,GolfSwing
v_GolfSwing_g22_c06,0,0,0,5,wide and short,GolfSwing
v_HammerThrow_g01_c03,0,0,0,5,wide and short,HammerThrow
v_HammerThrow_g01_c06,0,2,0,3,wide and short,HammerThrow
v_HammerThrow_g02_c06,0,2,0,3,wide and short,HammerThrow
v_HammerThrow_g03_c01,0,0,0,5,wide and short,HammerThrow
v_HammerThrow_g03_c07,0,1,0,4,wide and short,HammerThrow
v_HammerThrow_g04_c01,0,4,0,1,thin and short,HammerThrow
v_HammerThrow_g04_c05,0,3,0,2,thin and short,HammerThrow
v_HammerThrow_g06_c04,0,4,0,1,thin and short,HammerThrow
v_HammerThrow_g08_c02,0,2,0,3,wide and short,HammerThrow
v_HammerThrow_g08_c03,0,1,0,4,wide and short,HammerThrow
v_HammerThrow_g08_c06,0,2,0,3,wide and short,HammerThrow
v_HammerThrow_g09_c01,0,2,0,3,wide and short,HammerThrow
v_HammerThrow_g09_c02,0,2,0,3,wide and short,HammerThrow
v_HammerThrow_g09_c07,0,1,0,4,wide and short,HammerThrow
v_HammerThrow_g10_c05,0,3,0,2,thin and short,HammerThrow
v_HammerThrow_g10_c06,0,4,0,1,thin and short,HammerThrow
v_HammerThrow_g11_c02,0,1,0,4,wide and short,HammerThrow
v_HammerThrow_g11_c03,0,1,0,4,wide and short,HammerThrow
v_HammerThrow_g12_c07,0,2,0,3,wide and short,HammerThrow
v_HammerThrow_g13_c01,0,1,0,4,wide and short,HammerThrow
v_HammerThrow_g13_c02,0,1,0,4,wide and short,HammerThrow
v_HammerThrow_g13_c06,0,1,0,4,wide and short,HammerThrow
v_HammerThrow_g14_c01,0,1,0,4,wide and short,HammerThrow
v_HammerThrow_g14_c04,0,0,0,5,wide and short,HammerThrow
v_HammerThrow_g14_c05,0,0,0,5,wide and short,HammerThrow
v_HammerThrow_g16_c01,0,1,0,4,wide and short,HammerThrow
v_HammerThrow_g16_c04,0,1,0,4,wide and short,HammerThrow
v_HammerThrow_g17_c02,0,1,0,4,wide and short,HammerThrow
v_HammerThrow_g17_c03,0,0,0,5,wide and short,HammerThrow
v_HammerThrow_g18_c02,0,1,0,4,wide and short,HammerThrow
v_HammerThrow_g18_c03,0,2,0,3,wide and short,HammerThrow
v_HammerThrow_g19_c01,0,5,0,0,thin and short,HammerThrow
v_HammerThrow_g19_c03,0,4,0,1,thin and short,HammerThrow
v_HammerThrow_g19_c05,0,3,0,2,thin and short,HammerThrow
v_HammerThrow_g21_c02,0,3,0,2,thin and short,HammerThrow
v_HammerThrow_g21_c04,0,4,0,1,thin and short,HammerThrow
v_HammerThrow_g22_c01,0,0,0,5,wide and short,HammerThrow
v_HammerThrow_g22_c02,0,2,0,3,wide and short,HammerThrow
v_HammerThrow_g22_c03,0,2,0,3,wide and short,HammerThrow
v_HammerThrow_g24_c02,0,2,0,3,wide and short,HammerThrow
v_HammerThrow_g25_c04,0,1,0,4,wide and short,HammerThrow
v_HammerThrow_g25_c05,0,2,0,3,wide and short,HammerThrow
v_Hammering_g02_c02,0,1,0,4,wide and short,Hammering
v_Hammering_g02_c03,0,2,0,3,wide and short,Hammering
v_Hammering_g04_c04,0,0,0,5,wide and short,Hammering
v_Hammering_g04_c05,0,0,0,5,wide and short,Hammering
v_Hammering_g06_c01,0,4,0,1,thin and short,Hammering
v_Hammering_g08_c01,0,2,0,3,wide and short,Hammering
v_Hammering_g08_c02,0,2,0,3,wide and short,Hammering
v_Hammering_g12_c04,0,3,0,2,thin and short,Hammering
v_Hammering_g12_c05,0,3,0,2,thin and short,Hammering
v_Hammering_g19_c06,0,1,0,4,wide and short,Hammering
v_Hammering_g23_c03,0,0,0,5,wide and short,Hammering
v_Hammering_g23_c06,0,0,0,5,wide and short,Hammering
v_HandstandWalking_g02_c01,0,0,0,5,wide and short,HandstandWalking
v_HandstandWalking_g02_c03,0,2,0,3,wide and short,HandstandWalking
v_HandstandWalking_g15_c01,0,2,0,3,wide and short,HandstandWalking
v_HandstandWalking_g16_c01,0,0,0,5,wide and short,HandstandWalking
v_HandstandWalking_g18_c01,0,2,0,3,wide and short,HandstandWalking
v_HighJump_g01_c03,0,3,0,2,thin and short,HighJump
v_HighJump_g03_c02,0,2,0,3,wide and short,HighJump
v_HighJump_g05_c02,0,5,0,0,thin and short,HighJump
v_HighJump_g05_c05,0,3,0,2,thin and short,HighJump
v_HighJump_g08_c03,0,3,0,2,thin and short,HighJump
v_HighJump_g09_c02,0,2,0,3,wide and short,HighJump
v_HighJump_g12_c03,0,0,0,5,wide and short,HighJump
v_HighJump_g12_c04,0,0,0,5,wide and short,HighJump
v_HighJump_g16_c05,0,5,0,0,thin and short,HighJump
v_HighJump_g18_c04,0,3,0,2,thin and short,HighJump
v_HighJump_g20_c03,0,2,0,3,wide and short,HighJump
v_HighJump_g21_c03,0,2,0,3,wide and short,HighJump
v_HighJump_g21_c04,0,2,0,3,wide and short,HighJump
v_HorseRace_g04_c01,0,0,0,5,wide and short,HorseRace
v_HorseRace_g04_c02,0,0,0,5,wide and short,HorseRace
v_HorseRace_g06_c06,0,3,0,2,thin and short,HorseRace
v_HorseRace_g16_c05,0,4,0,1,thin and short,HorseRace
v_HorseRace_g22_c01,0,0,0,5,wide and short,HorseRace
v_HorseRace_g22_c02,0,0,0,5,wide and short,HorseRace
v_HorseRace_g23_c03,0,3,0,2,thin and short,HorseRace
v_HorseRace_g23_c05,0,4,0,1,thin and short,HorseRace
v_HorseRace_g24_c06,0,5,0,0,thin and short,HorseRace
v_HorseRace_g24_c07,0,3,0,2,thin and short,HorseRace
v_HorseRiding_g04_c01,0,1,0,4,wide and short,HorseRiding
v_HorseRiding_g04_c02,0,2,0,3,wide and short,HorseRiding
v_HorseRiding_g04_c04,0,2,0,3,wide and short,HorseRiding
v_HorseRiding_g08_c05,0,5,0,0,thin and short,HorseRiding
v_HorseRiding_g08_c06,0,5,0,0,thin and short,HorseRiding
v_HorseRiding_g12_c01,0,2,0,3,wide and short,HorseRiding
v_HorseRiding_g12_c02,0,2,0,3,wide and short,HorseRiding
v_HorseRiding_g12_c06,0,2,0,3,wide and short,HorseRiding
v_HorseRiding_g13_c01,0,0,0,5,wide and short,HorseRiding
v_HorseRiding_g14_c02,0,2,0,3,wide and short,HorseRiding
v_HorseRiding_g14_c04,0,1,0,4,wide and short,HorseRiding
v_HorseRiding_g20_c01,0,3,0,2,thin and short,HorseRiding
v_HorseRiding_g20_c04,0,3,0,2,thin and short,HorseRiding
v_HorseRiding_g20_c06,0,3,0,2,thin and short,HorseRiding
v_HorseRiding_g21_c04,0,2,0,3,wide and short,HorseRiding
v_HorseRiding_g24_c01,0,3,0,2,thin and short,HorseRiding
v_HorseRiding_g24_c03,0,3,0,2,thin and short,HorseRiding
v_HorseRiding_g24_c04,0,3,0,2,thin and short,HorseRiding
v_HulaHoop_g01_c02,0,2,0,3,wide and short,HulaHoop
v_HulaHoop_g13_c06,0,2,0,3,wide and short,HulaHoop
v_HulaHoop_g15_c01,0,0,0,5,wide and short,HulaHoop
v_IceDancing_g01_c02,0,2,0,3,wide and short,IceDancing
v_IceDancing_g02_c05,0,1,0,4,wide and short,IceDancing
v_IceDancing_g04_c05,0,2,0,3,wide and short,IceDancing
v_IceDancing_g05_c06,0,2,0,3,wide and short,IceDancing
v_IceDancing_g06_c02,0,2,0,3,wide and short,IceDancing
v_IceDancing_g07_c02,0,2,0,3,wide and short,IceDancing
v_IceDancing_g07_c06,0,2,0,3,wide and short,IceDancing
v_IceDancing_g08_c01,0,2,0,3,wide and short,IceDancing
v_IceDancing_g08_c06,0,2,0,3,wide and short,IceDancing
v_IceDancing_g09_c01,0,4,0,1,thin and short,IceDancing
v_IceDancing_g09_c06,0,3,0,2,thin and short,IceDancing
v_IceDancing_g13_c04,0,1,0,4,wide and short,IceDancing
v_IceDancing_g14_c02,0,5,0,0,thin and short,IceDancing
v_IceDancing_g14_c04,0,4,0,1,thin and short,IceDancing
v_IceDancing_g16_c01,0,2,0,3,wide and short,IceDancing
v_IceDancing_g17_c04,0,3,0,2,thin and short,IceDancing
v_IceDancing_g19_c06,0,2,0,3,wide and short,IceDancing
v_IceDancing_g20_c01,0,4,0,1,thin and short,IceDancing
v_IceDancing_g20_c03,0,4,0,1,thin and short,IceDancing
v_IceDancing_g20_c06,0,5,0,0,thin and short,IceDancing
v_IceDancing_g21_c05,0,0,0,5,wide and short,IceDancing
v_IceDancing_g23_c07,0,2,0,3,wide and short,IceDancing
v_IceDancing_g24_c04,0,2,0,3,wide and short,IceDancing
v_IceDancing_g25_c05,0,2,0,3,wide and short,IceDancing
v_JavelinThrow_g01_c02,0,3,0,2,thin and short,JavelinThrow
v_JavelinThrow_g02_c04,0,3,0,2,thin and short,JavelinThrow
v_JavelinThrow_g05_c01,0,4,0,1,thin and short,JavelinThrow
v_JavelinThrow_g05_c06,0,5,0,0,thin and short,JavelinThrow
v_JavelinThrow_g08_c04,0,3,0,2,thin and short,JavelinThrow
