video_name,count_white,count_asian,count_black,count_middle_eastern,count_indian,count_hispanic,count_unknown,final
v_Archery_g14_c01,17,7,13,4,0,5,4,white
v_Archery_g15_c01,4,0,4,0,38,3,1,indian
v_Archery_g16_c01.,2,6,0,0,33,7,2,indian
v_Archery_g17_c01.,9,1,3,1,0,21,15,hispanic
v_Archery_g18_c01,0,38,0,4,1,6,1,asian
v_Archery_g19_c01,6,39,0,0,0,2,3,asian
v_Archery_g20_c01,2,4,1,1,42,0,0,indian
v_Archery_g21_c01.,11,30,4,0,5,0,0,asian
v_Archery_g22_c01,22,1,3,2,0,20,2,white
v_Archery_g23_c01.,2,0,0,0,0,48,0,hispanic
v_Archery_g24_c01,35,1,10,0,2,1,1,white
v_Archery_g25_c01,20,10,3,0,0,12,5,white
v_Archery_g26_c01,7,16,12,0,0,0,15,asian
v_Archery_g27_c01.,24,1,1,5,0,10,9,white
v_Archery_g28_c01,0,38,2,0,0,9,1,asian
v_Archery_g29_c01,10,12,7,0,13,5,3,indian
v_Archery_g30_c01,0,22,5,0,21,2,0,asian
v_Archery_g31_c01.,5,1,0,40,0,4,0,middle eastern
v_Archery_g32_c01,4,3,0,0,0,13,30,unknown
v_Archery_g33_c01,0,9,2,0,37,2,0,indian
v_Archery_g34_c01,3,8,4,1,26,5,2,indian
v_Archery_g35_c01,10,1,8,2,0,18,11,hispanic
v_Archery_g36_c01,1,25,6,14,0,1,3,asian
v_Archery_g37_c01.,3,40,0,5,0,0,2,asian
v_Archery_g38_c01,40,1,3,0,0,4,2,white
v_Archery_g39_c01,36,9,2,0,0,3,0,white
v_Archery_g40_c01,12,6,0,0,2,26,4,hispanic
v_Archery_g41_c01,4,6,28,1,1,9,1,black
v_Archery_g42_c01,3,35,2,0,0,5,5,asian
v_Archery_g43_c01,1,0,13,0,10,7,19,black
v_Archery_g44_c01,0,33,0,13,3,1,0,asian
v_Archery_g45_c01,24,1,0,0,0,25,0,hispanic
v_Archery_g46_c01.,2,11,3,3,28,3,0,indian
v_Archery_g47_c01,4,27,5,5,0,0,9,asian
v_Archery_g48_c01,3,4,4,1,37,1,0,indian
v_Archery_g49_c01,0,2,45,2,0,0,1,black
v_Archery_g50_c01.,33,2,0,4,0,11,0,white
v_Archery_g51_c01,5,10,6,3,5,7,14,asian
v_Archery_g52_c01.,24,6,4,5,0,10,1,white
v_Archery_g53_c01,29,0,2,0,0,9,10,white
v_Archery_g54_c01,13,13,0,9,0,5,10,white
v_Archery_g55_c01,0,38,2,3,0,3,4,asian
v_Archery_g56_c01,18,4,3,4,0,0,21,white
v_Archery_g57_c01,0,20,1,1,21,6,1,indian
v_Archery_g58_c01,9,3,5,2,0,0,31,unknown
v_Archery_g59_c01,6,10,16,1,0,4,13,black
v_Archery_g60_c01,5,8,0,0,1,30,6,hispanic
v_Archery_g61_c01.,4,23,4,0,0,18,1,asian
v_BabyCrawling_g01_c01.,39,1,6,1,0,0,3,white
v_BabyCrawling_g02_c01,36,0,12,0,0,2,0,white
v_BabyCrawling_g03_c01,5,2,40,0,0,2,1,black
v_BabyCrawling_g04_c01,5,4,0,0,0,0,41,unknown
v_BabyCrawling_g05_c01,0,35,5,2,0,2,6,asian
v_BabyCrawling_g06_c01,20,3,22,1,0,1,3,black
v_BabyCrawling_g07_c01,32,7,11,0,0,0,0,white
v_BabyCrawling_g08_c01,8,0,0,4,0,32,6,hispanic
v_BabyCrawling_g09_c01,12,0,27,0,0,4,7,black
v_BabyCrawling_g10_c01.,39,2,0,0,0,3,6,white
v_BabyCrawling_g11_c01.,32,1,14,1,0,1,1,white
v_BabyCrawling_g12_c01.,0,12,0,13,24,0,1,indian
v_BabyCrawling_g13_c01,20,10,1,2,2,9,6,white
v_BabyCrawling_g14_c01,0,1,23,4,0,4,18,black
v_BabyCrawling_g15_c01,37,6,3,0,0,4,0,white
v_BabyCrawling_g16_c01,5,1,3,1,0,28,12,hispanic
v_BabyCrawling_g17_c01,1,7,0,0,0,0,42,unknown
v_BabyCrawling_g18_c01,6,2,0,0,0,11,31,unknown
v_BabyCrawling_g19_c01,2,8,0,1,2,37,0,hispanic
v_BabyCrawling_g20_c01,0,4,0,2,36,7,1,indian
v_BabyCrawling_g21_c01,1,40,0,0,0,9,0,asian
v_BabyCrawling_g22_c01,0,0,2,0,46,0,2,indian
v_BabyCrawling_g23_c01,37,2,0,8,0,0,3,white
v_BabyCrawling_g24_c01,27,13,0,0,0,5,5,white
v_BabyCrawling_g25_c01,22,4,2,7,0,3,12,white
v_BabyCrawling_g26_c01,0,0,50,0,0,0,0,black
v_BabyCrawling_g27_c01.,9,0,27,0,0,4,10,black
v_BabyCrawling_g28_c01,29,1,1,3,0,7,9,white
v_BabyCrawling_g29_c01.,6,40,1,1,0,1,1,asian
v_BabyCrawling_g30_c01,1,22,0,19,4,3,1,asian
v_BabyCrawling_g31_c01,1,22,0,2,1,13,11,asian
v_BabyCrawling_g32_c01,8,3,4,0,0,23,12,hispanic
v_BabyCrawling_g33_c01,8,2,30,4,0,5,1,black
v_BabyCrawling_g34_c01.,0,46,0,0,0,3,1,asian
v_BabyCrawling_g35_c01,0,0,49,0,0,1,0,black
v_BabyCrawling_g36_c01,2,36,2,0,2,4,4,asian
v_BabyCrawling_g37_c01,9,4,29,1,0,0,7,black
v_BabyCrawling_g38_c01,0,1,2,3,0,36,8,hispanic
v_BabyCrawling_g39_c01,1,1,2,4,0,33,9,hispanic
v_BabyCrawling_g40_c01,20,7,5,3,0,9,6,white
v_BabyCrawling_g41_c01,0,19,1,4,2,13,11,asian
v_BabyCrawling_g42_c01,14,4,4,2,1,1,24,white
v_BabyCrawling_g43_c01,4,7,6,11,0,10,12,middle eastern
v_BabyCrawling_g44_c01,1,3,2,9,4,23,8,hispanic
v_BabyCrawling_g45_c01,0,1,9,23,0,0,17,middle eastern
v_BalanceBeam_g01_c01,25,1,3,1,0,12,8,white
v_BalanceBeam_g02_c01,18,2,1,0,0,25,4,hispanic
v_BalanceBeam_g03_c01,19,13,11,0,3,4,0,white
v_BalanceBeam_g04_c01,17,12,7,4,3,4,3,white
v_BalanceBeam_g05_c01,4,14,1,5,0,10,16,asian
v_BalanceBeam_g06_c01,3,0,0,5,23,18,1,indian
v_BalanceBeam_g07_c01.,0,1,2,0,47,0,0,indian
v_BalanceBeam_g08_c01,21,2,2,1,0,0,24,white
v_BalanceBeam_g09_c01,11,2,1,0,1,35,0,hispanic
v_BalanceBeam_g10_c01,6,7,21,9,0,7,0,black
v_BalanceBeam_g11_c01.,50,0,0,0,0,0,0,white
v_BalanceBeam_g12_c01,0,2,10,38,0,0,0,middle eastern
v_BalanceBeam_g13_c01,0,50,0,0,0,0,0,asian
v_BalanceBeam_g14_c01,12,13,4,0,0,3,18,asian
v_BalanceBeam_g15_c01.,3,10,1,0,4,27,4,hispanic
v_BalanceBeam_g16_c01,4,14,10,13,0,9,0,asian
v_BalanceBeam_g17_c01,9,27,7,1,0,1,5,asian
v_BalanceBeam_g18_c01,0,3,47,0,0,0,0,black
v_BalanceBeam_g19_c01,0,0,50,0,0,0,0,black
v_BalanceBeam_g20_c01,19,21,4,1,2,1,2,asian
v_BalanceBeam_g21_c01,15,8,2,0,2,23,0,hispanic
v_BalanceBeam_g22_c01,10,40,0,0,0,0,0,asian
v_BalanceBeam_g23_c01,29,8,3,0,0,2,8,white
v_BalanceBeam_g24_c01,10,1,23,2,0,0,14,black
v_BalanceBeam_g25_c01,31,4,3,1,0,8,3,white
v_BalanceBeam_g26_c01,0,11,3,4,24,7,0,indian
v_BalanceBeam_g27_c01,0,0,0,0,50,0,0,indian
v_BalanceBeam_g28_c01,3,7,2,0,36,2,0,indian
v_BalanceBeam_g29_c01,17,8,6,1,1,1,16,white
v_BalanceBeam_g30_c01,11,8,29,1,0,1,0,black
v_BalanceBeam_g31_c01.,4,4,35,0,0,1,6,black
v_BalanceBeam_g32_c01,6,0,0,0,42,1,1,indian
v_BalanceBeam_g33_c01,12,6,0,2,0,0,30,unknown
v_BalanceBeam_g34_c01.,2,11,0,2,0,2,33,unknown
v_BalanceBeam_g35_c01,6,25,5,1,0,0,13,asian
v_BalanceBeam_g36_c01,1,49,0,0,0,0,0,asian
v_BalanceBeam_g37_c01.,29,8,8,0,1,2,2,white
v_BalanceBeam_g38_c01,26,3,10,2,0,6,3,white
v_BalanceBeam_g39_c01,0,2,5,0,0,0,43,unknown
v_BalanceBeam_g40_c01,2,24,4,1,14,1,4,asian
v_BalanceBeam_g41_c01,1,5,2,0,36,2,4,indian
v_BalanceBeam_g42_c01,49,0,0,0,0,0,1,white
v_BalanceBeam_g43_c01,19,12,4,1,0,5,9,white
v_BalanceBeam_g44_c01,3,0,39,2,0,4,2,black
v_BalanceBeam_g45_c01.,14,0,10,11,1,14,0,white
v_BalanceBeam_g46_c01,1,32,0,0,0,3,14,asian
v_BalanceBeam_g47_c01,12,0,23,1,3,6,5,black
v_BalanceBeam_g48_c01,16,21,3,0,0,6,4,asian
v_BalanceBeam_g49_c01,11,4,14,4,0,9,8,black
v_BalanceBeam_g50_c01,8,36,1,3,0,1,1,asian
v_BalanceBeam_g51_c01,2,36,2,1,3,1,5,asian
v_BalanceBeam_g52_c01.,10,31,6,0,0,1,2,asian
v_BalanceBeam_g53_c01,0,25,0,1,1,6,17,asian
v_BalanceBeam_g54_c01,42,3,2,0,1,2,0,white
v_BalanceBeam_g55_c01,4,6,0,2,0,3,35,unknown
v_BalanceBeam_g56_c01,0,1,0,0,49,0,0,indian
v_BalanceBeam_g57_c01,28,6,7,0,0,0,9,white
v_BalanceBeam_g58_c01,0,19,2,0,0,29,0,hispanic
v_BalanceBeam_g59_c01,13,4,4,3,0,26,0,hispanic
v_BalanceBeam_g60_c01,14,14,5,5,1,4,7,white
v_BalanceBeam_g61_c01,0,0,32,1,0,17,0,black
v_BalanceBeam_g62_c01,4,14,30,1,0,0,1,black
v_BalanceBeam_g63_c01,5,2,43,0,0,0,0,black
v_BalanceBeam_g64_c01,9,39,2,0,0,0,0,asian
v_BalanceBeam_g65_c01,1,5,22,0,0,5,17,black
v_BalanceBeam_g66_c01,24,3,4,0,0,5,14,white
v_BalanceBeam_g67_c01,9,0,6,2,0,0,33,unknown
v_BalanceBeam_g68_c01,4,16,1,0,2,21,6,hispanic
v_BalanceBeam_g69_c01,5,1,5,1,0,8,30,unknown
v_BalanceBeam_g70_c01.,0,4,4,8,27,5,2,indian
v_BalanceBeam_g71_c01,5,26,16,0,1,1,1,asian
v_BalanceBeam_g72_c01,10,20,2,0,0,5,13,asian
v_BalanceBeam_g73_c01,41,1,7,0,0,1,0,white
v_BalanceBeam_g74_c01,3,0,2,0,0,45,0,hispanic
v_BalanceBeam_g75_c01,1,18,11,3,11,1,5,asian
v_BalanceBeam_g76_c01,17,11,22,0,0,0,0,black
v_BalanceBeam_g77_c01,29,2,7,8,0,2,2,white
v_BandMarching_g01_c01,0,0,0,48,2,0,0,middle eastern
v_BandMarching_g02_c01.,17,0,30,0,0,1,2,black
v_BandMarching_g03_c01,0,0,14,2,15,18,1,hispanic
v_BandMarching_g04_c01,0,50,0,0,0,0,0,asian
v_BandMarching_g05_c01,23,0,1,1,0,0,25,unknown
v_BandMarching_g06_c01,3,10,4,2,0,31,0,hispanic
v_BandMarching_g07_c01,24,5,1,0,13,1,6,white
v_BandMarching_g08_c01,19,4,2,0,0,1,24,white
v_BandMarching_g09_c01,0,0,8,1,40,1,0,indian
v_BandMarching_g10_c01,1,2,0,6,30,8,3,indian
v_BandMarching_g11_c01,0,50,0,0,0,0,0,asian
v_BandMarching_g12_c01,0,8,28,0,0,14,0,black
v_BandMarching_g13_c01,8,3,0,0,0,30,9,hispanic
v_BandMarching_g14_c01,2,5,6,0,0,15,22,hispanic
v_BandMarching_g15_c01,16,0,26,3,0,0,5,black
v_BandMarching_g16_c01,12,1,18,0,0,19,0,hispanic
v_BandMarching_g17_c01,0,14,4,0,19,5,8,indian
v_BandMarching_g18_c01,3,24,4,2,0,11,6,asian
v_BandMarching_g19_c01,0,0,0,0,50,0,0,indian
v_BandMarching_g20_c01,3,1,45,0,0,1,0,black
v_BandMarching_g21_c01,13,0,14,0,0,2,21,black
v_BandMarching_g22_c01,0,1,27,0,3,14,5,black
v_BandMarching_g23_c01.,4,1,28,1,0,13,3,black
v_BandMarching_g24_c01,35,0,13,2,0,0,0,white
v_BandMarching_g25_c01,25,0,15,0,0,10,0,white
v_BandMarching_g26_c01,40,0,6,0,0,1,3,white
v_BandMarching_g27_c01.,41,1,4,0,0,1,3,white
v_BandMarching_g28_c01,17,1,29,0,0,3,0,black
v_BandMarching_g29_c01,34,0,1,0,0,15,0,white
v_BandMarching_g30_c01,0,0,48,0,1,0,1,black
v_BandMarching_g31_c01,1,15,0,1,31,1,1,indian
v_BandMarching_g32_c01,3,0,44,0,0,2,1,black
v_BandMarching_g33_c01,0,5,3,0,39,0,3,indian
v_BandMarching_g34_c01,0,0,37,0,0,10,3,black
v_BandMarching_g35_c01,17,0,33,0,0,0,0,black
v_BandMarching_g36_c01,13,4,4,4,0,0,25,unknown
v_BandMarching_g37_c01,9,1,2,19,0,1,18,middle eastern
v_BandMarching_g38_c01.,0,1,0,0,49,0,0,indian
v_BandMarching_g39_c01.,0,0,1,0,49,0,0,indian
v_BandMarching_g40_c01,3,8,6,2,10,8,13,indian
v_BandMarching_g41_c01,3,0,20,0,0,15,12,black
v_BandMarching_g42_c01,0,2,2,3,40,3,0,indian
v_BandMarching_g43_c01.,19,0,29,1,0,0,1,black
v_BandMarching_g44_c01,12,0,13,6,0,4,15,black
v_BandMarching_g45_c01,37,0,11,0,2,0,0,white
v_BandMarching_g46_c01,4,0,46,0,0,0,0,black
v_BandMarching_g47_c01.,37,3,1,0,0,1,8,white
v_BandMarching_g48_c01,0,15,6,0,2,1,26,unknown
v_BandMarching_g49_c01,13,0,31,0,0,1,5,black
v_BandMarching_g50_c01,0,0,8,0,2,37,3,hispanic
v_BandMarching_g51_c01,0,3,8,16,2,19,2,hispanic
v_BandMarching_g52_c01.,1,2,3,3,39,0,2,indian
v_BandMarching_g53_c01,10,11,8,0,0,15,6,hispanic
v_BandMarching_g54_c01,0,43,2,0,1,2,2,asian
v_BandMarching_g55_c01,0,0,47,0,0,3,0,black
v_BandMarching_g56_c01,6,3,3,0,0,30,8,hispanic
v_BandMarching_g57_c01,6,28,0,0,3,9,4,asian
v_BandMarching_g58_c01,0,10,0,7,16,13,4,indian
v_BandMarching_g59_c01.,0,2,0,0,47,1,0,indian
v_BandMarching_g60_c01,48,0,2,0,0,0,0,white
v_BandMarching_g61_c01,45,2,1,0,0,0,2,white
v_BandMarching_g62_c01,6,0,4,1,0,34,5,hispanic
v_BandMarching_g63_c01,1,0,1,0,0,0,48,unknown
v_BandMarching_g64_c01,0,48,1,0,0,0,1,asian
v_BandMarching_g65_c01,2,0,47,0,0,0,1,black
v_BandMarching_g66_c01,8,3,33,0,0,2,4,black
v_BandMarching_g67_c01,25,4,16,1,0,2,2,white
v_BandMarching_g68_c01,50,0,0,0,0,0,0,white
v_BandMarching_g69_c01,13,5,11,3,1,14,3,hispanic
v_BandMarching_g70_c01,0,3,4,3,1,31,8,hispanic
v_BandMarching_g71_c01,0,1,41,0,0,8,0,black
v_BandMarching_g72_c01,23,2,24,0,0,0,1,black
v_BaseballPitch_g01_c01,31,14,3,0,0,0,2,white
v_BaseballPitch_g02_c01,4,3,13,17,0,13,0,middle eastern
v_BaseballPitch_g03_c01,23,0,18,0,0,3,6,white
v_BaseballPitch_g04_c01,6,0,0,0,0,44,0,hispanic
v_BaseballPitch_g05_c01,18,0,0,0,0,32,0,hispanic
v_BaseballPitch_g06_c01,20,1,7,0,0,14,8,white
v_BaseballPitch_g07_c01.,17,11,12,7,1,2,0,white
v_BaseballPitch_g08_c01,50,0,0,0,0,0,0,white
v_BaseballPitch_g09_c01,27,4,11,0,0,4,4,white
v_BaseballPitch_g10_c01,8,19,2,1,0,4,16,asian
v_BaseballPitch_g11_c01,18,0,7,2,0,12,11,white
v_BaseballPitch_g12_c01,23,11,11,0,0,4,1,white
v_BaseballPitch_g13_c01,38,3,0,1,0,2,6,white
v_BaseballPitch_g14_c01.,0,44,0,0,4,0,2,asian
v_BaseballPitch_g15_c01,0,0,8,0,0,41,1,hispanic
v_BaseballPitch_g16_c01,2,10,35,0,1,2,0,black
v_BaseballPitch_g17_c01,6,22,14,0,0,4,4,asian
v_BaseballPitch_g18_c01,15,10,7,0,0,12,6,white
v_BaseballPitch_g19_c01.,36,0,0,0,0,14,0,white
v_BaseballPitch_g20_c01.,48,0,0,0,0,2,0,white
v_BaseballPitch_g21_c01,29,2,2,6,0,5,6,white
v_BaseballPitch_g22_c01,2,8,1,0,0,39,0,hispanic
v_BaseballPitch_g23_c01,45,0,1,0,0,4,0,white
v_BaseballPitch_g24_c01,2,6,34,0,0,7,1,black
v_BaseballPitch_g25_c01,35,2,7,0,0,6,0,white
v_BaseballPitch_g26_c01,17,3,6,0,0,17,7,white
v_BaseballPitch_g27_c01,21,1,14,0,0,14,0,white
v_BaseballPitch_g28_c01,0,43,0,0,0,0,7,asian
v_BaseballPitch_g29_c01,5,39,3,0,0,0,3,asian
v_BaseballPitch_g30_c01,0,0,50,0,0,0,0,black
v_BaseballPitch_g31_c01,0,1,3,0,0,43,3,hispanic
v_BaseballPitch_g32_c01.,13,5,25,0,0,7,0,black
v_BaseballPitch_g33_c01,7,15,17,0,0,6,5,black
v_BaseballPitch_g34_c01,0,0,49,0,0,1,0,black
v_BaseballPitch_g35_c01.,19,9,20,0,0,2,0,black
v_BaseballPitch_g36_c01,5,2,2,1,0,1,39,unknown
v_BaseballPitch_g37_c01,29,8,7,0,0,4,2,white
v_BaseballPitch_g38_c01.,25,2,7,2,0,5,9,white
v_BaseballPitch_g39_c01,20,6,4,2,0,18,0,white
v_BaseballPitch_g40_c01,23,0,27,0,0,0,0,black
v_BaseballPitch_g41_c01,5,7,14,0,0,24,0,hispanic
v_BaseballPitch_g42_c01,2,3,15,0,0,11,19,black
v_BaseballPitch_g43_c01.,14,10,21,0,0,1,4,black
v_BaseballPitch_g44_c01,3,1,27,1,1,5,12,black
v_BaseballPitch_g45_c01,2,0,25,1,1,5,16,black
v_BaseballPitch_g46_c01,9,16,2,13,0,0,10,asian
v_BaseballPitch_g47_c01,20,21,7,0,0,2,0,asian
v_BaseballPitch_g48_c01,3,3,40,0,1,0,3,black
v_BaseballPitch_g49_c01,2,3,34,0,4,7,0,black
v_BaseballPitch_g50_c01,50,0,0,0,0,0,0,white
v_BaseballPitch_g51_c01.,23,12,12,0,0,3,0,white
v_BaseballPitch_g52_c01,49,0,0,0,0,1,0,white
v_BaseballPitch_g53_c01,9,11,15,0,0,13,2,black
v_BaseballPitch_g54_c01.,19,0,4,0,0,2,25,unknown
v_BaseballPitch_g55_c01,24,1,5,2,0,1,17,white
v_BaseballPitch_g56_c01,25,3,1,0,0,14,7,white
v_BaseballPitch_g57_c01,1,2,21,0,0,22,4,hispanic
v_BaseballPitch_g58_c01,16,3,27,0,0,3,1,black
v_BaseballPitch_g59_c01,23,1,23,0,0,3,0,white
v_Basketball_g01_c01,16,2,32,0,0,0,0,black
v_Basketball_g02_c01,30,3,16,0,0,0,1,white
v_Basketball_g03_c01,23,13,7,0,0,7,0,white
v_Basketball_g04_c01.,1,0,45,2,0,2,0,black
v_Basketball_g05_c01.,4,1,42,0,0,1,2,black
v_Basketball_g06_c01,2,25,8,0,0,14,1,asian
v_Basketball_g07_c01,2,20,0,1,0,26,1,hispanic
v_Basketball_g08_c01,8,2,14,0,0,24,2,hispanic
v_Basketball_g09_c01.,0,4,38,0,0,3,5,black
v_Basketball_g10_c01,45,0,4,0,0,1,0,white
v_Basketball_g11_c01,21,0,28,0,0,0,1,black
v_Basketball_g12_c01,46,0,2,0,0,2,0,white
v_Basketball_g13_c01,0,0,49,0,0,1,0,black
v_Basketball_g14_c01,41,5,0,2,0,1,1,white
v_Basketball_g15_c01.,42,1,5,0,0,0,2,white
v_Basketball_g16_c01,10,23,2,2,0,10,3,asian
v_Basketball_g17_c01,4,12,31,0,0,1,2,black
v_Basketball_g18_c01,2,0,42,2,0,4,0,black
v_Basketball_g19_c01,21,3,19,3,0,4,0,white
v_Basketball_g20_c01,2,4,1,0,0,32,11,hispanic
v_Basketball_g21_c01,43,0,7,0,0,0,0,white
