video_name,male_count,female_count,final
v_BalanceBeam_g67_c01,38,12,male
v_BalanceBeam_g68_c01,36,14,male
v_BalanceBeam_g69_c01,27,23,male
v_BalanceBeam_g70_c01.,44,6,male
v_BalanceBeam_g71_c01,17,33,female
v_BalanceBeam_g72_c01,18,32,female
v_BalanceBeam_g73_c01,37,13,male
v_BalanceBeam_g74_c01,7,43,female
v_BalanceBeam_g75_c01,27,23,male
v_BalanceBeam_g76_c01,14,36,female
v_BalanceBeam_g77_c01,9,41,female
v_BandMarching_g01_c01,49,1,male
v_BandMarching_g02_c01.,29,21,male
v_BandMarching_g03_c01,35,15,male
v_BandMarching_g04_c01,1,49,female
v_BandMarching_g05_c01,43,7,male
v_BandMarching_g06_c01,50,0,male
v_BandMarching_g07_c01,21,29,female
v_BandMarching_g08_c01,40,10,male
v_BandMarching_g09_c01,30,20,male
v_BandMarching_g10_c01,43,7,male
v_BandMarching_g11_c01,46,4,male
v_BandMarching_g12_c01,17,33,female
v_BandMarching_g13_c01,49,1,male
v_BandMarching_g14_c01,21,29,female
v_BandMarching_g15_c01,45,5,male
v_BandMarching_g16_c01,12,38,female
v_BandMarching_g17_c01,19,31,female
v_BandMarching_g18_c01,28,22,male
v_BandMarching_g19_c01,5,45,female
v_BandMarching_g20_c01,19,31,female
v_BandMarching_g21_c01,47,3,male
v_BandMarching_g22_c01,19,31,female
v_BandMarching_g23_c01.,28,22,male
v_BandMarching_g24_c01,35,15,male
v_BandMarching_g25_c01,25,25,uncertain
v_BandMarching_g26_c01,45,5,male
v_BandMarching_g27_c01.,34,16,male
v_BandMarching_g28_c01,11,39,female
v_BandMarching_g29_c01,39,11,male
v_BandMarching_g30_c01,45,5,male
v_BandMarching_g31_c01,24,26,female
v_BandMarching_g32_c01,28,22,male
v_BandMarching_g33_c01,11,39,female
v_BandMarching_g34_c01,48,2,male
v_BandMarching_g35_c01,1,49,female
v_BandMarching_g36_c01,36,14,male
v_BandMarching_g37_c01,14,36,female
v_BandMarching_g38_c01.,29,21,male
v_BandMarching_g39_c01.,49,1,male
v_BandMarching_g40_c01,29,21,male
v_BandMarching_g41_c01,40,10,male
v_BandMarching_g42_c01,34,16,male
v_BandMarching_g43_c01.,30,20,male
v_BandMarching_g44_c01,49,1,male
v_BandMarching_g45_c01,38,12,male
v_BandMarching_g46_c01,17,33,female
v_BandMarching_g47_c01.,45,5,male
v_BandMarching_g48_c01,40,10,male
v_BandMarching_g49_c01,25,25,uncertain
v_BandMarching_g50_c01,42,8,male
v_BandMarching_g51_c01,48,2,male
v_BandMarching_g52_c01.,24,26,female
v_BandMarching_g53_c01,20,30,female
v_BandMarching_g54_c01,2,48,female
v_BandMarching_g55_c01,3,47,female
v_BandMarching_g56_c01,37,13,male
v_BandMarching_g57_c01,11,39,female
v_BandMarching_g58_c01,31,19,male
v_BandMarching_g59_c01.,45,5,male
v_BandMarching_g60_c01,49,1,male
v_BandMarching_g61_c01,35,15,male
v_BandMarching_g62_c01,49,1,male
v_BandMarching_g63_c01,32,18,male
v_BandMarching_g64_c01,49,1,male
v_BandMarching_g65_c01,48,2,male
v_BandMarching_g66_c01,32,18,male
v_BandMarching_g67_c01,39,11,male
v_BandMarching_g68_c01,49,1,male
v_BandMarching_g69_c01,38,12,male
v_BandMarching_g70_c01,45,5,male
v_BandMarching_g71_c01,35,15,male
v_BandMarching_g72_c01,26,24,male
v_BaseballPitch_g01_c01,39,11,male
v_BaseballPitch_g02_c01,43,7,male
v_BaseballPitch_g03_c01,4,46,female
v_BaseballPitch_g04_c01,50,0,male
v_BaseballPitch_g05_c01,50,0,male
v_BaseballPitch_g06_c01,45,5,male
v_BaseballPitch_g07_c01.,34,16,male
v_BaseballPitch_g08_c01,38,12,male
v_BaseballPitch_g09_c01,41,9,male
v_BaseballPitch_g10_c01,47,3,male
v_BaseballPitch_g11_c01,41,9,male
v_BaseballPitch_g12_c01,40,10,male
v_BaseballPitch_g13_c01,44,6,male
v_BaseballPitch_g14_c01.,4,46,female
v_BaseballPitch_g15_c01,50,0,male
v_BaseballPitch_g16_c01,4,46,female
v_BaseballPitch_g17_c01,9,41,female
v_BaseballPitch_g18_c01,26,24,male
v_BaseballPitch_g19_c01.,50,0,male
v_BaseballPitch_g20_c01.,47,3,male
v_BaseballPitch_g21_c01,48,2,male
v_BaseballPitch_g22_c01,43,7,male
v_BaseballPitch_g23_c01,50,0,male
v_BaseballPitch_g24_c01,50,0,male
v_BaseballPitch_g25_c01,48,2,male
v_BaseballPitch_g26_c01,48,2,male
v_BaseballPitch_g27_c01,42,8,male
v_BaseballPitch_g28_c01,0,50,female
v_BaseballPitch_g29_c01,11,39,female
v_BaseballPitch_g30_c01,44,6,male
v_BaseballPitch_g31_c01,36,14,male
v_BaseballPitch_g32_c01.,49,1,male
v_BaseballPitch_g33_c01,48,2,male
v_BaseballPitch_g34_c01,8,42,female
v_BaseballPitch_g35_c01.,33,17,male
v_BaseballPitch_g36_c01,48,2,male
v_BaseballPitch_g37_c01,44,6,male
v_BaseballPitch_g38_c01.,49,1,male
v_BaseballPitch_g39_c01,10,40,female
v_BaseballPitch_g40_c01,50,0,male
v_BaseballPitch_g41_c01,50,0,male
v_BaseballPitch_g42_c01,50,0,male
v_BaseballPitch_g43_c01.,47,3,male
v_BaseballPitch_g44_c01,48,2,male
v_BaseballPitch_g45_c01,43,7,male
v_BaseballPitch_g46_c01,50,0,male
v_BaseballPitch_g47_c01,50,0,male
v_BaseballPitch_g48_c01,3,47,female
v_BaseballPitch_g49_c01,1,49,female
v_BaseballPitch_g50_c01,0,50,female
v_BaseballPitch_g51_c01.,50,0,male
v_BaseballPitch_g52_c01,50,0,male
v_BaseballPitch_g53_c01,45,5,male
v_BaseballPitch_g54_c01.,40,10,male
v_BaseballPitch_g55_c01,48,2,male
v_BaseballPitch_g56_c01,40,10,male
v_BaseballPitch_g57_c01,50,0,male
v_BaseballPitch_g58_c01,49,1,male
v_BaseballPitch_g59_c01,50,0,male
v_Basketball_g01_c01,30,20,male
v_Basketball_g02_c01,48,2,male
v_Basketball_g03_c01,35,15,male
v_Basketball_g04_c01.,44,6,male
v_Basketball_g05_c01.,41,9,male
v_Basketball_g06_c01,41,9,male
v_Basketball_g07_c01,35,15,male
v_Basketball_g08_c01,37,13,male
v_Basketball_g09_c01.,37,13,male
v_Basketball_g10_c01,50,0,male
v_Basketball_g11_c01,50,0,male
v_Basketball_g12_c01,38,12,male
v_Basketball_g13_c01,28,22,male
v_Basketball_g14_c01,43,7,male
v_Basketball_g15_c01.,5,45,female
v_Basketball_g16_c01,23,27,female
v_Basketball_g17_c01,40,10,male
v_Basketball_g18_c01,50,0,male
v_Basketball_g19_c01,13,37,female
v_Basketball_g20_c01,33,17,male
v_Basketball_g21_c01,22,28,female
v_Basketball_g22_c01,21,29,female
v_Basketball_g23_c01.,48,2,male
v_Basketball_g24_c01,47,3,male
v_Basketball_g25_c01,38,12,male
v_Basketball_g26_c01,47,3,male
v_Basketball_g27_c01,45,5,male
v_Basketball_g28_c01,33,17,male
v_Basketball_g29_c01,43,7,male
v_Basketball_g30_c01,11,39,female
v_Basketball_g31_c01,33,17,male
v_Basketball_g32_c01,45,5,male
v_Basketball_g33_c01,45,5,male
v_Basketball_g34_c01.,17,33,female
v_Basketball_g35_c01,48,2,male
v_Basketball_g36_c01,42,8,male
v_Basketball_g37_c01,44,6,male
v_Basketball_g38_c01,41,9,male
v_Basketball_g39_c01,30,20,male
v_Basketball_g40_c01,45,5,male
v_Basketball_g41_c01,9,41,female
v_Basketball_g42_c01,50,0,male
v_Basketball_g43_c01.,50,0,male
v_Basketball_g44_c01,46,4,male
v_Basketball_g45_c01,11,39,female
v_Basketball_g46_c01.,44,6,male
v_Basketball_g47_c01.,31,19,male
v_Basketball_g48_c01.,12,38,female
v_Basketball_g49_c01,50,0,male
v_Basketball_g50_c01,36,14,male
v_Basketball_g51_c01,41,9,male
v_Basketball_g52_c01,30,20,male
v_BasketballDunk_g01_c01,38,12,male
v_BasketballDunk_g02_c01,37,13,male
v_BasketballDunk_g03_c01,47,3,male
v_BasketballDunk_g04_c01,38,12,male
v_BasketballDunk_g05_c01,39,11,male
v_BasketballDunk_g06_c01,31,19,male
v_BasketballDunk_g07_c01,38,12,male
v_BasketballDunk_g08_c01,32,18,male
v_BasketballDunk_g09_c01,31,19,male
v_BasketballDunk_g10_c01,45,5,male
v_BasketballDunk_g11_c01,43,7,male
v_BasketballDunk_g12_c01,10,40,female
v_BasketballDunk_g13_c01,11,39,female
v_BasketballDunk_g14_c01,31,19,male
v_BasketballDunk_g15_c01.,46,4,male
v_BasketballDunk_g16_c01,18,32,female
v_BasketballDunk_g17_c01,44,6,male
v_BasketballDunk_g18_c01,34,16,male
v_BasketballDunk_g19_c01,41,9,male
v_BasketballDunk_g20_c01,41,9,male
v_BasketballDunk_g21_c01,46,4,male
v_BasketballDunk_g22_c01,44,6,male
v_BasketballDunk_g23_c01,46,4,male
v_BasketballDunk_g24_c01,31,19,male
v_BasketballDunk_g25_c01,44,6,male
v_BasketballDunk_g26_c01,44,6,male
v_BasketballDunk_g27_c01,36,14,male
v_BasketballDunk_g28_c01,36,14,male
v_BasketballDunk_g29_c01,41,9,male
v_BasketballDunk_g30_c01,43,7,male
v_BasketballDunk_g31_c01,42,8,male
v_BasketballDunk_g32_c01,11,39,female
v_BasketballDunk_g33_c01,38,12,male
v_BasketballDunk_g34_c01,50,0,male
v_BasketballDunk_g35_c01,40,10,male
v_BasketballDunk_g36_c01,39,11,male
v_BasketballDunk_g37_c01,46,4,male
v_BenchPress_g01_c01,7,43,female
v_BenchPress_g02_c01,16,34,female
v_BenchPress_g03_c01,21,29,female
v_BenchPress_g04_c01,50,0,male
v_BenchPress_g05_c01,23,27,female
v_BenchPress_g06_c01,44,6,male
v_BenchPress_g07_c01,46,4,male
v_BenchPress_g08_c01,47,3,male
v_BenchPress_g09_c01.,45,5,male
v_BenchPress_g10_c01,46,4,male
v_BenchPress_g11_c01,50,0,male
v_BenchPress_g12_c01.,11,39,female
v_BenchPress_g13_c01,50,0,male
v_BenchPress_g14_c01.,31,19,male
v_BenchPress_g15_c01.,44,6,male
v_BenchPress_g16_c01,47,3,male
v_BenchPress_g17_c01,48,2,male
v_BenchPress_g18_c01.,47,3,male
v_BenchPress_g19_c01,25,25,uncertain
v_BenchPress_g20_c01,7,43,female
v_BenchPress_g21_c01,0,50,female
v_BenchPress_g22_c01.,50,0,male
v_BenchPress_g23_c01.,40,10,male
v_BenchPress_g24_c01,50,0,male
v_BenchPress_g25_c01.,50,0,male
v_BenchPress_g26_c01,45,5,male
v_BenchPress_g27_c01,43,7,male
v_BenchPress_g28_c01,45,5,male
v_BenchPress_g29_c01,48,2,male
v_BenchPress_g30_c01,46,4,male
v_BenchPress_g31_c01.,46,4,male
v_BenchPress_g32_c01.,50,0,male
v_BenchPress_g33_c01,27,23,male
v_BenchPress_g34_c01,46,4,male
v_BenchPress_g35_c01,49,1,male
v_BenchPress_g36_c01,16,34,female
v_BenchPress_g37_c01,45,5,male
v_BenchPress_g38_c01,39,11,male
v_BenchPress_g39_c01,50,0,male
v_BenchPress_g40_c01,44,6,male
v_BenchPress_g41_c01,45,5,male
v_BenchPress_g42_c01.,37,13,male
v_BenchPress_g43_c01,42,8,male
v_BenchPress_g44_c01.,49,1,male
v_BenchPress_g45_c01.,42,8,male
v_BenchPress_g46_c01,50,0,male
v_BenchPress_g47_c01,48,2,male
v_BenchPress_g48_c01,49,1,male
v_BenchPress_g49_c01,48,2,male
v_BenchPress_g50_c01,44,6,male
v_BenchPress_g51_c01,50,0,male
v_BenchPress_g52_c01,43,7,male
v_BenchPress_g53_c01.,16,34,female
v_BenchPress_g54_c01.,44,6,male
v_BenchPress_g55_c01,49,1,male
v_BenchPress_g56_c01,42,8,male
v_BenchPress_g57_c01,50,0,male
v_BenchPress_g58_c01,36,14,male
v_Biking_g01_c01,47,3,male
v_Biking_g02_c01,21,29,female
v_Biking_g03_c01,46,4,male
v_Biking_g04_c01,45,5,male
v_Biking_g05_c01,29,21,male
v_Biking_g06_c01,0,50,female
v_Biking_g07_c01.,38,12,male
v_Biking_g08_c01,43,7,male
v_Biking_g09_c01,22,28,female
v_Biking_g10_c01,48,2,male
v_Biking_g11_c01,40,10,male
v_Biking_g12_c01,34,16,male
v_Biking_g13_c01,37,13,male
v_Biking_g14_c01.,26,24,male
v_Biking_g15_c01.,43,7,male
v_Biking_g16_c01.,50,0,male
v_Biking_g17_c01,32,18,male
v_Biking_g18_c01.,6,44,female
v_Biking_g19_c01.,30,20,male
v_Biking_g20_c01,20,30,female
v_Biking_g21_c01.,0,50,female
v_Biking_g22_c01,44,6,male
v_Biking_g23_c01,29,21,male
v_Biking_g24_c01.,40,10,male
v_Biking_g25_c01.,28,22,male
v_Biking_g26_c01,39,11,male
v_Biking_g27_c01.,14,36,female
v_Biking_g28_c01,49,1,male
v_Biking_g29_c01,26,24,male
v_Biking_g30_c01,14,36,female
v_Biking_g31_c01.,25,25,uncertain
v_Biking_g32_c01.,35,15,male
v_Biking_g33_c01,45,5,male
v_Biking_g34_c01,26,24,male
v_Biking_g35_c01.,42,8,male
v_Biking_g36_c01,32,18,male
v_Biking_g37_c01.,28,22,male
v_Biking_g38_c01,44,6,male
v_Biking_g39_c01,10,40,female
v_Biking_g40_c01,23,27,female
v_Biking_g41_c01,44,6,male
v_Biking_g42_c01,37,13,male
v_Biking_g43_c01,42,8,male
v_Biking_g44_c01.,50,0,male
v_Biking_g45_c01,28,22,male
v_Biking_g46_c01.,33,17,male
v_Biking_g47_c01,4,46,female
v_Biking_g48_c01.,29,21,male
v_Biking_g49_c01,20,30,female
v_Biking_g50_c01,26,24,male
v_Biking_g51_c01.,38,12,male
v_Biking_g52_c01.,39,11,male
v_Biking_g53_c01,28,22,male
v_Biking_g54_c01,34,16,male
v_Biking_g55_c01,43,7,male
v_Biking_g56_c01,30,20,male
v_Biking_g57_c01,35,15,male
v_Biking_g58_c01.,11,39,female
v_Biking_g59_c01,37,13,male
v_Biking_g60_c01,45,5,male
v_Biking_g61_c01,31,19,male
v_Biking_g62_c01,37,13,male
v_Biking_g63_c01,16,34,female
v_Biking_g64_c01.,9,41,female
v_Biking_g65_c01,31,19,male
v_Biking_g66_c01.,43,7,male
v_Biking_g67_c01.,36,14,male
v_Biking_g68_c01,9,41,female
v_Biking_g69_c01.,45,5,male
v_Biking_g70_c01,21,29,female
v_Billiards_g01_c01,48,2,male
v_Billiards_g02_c01.,49,1,male
v_Billiards_g03_c01.,44,6,male
v_Billiards_g04_c01,50,0,male
v_Billiards_g05_c01.,49,1,male
v_Billiards_g06_c01.,45,5,male
v_Billiards_g07_c01,50,0,male
v_Billiards_g08_c01,47,3,male
v_Billiards_g09_c01,26,24,male
v_Billiards_g10_c01,50,0,male
v_Billiards_g11_c01,49,1,male
v_Billiards_g12_c01.,47,3,male
v_Billiards_g13_c01,7,43,female
v_Billiards_g14_c01.,46,4,male
v_Billiards_g15_c01,15,35,female
v_Billiards_g16_c01,50,0,male
v_Billiards_g17_c01,49,1,male
v_Billiards_g18_c01,49,1,male
v_Billiards_g19_c01,39,11,male
v_Billiards_g20_c01,49,1,male
v_Billiards_g21_c01.,11,39,female
v_Billiards_g22_c01,46,4,male
v_Billiards_g23_c01,47,3,male
v_Billiards_g24_c01.,44,6,male
v_Billiards_g25_c01.,50,0,male
v_Billiards_g26_c01.,50,0,male
v_Billiards_g27_c01,50,0,male
v_Billiards_g28_c01.,45,5,male
v_Billiards_g29_c01,50,0,male
v_Billiards_g30_c01,34,16,male
v_Billiards_g31_c01,30,20,male
v_Billiards_g32_c01,4,46,female
v_Billiards_g33_c01,46,4,male
v_Billiards_g34_c01,50,0,male
v_Billiards_g35_c01,45,5,male
v_Billiards_g36_c01,28,22,male
v_Billiards_g37_c01,39,11,male
v_Billiards_g38_c01,49,1,male
v_Billiards_g39_c01,48,2,male
v_Billiards_g40_c01,38,12,male
v_Billiards_g41_c01,45,5,male
v_Billiards_g42_c01,6,44,female
v_Billiards_g43_c01,45,5,male
v_Billiards_g44_c01,43,7,male
v_Billiards_g45_c01,48,2,male
v_Billiards_g46_c01,47,3,male
