video_name,male_count,female_count,final,category
v_Bowling_g13_c03,3,2,male,Bowling
v_Bowling_g15_c03,3,2,male,Bowling
v_Bowling_g15_c05,4,1,male,Bowling
v_Bowling_g15_c06,3,2,male,Bowling
v_Bowling_g18_c02,2,3,female,Bowling
v_Bowling_g18_c03,2,3,female,Bowling
v_Bowling_g20_c03,5,0,male,Bowling
v_Bowling_g20_c04,5,0,male,Bowling
v_Bowling_g20_c07,4,1,male,Bowling
v_Bowling_g21_c01,5,0,male,Bowling
v_Bowling_g21_c02,4,1,male,Bowling
v_Bowling_g21_c04,4,1,male,Bowling
v_BoxingPunchingBag_g19_c02,2,3,female,BoxingPunchingBag
v_BoxingPunchingBag_g19_c04,1,4,female,BoxingPunchingBag
v_BreastStroke_g08_c02,3,2,male,BreastStroke
v_BreastStroke_g23_c04,3,2,male,BreastStroke
v_BreastStroke_g25_c02,3,2,male,BreastStroke
v_BrushingTeeth_g02_c07,4,1,male,BrushingTeeth
v_BrushingTeeth_g04_c02,4,1,male,BrushingTeeth
v_BrushingTeeth_g04_c03,3,2,male,BrushingTeeth
v_CleanAndJerk_g08_c01,5,0,male,CleanAndJerk
v_CleanAndJerk_g08_c04,5,0,male,CleanAndJerk
v_CleanAndJerk_g10_c02,3,2,male,CleanAndJerk
v_CleanAndJerk_g10_c04,3,2,male,CleanAndJerk
v_CleanAndJerk_g13_c04,1,4,female,CleanAndJerk
v_CleanAndJerk_g14_c01,5,0,male,CleanAndJerk
v_CleanAndJerk_g14_c03,4,1,male,CleanAndJerk
v_CleanAndJerk_g14_c06,3,2,male,CleanAndJerk
v_CleanAndJerk_g16_c01,5,0,male,CleanAndJerk
v_CleanAndJerk_g16_c02,5,0,male,CleanAndJerk
v_CleanAndJerk_g20_c01,1,4,female,CleanAndJerk
v_CleanAndJerk_g20_c05,1,4,female,CleanAndJerk
v_CliffDiving_g01_c04,4,1,male,CliffDiving
v_CliffDiving_g04_c03,5,0,male,CliffDiving
v_CliffDiving_g05_c01,4,1,male,CliffDiving
v_CliffDiving_g08_c03,3,2,male,CliffDiving
v_CliffDiving_g09_c01,3,2,male,CliffDiving
v_CliffDiving_g11_c01,3,2,male,CliffDiving
v_CliffDiving_g11_c04,3,2,male,CliffDiving
v_CliffDiving_g11_c06,3,2,male,CliffDiving
v_CliffDiving_g13_c04,3,2,male,CliffDiving
v_CliffDiving_g14_c05,1,4,female,CliffDiving
v_CliffDiving_g14_c06,2,3,female,CliffDiving
v_CliffDiving_g14_c07,1,4,female,CliffDiving
v_CliffDiving_g15_c02,5,0,male,CliffDiving
v_CliffDiving_g17_c01,5,0,male,CliffDiving
v_CliffDiving_g17_c05,4,1,male,CliffDiving
v_CliffDiving_g19_c03,5,0,male,CliffDiving
v_CliffDiving_g19_c07,3,2,male,CliffDiving
v_CliffDiving_g22_c04,4,1,male,CliffDiving
v_CliffDiving_g23_c01,3,2,male,CliffDiving
v_CliffDiving_g23_c05,3,2,male,CliffDiving
v_CricketBowling_g02_c01,3,2,male,CricketBowling
v_CricketBowling_g02_c02,5,0,male,CricketBowling
v_CricketBowling_g02_c03,3,2,male,CricketBowling
v_CricketBowling_g03_c01,2,3,female,CricketBowling
v_CricketBowling_g19_c02,4,1,male,CricketBowling
v_CricketBowling_g19_c07,3,2,male,CricketBowling
v_CricketBowling_g21_c05,1,4,female,CricketBowling
v_CricketBowling_g22_c06,2,3,female,CricketBowling
v_CricketShot_g02_c06,1,4,female,CricketShot
v_CricketShot_g03_c01,2,3,female,CricketShot
v_CricketShot_g06_c05,4,1,male,CricketShot
v_CricketShot_g06_c07,3,2,male,CricketShot
v_CricketShot_g08_c03,3,2,male,CricketShot
v_CricketShot_g09_c02,4,1,male,CricketShot
v_CricketShot_g09_c05,3,2,male,CricketShot
v_CricketShot_g09_c07,5,0,male,CricketShot
v_CricketShot_g11_c02,2,3,female,CricketShot
v_CricketShot_g13_c02,4,1,male,CricketShot
v_CricketShot_g13_c03,3,2,male,CricketShot
v_CricketShot_g13_c05,3,2,male,CricketShot
v_CricketShot_g21_c01,5,0,male,CricketShot
v_CricketShot_g21_c04,4,1,male,CricketShot
v_CuttingInKitchen_g07_c02,5,0,male,CuttingInKitchen
v_CuttingInKitchen_g15_c01,4,1,male,CuttingInKitchen
v_CuttingInKitchen_g21_c03,1,4,female,CuttingInKitchen
v_CuttingInKitchen_g25_c01,4,1,male,CuttingInKitchen
v_CuttingInKitchen_g25_c02,5,0,male,CuttingInKitchen
v_CuttingInKitchen_g25_c05,5,0,male,CuttingInKitchen
v_Diving_g05_c01,5,0,male,Diving
v_Diving_g05_c02,3,2,male,Diving
v_Diving_g05_c06,5,0,male,Diving
v_Diving_g09_c03,3,2,male,Diving
v_Diving_g09_c05,3,2,male,Diving
v_Diving_g14_c02,3,2,male,Diving
v_Diving_g20_c02,3,2,male,Diving
v_Diving_g22_c01,0,5,female,Diving
v_Diving_g22_c06,1,4,female,Diving
v_Diving_g23_c01,3,2,male,Diving
v_Diving_g23_c02,4,1,male,Diving
v_Diving_g25_c01,3,2,male,Diving
v_Drumming_g01_c03,2,3,female,Drumming
v_Drumming_g02_c05,4,1,male,Drumming
v_Drumming_g02_c06,3,2,male,Drumming
v_Drumming_g03_c02,0,5,female,Drumming
v_Drumming_g03_c05,1,4,female,Drumming
v_Drumming_g05_c06,1,4,female,Drumming
v_Drumming_g07_c04,1,4,female,Drumming
v_Drumming_g07_c05,0,5,female,Drumming
v_Drumming_g07_c06,1,4,female,Drumming
v_Drumming_g08_c05,2,3,female,Drumming
v_Drumming_g12_c01,1,4,female,Drumming
v_Drumming_g12_c02,0,5,female,Drumming
v_Drumming_g12_c06,1,4,female,Drumming
v_Drumming_g13_c04,1,4,female,Drumming
v_Drumming_g13_c07,2,3,female,Drumming
v_Drumming_g14_c01,3,2,male,Drumming
v_Drumming_g14_c06,3,2,male,Drumming
v_Drumming_g17_c01,2,3,female,Drumming
v_Drumming_g17_c07,2,3,female,Drumming
v_Drumming_g18_c01,5,0,male,Drumming
v_Drumming_g18_c05,3,2,male,Drumming
v_Drumming_g20_c01,2,3,female,Drumming
v_Drumming_g20_c02,2,3,female,Drumming
v_Drumming_g20_c03,2,3,female,Drumming
v_Drumming_g21_c03,2,3,female,Drumming
v_Drumming_g21_c05,2,3,female,Drumming
v_Drumming_g23_c02,4,1,male,Drumming
v_Drumming_g23_c04,3,2,male,Drumming
v_Drumming_g23_c05,5,0,male,Drumming
v_Fencing_g01_c01,3,2,male,Fencing
v_Fencing_g01_c06,3,2,male,Fencing
v_Fencing_g02_c02,4,1,male,Fencing
v_Fencing_g02_c05,5,0,male,Fencing
v_Fencing_g03_c01,1,4,female,Fencing
v_Fencing_g03_c05,2,3,female,Fencing
v_Fencing_g05_c05,2,3,female,Fencing
v_Fencing_g07_c03,2,3,female,Fencing
v_Fencing_g08_c02,4,1,male,Fencing
v_Fencing_g10_c01,4,1,male,Fencing
v_Fencing_g10_c02,3,2,male,Fencing
v_Fencing_g13_c03,2,3,female,Fencing
v_Fencing_g14_c03,3,2,male,Fencing
v_Fencing_g14_c04,4,1,male,Fencing
v_Fencing_g16_c01,3,2,male,Fencing
v_Fencing_g16_c02,3,2,male,Fencing
v_Fencing_g20_c01,3,2,male,Fencing
v_FieldHockeyPenalty_g01_c01,1,4,female,FieldHockeyPenalty
v_FieldHockeyPenalty_g02_c04,4,1,male,FieldHockeyPenalty
v_FieldHockeyPenalty_g02_c06,5,0,male,FieldHockeyPenalty
v_FieldHockeyPenalty_g03_c02,4,1,male,FieldHockeyPenalty
v_FieldHockeyPenalty_g05_c07,4,1,male,FieldHockeyPenalty
v_FieldHockeyPenalty_g06_c02,4,1,male,FieldHockeyPenalty
v_FieldHockeyPenalty_g06_c04,3,2,male,FieldHockeyPenalty
v_FieldHockeyPenalty_g08_c04,1,4,female,FieldHockeyPenalty
v_FieldHockeyPenalty_g09_c04,2,3,female,FieldHockeyPenalty
v_FieldHockeyPenalty_g11_c02,3,2,male,FieldHockeyPenalty
v_FieldHockeyPenalty_g11_c04,4,1,male,FieldHockeyPenalty
v_FieldHockeyPenalty_g12_c02,0,5,female,FieldHockeyPenalty
v_FieldHockeyPenalty_g12_c04,0,5,female,FieldHockeyPenalty
v_FieldHockeyPenalty_g14_c06,4,1,male,FieldHockeyPenalty
v_FieldHockeyPenalty_g16_c03,5,0,male,FieldHockeyPenalty
v_FieldHockeyPenalty_g16_c04,4,1,male,FieldHockeyPenalty
v_FieldHockeyPenalty_g17_c02,1,4,female,FieldHockeyPenalty
v_FieldHockeyPenalty_g19_c01,5,0,male,FieldHockeyPenalty
v_FieldHockeyPenalty_g19_c04,5,0,male,FieldHockeyPenalty
v_FieldHockeyPenalty_g20_c01,1,4,female,FieldHockeyPenalty
v_FieldHockeyPenalty_g21_c03,3,2,male,FieldHockeyPenalty
v_FieldHockeyPenalty_g21_c04,4,1,male,FieldHockeyPenalty
v_FieldHockeyPenalty_g22_c03,3,2,male,FieldHockeyPenalty
v_FieldHockeyPenalty_g25_c04,5,0,male,FieldHockeyPenalty
v_FloorGymnastics_g17_c06,3,2,male,FloorGymnastics
v_FrisbeeCatch_g01_c04,2,3,female,FrisbeeCatch
v_FrisbeeCatch_g06_c02,1,4,female,FrisbeeCatch
v_FrisbeeCatch_g06_c03,1,4,female,FrisbeeCatch
v_FrisbeeCatch_g09_c03,0,5,female,FrisbeeCatch
v_FrisbeeCatch_g09_c04,2,3,female,FrisbeeCatch
v_FrisbeeCatch_g12_c02,0,5,female,FrisbeeCatch
v_FrisbeeCatch_g14_c05,2,3,female,FrisbeeCatch
v_FrisbeeCatch_g16_c03,5,0,male,FrisbeeCatch
v_FrisbeeCatch_g16_c04,4,1,male,FrisbeeCatch
v_FrisbeeCatch_g18_c01,2,3,female,FrisbeeCatch
v_FrisbeeCatch_g18_c04,2,3,female,FrisbeeCatch
v_FrisbeeCatch_g19_c04,2,3,female,FrisbeeCatch
v_FrisbeeCatch_g25_c01,2,3,female,FrisbeeCatch
v_FrontCrawl_g05_c01,0,5,female,FrontCrawl
v_FrontCrawl_g11_c02,4,1,male,FrontCrawl
v_FrontCrawl_g11_c06,3,2,male,FrontCrawl
v_FrontCrawl_g14_c06,2,3,female,FrontCrawl
v_FrontCrawl_g15_c04,1,4,female,FrontCrawl
v_FrontCrawl_g20_c04,5,0,male,FrontCrawl
v_FrontCrawl_g20_c07,3,2,male,FrontCrawl
v_FrontCrawl_g23_c01,3,2,male,FrontCrawl
v_FrontCrawl_g24_c01,4,1,male,FrontCrawl
v_FrontCrawl_g24_c02,4,1,male,FrontCrawl
v_FrontCrawl_g24_c03,4,1,male,FrontCrawl
v_FrontCrawl_g25_c03,4,1,male,FrontCrawl
v_FrontCrawl_g25_c04,5,0,male,FrontCrawl
v_GolfSwing_g13_c01,2,3,female,GolfSwing
v_Haircut_g04_c02,4,1,male,Haircut
v_Haircut_g04_c05,5,0,male,Haircut
v_Haircut_g08_c05,3,2,male,Haircut
v_Haircut_g11_c03,3,2,male,Haircut
v_Haircut_g11_c04,3,2,male,Haircut
v_Haircut_g24_c04,5,0,male,Haircut
v_Haircut_g24_c05,5,0,male,Haircut
v_HammerThrow_g01_c03,5,0,male,HammerThrow
v_HammerThrow_g01_c04,5,0,male,HammerThrow
v_HammerThrow_g01_c05,4,1,male,HammerThrow
v_HammerThrow_g03_c07,1,4,female,HammerThrow
v_HammerThrow_g04_c03,2,3,female,HammerThrow
v_HammerThrow_g04_c06,0,5,female,HammerThrow
v_HammerThrow_g06_c03,2,3,female,HammerThrow
v_HammerThrow_g06_c04,2,3,female,HammerThrow
v_HammerThrow_g07_c02,3,2,male,HammerThrow
v_HammerThrow_g07_c04,3,2,male,HammerThrow
v_HammerThrow_g11_c02,3,2,male,HammerThrow
v_HammerThrow_g12_c01,4,1,male,HammerThrow
v_HammerThrow_g12_c02,4,1,male,HammerThrow
v_HammerThrow_g12_c07,3,2,male,HammerThrow
v_HammerThrow_g14_c02,2,3,female,HammerThrow
v_HammerThrow_g14_c06,2,3,female,HammerThrow
v_HammerThrow_g15_c04,1,4,female,HammerThrow
v_HammerThrow_g16_c02,5,0,male,HammerThrow
v_HammerThrow_g16_c03,5,0,male,HammerThrow
v_HammerThrow_g17_c02,2,3,female,HammerThrow
v_HammerThrow_g17_c05,0,5,female,HammerThrow
v_HammerThrow_g18_c02,5,0,male,HammerThrow
v_HammerThrow_g18_c03,3,2,male,HammerThrow
v_HammerThrow_g21_c01,1,4,female,HammerThrow
v_HammerThrow_g22_c02,3,2,male,HammerThrow
v_HammerThrow_g22_c05,3,2,male,HammerThrow
v_HammerThrow_g22_c07,3,2,male,HammerThrow
v_HammerThrow_g23_c04,5,0,male,HammerThrow
v_HammerThrow_g23_c05,5,0,male,HammerThrow
v_HammerThrow_g25_c03,2,3,female,HammerThrow
v_Hammering_g07_c02,4,1,male,Hammering
v_Hammering_g18_c03,2,3,female,Hammering
v_Hammering_g18_c04,2,3,female,Hammering
v_Hammering_g18_c05,2,3,female,Hammering
v_Hammering_g21_c06,1,4,female,Hammering
v_Hammering_g21_c07,1,4,female,Hammering
v_HandstandPushups_g24_c01,3,2,male,HandstandPushups
v_HandstandWalking_g01_c03,0,5,female,HandstandWalking
v_HandstandWalking_g05_c03,2,3,female,HandstandWalking
v_HandstandWalking_g05_c04,2,3,female,HandstandWalking
v_HandstandWalking_g05_c05,1,4,female,HandstandWalking
v_HandstandWalking_g07_c01,4,1,male,HandstandWalking
v_HandstandWalking_g07_c02,3,2,male,HandstandWalking
v_HandstandWalking_g08_c01,3,2,male,HandstandWalking
v_HandstandWalking_g10_c01,3,2,male,HandstandWalking
v_HandstandWalking_g14_c01,3,2,male,HandstandWalking
v_HandstandWalking_g15_c04,4,1,male,HandstandWalking
v_HandstandWalking_g20_c04,2,3,female,HandstandWalking
v_HandstandWalking_g24_c01,3,2,male,HandstandWalking
v_HandstandWalking_g24_c02,3,2,male,HandstandWalking
v_HeadMassage_g01_c02,1,4,female,HeadMassage
v_HeadMassage_g11_c07,3,2,male,HeadMassage
v_HeadMassage_g12_c07,2,3,female,HeadMassage
v_HeadMassage_g18_c01,5,0,male,HeadMassage
v_HeadMassage_g24_c04,2,3,female,HeadMassage
v_HighJump_g05_c01,3,2,male,HighJump
v_HighJump_g05_c05,3,2,male,HighJump
v_HighJump_g08_c01,3,2,male,HighJump
v_HighJump_g09_c01,4,1,male,HighJump
v_HighJump_g10_c01,4,1,male,HighJump
v_HighJump_g12_c02,5,0,male,HighJump
v_HighJump_g12_c03,5,0,male,HighJump
v_HighJump_g15_c02,4,1,male,HighJump
v_HighJump_g15_c03,3,2,male,HighJump
v_HighJump_g16_c03,5,0,male,HighJump
v_HighJump_g16_c04,4,1,male,HighJump
v_HighJump_g17_c01,5,0,male,HighJump
v_HighJump_g17_c04,4,1,male,HighJump
v_HighJump_g19_c01,0,5,female,HighJump
v_HighJump_g19_c03,0,5,female,HighJump
v_HighJump_g21_c01,3,2,male,HighJump
v_HighJump_g21_c04,3,2,male,HighJump
v_HighJump_g22_c01,3,2,male,HighJump
v_HighJump_g22_c04,3,2,male,HighJump
v_HighJump_g23_c06,3,2,male,HighJump
v_HulaHoop_g15_c01,5,0,male,HulaHoop
v_HulaHoop_g15_c04,5,0,male,HulaHoop
v_HulaHoop_g17_c02,1,4,female,HulaHoop
v_IceDancing_g14_c06,3,2,male,IceDancing
v_IceDancing_g21_c05,3,2,male,IceDancing
v_JavelinThrow_g01_c04,1,4,female,JavelinThrow
v_JavelinThrow_g02_c03,5,0,male,JavelinThrow
v_JavelinThrow_g03_c01,3,2,male,JavelinThrow
v_JavelinThrow_g03_c02,3,2,male,JavelinThrow
v_JavelinThrow_g05_c02,0,5,female,JavelinThrow
v_JavelinThrow_g05_c04,2,3,female,JavelinThrow
v_JavelinThrow_g07_c01,3,2,male,JavelinThrow
v_JavelinThrow_g07_c03,4,1,male,JavelinThrow
v_JavelinThrow_g08_c01,2,3,female,JavelinThrow
v_JavelinThrow_g10_c02,4,1,male,JavelinThrow
v_JavelinThrow_g11_c02,2,3,female,JavelinThrow
v_JavelinThrow_g12_c01,2,3,female,JavelinThrow
v_JavelinThrow_g14_c01,3,2,male,JavelinThrow
v_JavelinThrow_g14_c04,3,2,male,JavelinThrow
v_JavelinThrow_g15_c05,2,3,female,JavelinThrow
v_JavelinThrow_g17_c03,2,3,female,JavelinThrow
v_JavelinThrow_g17_c04,2,3,female,JavelinThrow
v_JavelinThrow_g20_c02,4,1,male,JavelinThrow
v_JavelinThrow_g23_c04,2,3,female,JavelinThrow
v_JavelinThrow_g23_c05,0,5,female,JavelinThrow
v_JavelinThrow_g24_c02,3,2,male,JavelinThrow
v_JavelinThrow_g24_c03,5,0,male,JavelinThrow
v_JavelinThrow_g24_c05,5,0,male,JavelinThrow
v_JavelinThrow_g25_c03,2,3,female,JavelinThrow
v_JugglingBalls_g11_c04,2,3,female,JugglingBalls
v_JugglingBalls_g13_c01,2,3,female,JugglingBalls
v_JugglingBalls_g24_c02,3,2,male,JugglingBalls
v_JumpRope_g04_c04,2,3,female,JumpRope
v_JumpRope_g25_c03,2,3,female,JumpRope
v_Kayaking_g09_c02,4,1,male,Kayaking
v_Kayaking_g09_c03,3,2,male,Kayaking
v_Kayaking_g16_c01,4,1,male,Kayaking
v_LongJump_g01_c04,1,4,female,LongJump
v_LongJump_g05_c03,0,5,female,LongJump
v_LongJump_g06_c01,4,1,male,LongJump
v_LongJump_g06_c04,3,2,male,LongJump
v_LongJump_g07_c02,4,1,male,LongJump
v_LongJump_g08_c02,3,2,male,LongJump
v_LongJump_g08_c04,3,2,male,LongJump
v_LongJump_g08_c05,3,2,male,LongJump
v_LongJump_g09_c03,3,2,male,LongJump
v_LongJump_g10_c01,2,3,female,LongJump
v_LongJump_g10_c02,2,3,female,LongJump
v_LongJump_g11_c05,2,3,female,LongJump
v_LongJump_g13_c06,2,3,female,LongJump
v_LongJump_g16_c03,2,3,female,LongJump
v_LongJump_g18_c02,1,4,female,LongJump
v_LongJump_g18_c05,0,5,female,LongJump
v_LongJump_g23_c02,2,3,female,LongJump
v_LongJump_g24_c02,3,2,male,LongJump
v_Lunges_g06_c02,2,3,female,Lunges
v_Lunges_g06_c04,2,3,female,Lunges
v_Lunges_g11_c01,2,3,female,Lunges
v_Lunges_g13_c01,5,0,male,Lunges
v_Lunges_g13_c02,4,1,male,Lunges
v_Lunges_g13_c04,5,0,male,Lunges
v_Lunges_g16_c04,0,5,female,Lunges
v_MilitaryParade_g01_c03,1,4,female,MilitaryParade
v_MilitaryParade_g01_c06,2,3,female,MilitaryParade
v_MilitaryParade_g02_c01,3,2,male,MilitaryParade
v_MilitaryParade_g02_c04,5,0,male,MilitaryParade
v_MilitaryParade_g03_c03,4,1,male,MilitaryParade
v_MilitaryParade_g03_c04,4,1,male,MilitaryParade
v_MilitaryParade_g04_c02,3,2,male,MilitaryParade
v_MilitaryParade_g05_c02,4,1,male,MilitaryParade
v_MilitaryParade_g07_c05,2,3,female,MilitaryParade
v_MilitaryParade_g08_c01,0,5,female,MilitaryParade
v_MilitaryParade_g09_c01,4,1,male,MilitaryParade
v_MilitaryParade_g10_c01,5,0,male,MilitaryParade
v_MilitaryParade_g10_c05,5,0,male,MilitaryParade
v_MilitaryParade_g12_c05,0,5,female,MilitaryParade
