video_name,white_count,asian_count,black_count,middle_eastern_count,indian_count,hispanic_count,final,category
v_Archery_g20_c01,1,4,0,0,0,0,asian,Archery
v_Archery_g20_c03,0,5,0,0,0,0,asian,Archery
v_Archery_g20_c05,2,3,0,0,0,0,asian,Archery
v_BabyCrawling_g01_c03,1,4,0,0,0,0,asian,BabyCrawling
v_BabyCrawling_g02_c01,2,3,0,0,0,0,asian,BabyCrawling
v_BabyCrawling_g02_c04,1,4,0,0,0,0,asian,BabyCrawling
v_BabyCrawling_g03_c02,2,0,3,0,0,0,black,BabyCrawling
v_BabyCrawling_g10_c01,0,5,0,0,0,0,asian,BabyCrawling
v_BabyCrawling_g10_c02,0,5,0,0,0,0,asian,BabyCrawling
v_BabyCrawling_g12_c03,1,4,0,0,0,0,asian,BabyCrawling
v_BabyCrawling_g12_c04,1,3,1,0,0,0,asian,BabyCrawling
v_BabyCrawling_g13_c02,3,2,0,0,0,0,white,BabyCrawling
v_BabyCrawling_g13_c05,3,2,0,0,0,0,white,BabyCrawling
v_BabyCrawling_g13_c06,4,0,1,0,0,0,white,BabyCrawling
v_BabyCrawling_g14_c01,5,0,0,0,0,0,white,BabyCrawling
v_BabyCrawling_g14_c03,4,1,0,0,0,0,white,BabyCrawling
v_BabyCrawling_g16_c03,5,0,0,0,0,0,white,BabyCrawling
v_BabyCrawling_g16_c04,4,1,0,0,0,0,white,BabyCrawling
v_BabyCrawling_g16_c06,3,2,0,0,0,0,white,BabyCrawling
v_BalanceBeam_g05_c03,2,3,0,0,0,0,asian,BalanceBeam
v_BalanceBeam_g12_c04,2,3,0,0,0,0,asian,BalanceBeam
v_BalanceBeam_g14_c01,5,0,0,0,0,0,white,BalanceBeam
v_BalanceBeam_g14_c04,5,0,0,0,0,0,white,BalanceBeam
v_BalanceBeam_g16_c04,2,3,0,0,0,0,asian,BalanceBeam
v_BalanceBeam_g20_c01,0,5,0,0,0,0,asian,BalanceBeam
v_BalanceBeam_g21_c01,0,5,0,0,0,0,asian,BalanceBeam
v_BalanceBeam_g21_c05,2,3,0,0,0,0,asian,BalanceBeam
v_BalanceBeam_g24_c01,2,3,0,0,0,0,asian,BalanceBeam
v_BandMarching_g01_c01,1,4,0,0,0,0,asian,BandMarching
v_BandMarching_g02_c03,0,5,0,0,0,0,asian,BandMarching
v_BandMarching_g02_c04,0,5,0,0,0,0,asian,BandMarching
v_BandMarching_g03_c02,2,3,0,0,0,0,asian,BandMarching
v_BandMarching_g03_c04,1,4,0,0,0,0,asian,BandMarching
v_BandMarching_g03_c05,2,3,0,0,0,0,asian,BandMarching
v_BandMarching_g05_c02,2,3,0,0,0,0,asian,BandMarching
v_BandMarching_g06_c01,5,0,0,0,0,0,white,BandMarching
v_BandMarching_g07_c01,0,5,0,0,0,0,asian,BandMarching
v_BandMarching_g07_c04,0,5,0,0,0,0,asian,BandMarching
v_BandMarching_g07_c05,2,3,0,0,0,0,asian,BandMarching
v_BandMarching_g09_c01,1,4,0,0,0,0,asian,BandMarching
v_BandMarching_g09_c04,0,5,0,0,0,0,asian,BandMarching
v_BandMarching_g09_c07,1,4,0,0,0,0,asian,BandMarching
v_BandMarching_g12_c04,0,5,0,0,0,0,asian,BandMarching
v_BandMarching_g14_c04,0,3,2,0,0,0,asian,BandMarching
v_BandMarching_g22_c03,1,2,2,0,0,0,asian,BandMarching
v_BaseballPitch_g17_c05,2,2,0,0,0,0,white,BaseballPitch
v_BaseballPitch_g18_c01,0,5,0,0,0,0,asian,BaseballPitch
v_BaseballPitch_g19_c01,2,3,0,0,0,0,asian,BaseballPitch
v_BasketballDunk_g04_c04,0,5,0,0,0,0,asian,BasketballDunk
v_BasketballDunk_g14_c01,1,4,0,0,0,0,asian,BasketballDunk
v_BasketballDunk_g15_c07,2,3,0,0,0,0,asian,BasketballDunk
v_BasketballDunk_g16_c04,1,4,0,0,0,0,asian,BasketballDunk
v_BasketballDunk_g17_c05,2,3,0,0,0,0,asian,BasketballDunk
v_BasketballDunk_g18_c01,1,4,0,0,0,0,asian,BasketballDunk
v_BasketballDunk_g18_c06,2,0,0,0,3,0,indian,BasketballDunk
v_BasketballDunk_g20_c05,2,0,3,0,0,0,black,BasketballDunk
v_Basketball_g07_c03,0,0,5,0,0,0,black,Basketball
v_Basketball_g09_c05,1,0,4,0,0,0,black,Basketball
v_Basketball_g21_c03,2,3,0,0,0,0,asian,Basketball
v_BenchPress_g01_c03,1,0,4,0,0,0,black,BenchPress
v_BenchPress_g02_c02,4,0,1,0,0,0,white,BenchPress
v_BenchPress_g02_c05,3,0,2,0,0,0,white,BenchPress
v_BenchPress_g14_c01,4,0,1,0,0,0,white,BenchPress
v_BenchPress_g14_c02,4,0,1,0,0,0,white,BenchPress
v_BenchPress_g14_c05,4,0,1,0,0,0,white,BenchPress
v_Biking_g03_c01,3,2,0,0,0,0,white,Biking
v_Biking_g03_c04,3,2,0,0,0,0,white,Biking
v_Biking_g06_c01,1,4,0,0,0,0,asian,Biking
v_Biking_g08_c03,1,3,1,0,0,0,asian,Biking
v_Biking_g13_c03,5,0,0,0,0,0,white,Biking
v_Biking_g13_c04,2,0,3,0,0,0,black,Biking
v_Biking_g13_c06,4,1,0,0,0,0,white,Biking
v_Biking_g20_c03,2,0,3,0,0,0,black,Biking
v_Biking_g24_c06,2,0,3,0,0,0,black,Biking
v_Biking_g25_c01,3,0,2,0,0,0,white,Biking
v_Biking_g25_c02,2,1,2,0,0,0,white,Biking
v_Billiards_g02_c03,3,0,2,0,0,0,white,Billiards
v_Billiards_g02_c06,3,0,2,0,0,0,white,Billiards
v_Billiards_g04_c04,5,0,0,0,0,0,white,Billiards
v_Billiards_g08_c05,2,0,3,0,0,0,black,Billiards
v_Billiards_g08_c06,2,0,3,0,0,0,black,Billiards
v_Billiards_g10_c03,3,0,2,0,0,0,white,Billiards
v_Billiards_g12_c02,3,0,2,0,0,0,white,Billiards
v_Billiards_g13_c01,3,0,2,0,0,0,white,Billiards
v_Billiards_g13_c07,3,0,2,0,0,0,white,Billiards
v_Billiards_g14_c02,1,2,2,0,0,0,asian,Billiards
v_Billiards_g21_c05,4,0,1,0,0,0,white,Billiards
v_Billiards_g24_c05,1,0,4,0,0,0,black,Billiards
v_Billiards_g25_c01,4,0,1,0,0,0,white,Billiards
v_BlowDryHair_g02_c02,0,3,2,0,0,0,asian,BlowDryHair
v_BlowDryHair_g02_c04,0,4,1,0,0,0,asian,BlowDryHair
v_BlowDryHair_g04_c01,5,0,0,0,0,0,white,BlowDryHair
v_BlowDryHair_g05_c01,0,5,0,0,0,0,asian,BlowDryHair
v_BlowDryHair_g05_c02,3,1,1,0,0,0,white,BlowDryHair
v_BlowDryHair_g05_c03,3,0,2,0,0,0,white,BlowDryHair
v_BlowDryHair_g07_c03,1,3,1,0,0,0,asian,BlowDryHair
v_BlowDryHair_g07_c05,3,1,1,0,0,0,white,BlowDryHair
v_BlowDryHair_g10_c01,4,0,1,0,0,0,white,BlowDryHair
v_BlowDryHair_g10_c02,4,0,1,0,0,0,white,BlowDryHair
v_BlowDryHair_g10_c03,3,0,2,0,0,0,white,BlowDryHair
v_BlowDryHair_g11_c06,1,4,0,0,0,0,asian,BlowDryHair
v_BlowDryHair_g11_c07,1,4,0,0,0,0,asian,BlowDryHair
v_BlowDryHair_g12_c02,1,4,0,0,0,0,asian,BlowDryHair
v_BlowDryHair_g12_c03,1,4,0,0,0,0,asian,BlowDryHair
v_BlowDryHair_g13_c03,0,5,0,0,0,0,asian,BlowDryHair
v_BlowDryHair_g15_c02,0,5,0,0,0,0,asian,BlowDryHair
v_BlowDryHair_g15_c03,0,5,0,0,0,0,asian,BlowDryHair
v_BlowDryHair_g19_c03,3,2,0,0,0,0,white,BlowDryHair
v_BlowDryHair_g21_c02,2,2,1,0,0,0,white,BlowDryHair
v_BlowDryHair_g21_c03,4,1,0,0,0,0,white,BlowDryHair
v_BlowDryHair_g21_c06,3,2,0,0,0,0,white,BlowDryHair
v_BlowDryHair_g22_c03,3,0,2,0,0,0,white,BlowDryHair
v_BlowDryHair_g23_c03,0,3,2,0,0,0,asian,BlowDryHair
v_BlowDryHair_g23_c04,1,2,2,0,0,0,asian,BlowDryHair
v_BlowDryHair_g24_c04,2,3,0,0,0,0,asian,BlowDryHair
v_BlowingCandles_g02_c04,2,3,0,0,0,0,asian,BlowingCandles
v_BlowingCandles_g04_c01,1,4,0,0,0,0,asian,BlowingCandles
v_BlowingCandles_g07_c01,1,2,2,0,0,0,asian,BlowingCandles
v_BlowingCandles_g11_c01,0,2,3,0,0,0,black,BlowingCandles
v_BlowingCandles_g11_c02,0,5,0,0,0,0,asian,BlowingCandles
v_BlowingCandles_g12_c01,0,4,1,0,0,0,asian,BlowingCandles
v_BlowingCandles_g12_c02,1,4,0,0,0,0,asian,BlowingCandles
v_BlowingCandles_g12_c04,1,0,4,0,0,0,black,BlowingCandles
v_BlowingCandles_g13_c01,5,0,0,0,0,0,white,BlowingCandles
v_BlowingCandles_g15_c01,5,0,0,0,0,0,white,BlowingCandles
v_BlowingCandles_g15_c02,5,0,0,0,0,0,white,BlowingCandles
v_BlowingCandles_g19_c04,0,2,3,0,0,0,black,BlowingCandles
v_BlowingCandles_g20_c04,0,5,0,0,0,0,asian,BlowingCandles
v_BlowingCandles_g21_c02,1,4,0,0,0,0,asian,BlowingCandles
v_BlowingCandles_g22_c02,3,2,0,0,0,0,white,BlowingCandles
v_BlowingCandles_g22_c04,5,0,0,0,0,0,white,BlowingCandles
v_BlowingCandles_g24_c03,3,2,0,0,0,0,white,BlowingCandles
v_BlowingCandles_g24_c04,2,0,3,0,0,0,black,BlowingCandles
v_BlowingCandles_g25_c01,5,0,0,0,0,0,white,BlowingCandles
v_BlowingCandles_g25_c02,5,0,0,0,0,0,white,BlowingCandles
v_BodyWeightSquats_g02_c04,1,1,3,0,0,0,black,BodyWeightSquats
v_BodyWeightSquats_g12_c04,4,1,0,0,0,0,white,BodyWeightSquats
v_BodyWeightSquats_g19_c01,0,5,0,0,0,0,asian,BodyWeightSquats
v_BodyWeightSquats_g24_c05,4,0,1,0,0,0,white,BodyWeightSquats
v_Bowling_g01_c02,2,3,0,0,0,0,asian,Bowling
v_Bowling_g01_c03,1,3,1,0,0,0,asian,Bowling
v_Bowling_g03_c02,4,0,1,0,0,0,white,Bowling
v_Bowling_g03_c06,5,0,0,0,0,0,white,Bowling
v_Bowling_g03_c07,3,0,2,0,0,0,white,Bowling
v_Bowling_g04_c02,2,0,3,0,0,0,black,Bowling
v_Bowling_g05_c01,1,0,4,0,0,0,black,Bowling
v_Bowling_g05_c02,1,0,4,0,0,0,black,Bowling
v_Bowling_g06_c01,0,0,5,0,0,0,black,Bowling
v_Bowling_g06_c02,1,1,3,0,0,0,black,Bowling
v_Bowling_g06_c05,1,3,1,0,0,0,asian,Bowling
v_Bowling_g07_c01,1,3,1,0,0,0,asian,Bowling
v_Bowling_g07_c03,2,3,0,0,0,0,asian,Bowling
v_Bowling_g07_c06,4,0,1,0,0,0,white,Bowling
v_Bowling_g08_c02,0,0,5,0,0,0,black,Bowling
v_Bowling_g08_c06,0,0,5,0,0,0,black,Bowling
v_Bowling_g08_c07,1,0,4,0,0,0,black,Bowling
v_Bowling_g09_c02,0,0,5,0,0,0,black,Bowling
v_Bowling_g09_c03,2,0,3,0,0,0,black,Bowling
v_Bowling_g09_c05,0,0,5,0,0,0,black,Bowling
v_Bowling_g10_c01,4,1,0,0,0,0,white,Bowling
v_Bowling_g10_c03,3,0,2,0,0,0,white,Bowling
v_Bowling_g11_c02,4,1,0,0,0,0,white,Bowling
v_Bowling_g11_c04,3,1,1,0,0,0,white,Bowling
v_Bowling_g11_c07,5,0,0,0,0,0,white,Bowling
v_Bowling_g13_c01,2,2,1,0,0,0,white,Bowling
v_Bowling_g13_c04,1,0,4,0,0,0,black,Bowling
v_Bowling_g14_c01,2,0,3,0,0,0,black,Bowling
v_Bowling_g14_c03,1,3,1,0,0,0,asian,Bowling
v_Bowling_g15_c01,1,4,0,0,0,0,asian,Bowling
v_Bowling_g16_c03,2,0,3,0,0,0,black,Bowling
v_Bowling_g17_c07,5,0,0,0,0,0,white,Bowling
v_Bowling_g19_c03,0,2,3,0,0,0,black,Bowling
v_Bowling_g19_c05,2,0,3,0,0,0,black,Bowling
v_Bowling_g19_c07,2,1,2,0,0,0,white,Bowling
v_Bowling_g20_c02,5,0,0,0,0,0,white,Bowling
v_Bowling_g20_c05,5,0,0,0,0,0,white,Bowling
v_Bowling_g20_c06,4,0,1,0,0,0,white,Bowling
v_Bowling_g21_c01,0,0,5,0,0,0,black,Bowling
v_Bowling_g21_c04,1,0,4,0,0,0,black,Bowling
v_Bowling_g22_c03,5,0,0,0,0,0,white,Bowling
v_Bowling_g22_c04,5,0,0,0,0,0,white,Bowling
v_Bowling_g22_c07,5,0,0,0,0,0,white,Bowling
v_Bowling_g23_c02,0,5,0,0,0,0,asian,Bowling
v_Bowling_g23_c05,0,5,0,0,0,0,asian,Bowling
v_Bowling_g23_c06,1,3,1,0,0,0,asian,Bowling
v_Bowling_g24_c05,2,0,3,0,0,0,black,Bowling
v_Bowling_g24_c06,0,0,5,0,0,0,black,Bowling
v_Bowling_g25_c03,3,2,0,0,0,0,white,Bowling
v_Bowling_g25_c05,4,1,0,0,0,0,white,Bowling
v_BoxingPunchingBag_g08_c06,2,0,3,0,0,0,black,BoxingPunchingBag
v_BoxingPunchingBag_g14_c04,4,0,1,0,0,0,white,BoxingPunchingBag
v_BoxingPunchingBag_g14_c05,3,0,2,0,0,0,white,BoxingPunchingBag
v_BoxingPunchingBag_g20_c02,2,0,3,0,0,0,black,BoxingPunchingBag
v_BoxingPunchingBag_g20_c06,1,0,4,0,0,0,black,BoxingPunchingBag
v_BoxingPunchingBag_g22_c02,2,0,3,0,0,0,black,BoxingPunchingBag
v_BoxingPunchingBag_g22_c03,2,0,3,0,0,0,black,BoxingPunchingBag
v_BoxingPunchingBag_g25_c01,1,0,4,0,0,0,black,BoxingPunchingBag
v_BoxingPunchingBag_g25_c04,2,0,3,0,0,0,black,BoxingPunchingBag
v_BoxingSpeedBag_g02_c01,3,0,2,0,0,0,white,BoxingSpeedBag
v_BoxingSpeedBag_g02_c02,5,0,0,0,0,0,white,BoxingSpeedBag
v_BoxingSpeedBag_g04_c03,1,4,0,0,0,0,asian,BoxingSpeedBag
v_BoxingSpeedBag_g04_c04,2,3,0,0,0,0,asian,BoxingSpeedBag
v_BoxingSpeedBag_g04_c06,2,3,0,0,0,0,asian,BoxingSpeedBag
v_BoxingSpeedBag_g10_c03,3,1,1,0,0,0,white,BoxingSpeedBag
v_BreastStroke_g01_c01,5,0,0,0,0,0,white,BreastStroke
v_BreastStroke_g01_c02,5,0,0,0,0,0,white,BreastStroke
v_BreastStroke_g02_c01,3,0,2,0,0,0,white,BreastStroke
v_BreastStroke_g02_c03,3,0,2,0,0,0,white,BreastStroke
v_BreastStroke_g04_c01,2,3,0,0,0,0,asian,BreastStroke
v_BreastStroke_g08_c01,5,0,0,0,0,0,white,BreastStroke
v_BreastStroke_g08_c04,3,0,2,0,0,0,white,BreastStroke
v_BreastStroke_g11_c01,4,0,1,0,0,0,white,BreastStroke
v_BreastStroke_g12_c02,4,0,1,0,0,0,white,BreastStroke
v_BreastStroke_g15_c01,2,0,3,0,0,0,black,BreastStroke
v_BreastStroke_g19_c01,1,2,2,0,0,0,asian,BreastStroke
v_BreastStroke_g20_c01,3,0,2,0,0,0,white,BreastStroke
v_BreastStroke_g20_c03,5,0,0,0,0,0,white,BreastStroke
v_BreastStroke_g21_c04,3,0,2,0,0,0,white,BreastStroke
v_BreastStroke_g22_c02,4,0,1,0,0,0,white,BreastStroke
v_BreastStroke_g22_c04,3,0,2,0,0,0,white,BreastStroke
v_BreastStroke_g24_c01,3,0,2,0,0,0,white,BreastStroke
v_BreastStroke_g25_c01,3,0,2,0,0,0,white,BreastStroke
v_BrushingTeeth_g11_c01,3,2,0,0,0,0,white,BrushingTeeth
v_BrushingTeeth_g13_c03,0,5,0,0,0,0,asian,BrushingTeeth
v_BrushingTeeth_g13_c04,1,0,4,0,0,0,black,BrushingTeeth
v_BrushingTeeth_g20_c01,2,3,0,0,0,0,asian,BrushingTeeth
v_BrushingTeeth_g21_c03,0,2,3,0,0,0,black,BrushingTeeth
v_BrushingTeeth_g24_c02,3,2,0,0,0,0,white,BrushingTeeth
v_BrushingTeeth_g24_c03,3,2,0,0,0,0,white,BrushingTeeth
v_BrushingTeeth_g24_c04,4,1,0,0,0,0,white,BrushingTeeth
v_CleanAndJerk_g03_c01,4,1,0,0,0,0,white,CleanAndJerk
v_CleanAndJerk_g03_c05,4,1,0,0,0,0,white,CleanAndJerk
v_CleanAndJerk_g05_c01,2,0,3,0,0,0,black,CleanAndJerk
v_CleanAndJerk_g05_c02,4,1,0,0,0,0,white,CleanAndJerk
v_CleanAndJerk_g07_c05,0,0,5,0,0,0,black,CleanAndJerk
v_CleanAndJerk_g08_c04,0,5,0,0,0,0,asian,CleanAndJerk
v_CleanAndJerk_g09_c02,3,0,2,0,0,0,white,CleanAndJerk
v_CleanAndJerk_g11_c02,5,0,0,0,0,0,white,CleanAndJerk
v_CleanAndJerk_g11_c04,3,1,1,0,0,0,white,CleanAndJerk
v_CleanAndJerk_g14_c04,2,3,0,0,0,0,asian,CleanAndJerk
v_CleanAndJerk_g15_c02,1,4,0,0,0,0,asian,CleanAndJerk
v_CleanAndJerk_g18_c01,0,0,5,0,0,0,black,CleanAndJerk
v_CleanAndJerk_g18_c04,5,0,0,0,0,0,white,CleanAndJerk
v_CleanAndJerk_g21_c03,5,0,0,0,0,0,white,CleanAndJerk
v_CleanAndJerk_g24_c02,5,0,0,0,0,0,white,CleanAndJerk
v_CliffDiving_g09_c03,2,3,0,0,0,0,asian,CliffDiving
v_CliffDiving_g10_c03,3,0,2,0,0,0,white,CliffDiving
v_CliffDiving_g10_c05,5,0,0,0,0,0,white,CliffDiving
v_CliffDiving_g10_c06,4,0,1,0,0,0,white,CliffDiving
v_CliffDiving_g20_c07,1,0,4,0,0,0,black,CliffDiving
v_CliffDiving_g22_c03,1,4,0,0,0,0,asian,CliffDiving
v_CricketBowling_g06_c04,2,0,3,0,0,0,black,CricketBowling
v_CricketBowling_g06_c05,0,0,5,0,0,0,black,CricketBowling
v_CricketBowling_g07_c03,4,0,1,0,0,0,white,CricketBowling
v_CricketBowling_g09_c01,0,2,3,0,0,0,black,CricketBowling
v_CricketBowling_g09_c02,1,0,4,0,0,0,black,CricketBowling
v_CricketBowling_g09_c03,0,0,5,0,0,0,black,CricketBowling
v_CricketBowling_g10_c01,0,0,5,0,0,0,black,CricketBowling
v_CricketBowling_g10_c04,0,2,3,0,0,0,black,CricketBowling
v_CricketBowling_g12_c03,0,2,3,0,0,0,black,CricketBowling
v_CricketBowling_g12_c05,1,0,4,0,0,0,black,CricketBowling
v_CricketBowling_g13_c03,2,2,1,0,0,0,white,CricketBowling
v_CricketBowling_g20_c02,0,0,5,0,0,0,black,CricketBowling
v_CricketBowling_g20_c05,0,0,5,0,0,0,black,CricketBowling
v_CricketBowling_g24_c02,0,5,0,0,0,0,asian,CricketBowling
v_CricketShot_g03_c02,2,3,0,0,0,0,asian,CricketShot
v_CricketShot_g03_c05,2,3,0,0,0,0,asian,CricketShot
v_CricketShot_g05_c01,1,1,3,0,0,0,black,CricketShot
v_CricketShot_g05_c03,0,4,1,0,0,0,asian,CricketShot
v_CricketShot_g05_c06,2,0,3,0,0,0,black,CricketShot
v_CricketShot_g06_c04,1,0,4,0,0,0,black,CricketShot
v_CricketShot_g09_c01,2,0,3,0,0,0,black,CricketShot
v_CricketShot_g12_c02,2,0,3,0,0,0,black,CricketShot
v_CricketShot_g12_c06,2,0,3,0,0,0,black,CricketShot
v_CricketShot_g13_c03,2,3,0,0,0,0,asian,CricketShot
v_CricketShot_g13_c05,2,3,0,0,0,0,asian,CricketShot
v_CricketShot_g14_c02,5,0,0,0,0,0,white,CricketShot
v_CricketShot_g14_c05,3,2,0,0,0,0,white,CricketShot
v_CricketShot_g14_c07,3,2,0,0,0,0,white,CricketShot
v_CricketShot_g15_c03,0,2,3,0,0,0,black,CricketShot
v_CricketShot_g15_c07,0,0,5,0,0,0,black,CricketShot
v_CricketShot_g24_c02,0,0,5,0,0,0,black,CricketShot
v_CricketShot_g24_c04,1,0,4,0,0,0,black,CricketShot
v_CuttingInKitchen_g04_c02,4,1,0,0,0,0,white,CuttingInKitchen
v_CuttingInKitchen_g06_c02,5,0,0,0,0,0,white,CuttingInKitchen
v_CuttingInKitchen_g06_c03,3,2,0,0,0,0,white,CuttingInKitchen
v_CuttingInKitchen_g07_c01,4,1,0,0,0,0,white,CuttingInKitchen
v_CuttingInKitchen_g07_c03,3,2,0,0,0,0,white,CuttingInKitchen
v_CuttingInKitchen_g14_c01,3,2,0,0,0,0,white,CuttingInKitchen
v_CuttingInKitchen_g16_c03,4,1,0,0,0,0,white,CuttingInKitchen
v_CuttingInKitchen_g16_c04,5,0,0,0,0,0,white,CuttingInKitchen
v_CuttingInKitchen_g19_c02,2,3,0,0,0,0,asian,CuttingInKitchen
v_CuttingInKitchen_g22_c02,1,3,1,0,0,0,asian,CuttingInKitchen
v_CuttingInKitchen_g24_c03,1,4,0,0,0,0,asian,CuttingInKitchen
v_CuttingInKitchen_g25_c03,3,2,0,0,0,0,white,CuttingInKitchen
v_Diving_g01_c01,1,0,0,0,4,0,indian,Diving
v_Diving_g02_c03,3,0,2,0,0,0,white,Diving
v_Diving_g02_c04,5,0,0,0,0,0,white,Diving
v_Diving_g02_c07,4,1,0,0,0,0,white,Diving
v_Diving_g03_c03,2,3,0,0,0,0,asian,Diving
v_Diving_g09_c07,2,3,0,0,0,0,asian,Diving
v_Diving_g10_c03,5,0,0,0,0,0,white,Diving
v_Diving_g10_c04,5,0,0,0,0,0,white,Diving
v_Diving_g10_c06,2,1,2,0,0,0,white,Diving
v_Diving_g11_c01,2,0,3,0,0,0,black,Diving
v_Diving_g11_c03,0,2,3,0,0,0,black,Diving
v_Diving_g11_c05,2,3,0,0,0,0,asian,Diving
v_Diving_g14_c02,0,0,0,0,5,0,indian,Diving
v_Diving_g15_c03,2,3,0,0,0,0,asian,Diving
v_Diving_g20_c07,2,0,3,0,0,0,black,Diving
v_Diving_g21_c01,0,5,0,0,0,0,asian,Diving
v_Diving_g21_c06,4,0,0,0,1,0,white,Diving
v_Diving_g23_c05,2,0,0,0,3,0,indian,Diving
v_Diving_g23_c06,0,0,0,0,5,0,indian,Diving
v_Diving_g25_c01,1,3,1,0,0,0,asian,Diving
v_Drumming_g03_c02,4,1,0,0,0,0,white,Drumming
v_Drumming_g03_c05,4,1,0,0,0,0,white,Drumming
v_Drumming_g08_c04,0,0,5,0,0,0,black,Drumming
v_Drumming_g08_c05,2,0,3,0,0,0,black,Drumming
v_Drumming_g09_c04,1,0,4,0,0,0,black,Drumming
v_Drumming_g13_c05,3,0,2,0,0,0,white,Drumming
v_Drumming_g13_c07,3,0,2,0,0,0,white,Drumming
v_Drumming_g14_c04,1,3,1,0,0,0,asian,Drumming
v_Drumming_g18_c02,3,0,2,0,0,0,white,Drumming
v_Drumming_g18_c05,4,0,1,0,0,0,white,Drumming
v_Drumming_g19_c02,1,0,4,0,0,0,black,Drumming
v_Drumming_g19_c04,2,0,3,0,0,0,black,Drumming
v_Drumming_g19_c07,1,0,4,0,0,0,black,Drumming
v_Drumming_g23_c03,1,1,3,0,0,0,black,Drumming
v_Drumming_g23_c06,1,2,2,0,0,0,asian,Drumming
v_Drumming_g24_c03,3,2,0,0,0,0,white,Drumming
v_Drumming_g24_c06,3,2,0,0,0,0,white,Drumming
v_Drumming_g25_c06,3,0,2,0,0,0,white,Drumming
v_FieldHockeyPenalty_g02_c02,5,0,0,0,0,0,white,FieldHockeyPenalty
v_FieldHockeyPenalty_g02_c04,5,0,0,0,0,0,white,FieldHockeyPenalty
v_FieldHockeyPenalty_g02_c06,5,0,0,0,0,0,white,FieldHockeyPenalty
v_FieldHockeyPenalty_g03_c01,1,0,4,0,0,0,black,FieldHockeyPenalty
v_FieldHockeyPenalty_g07_c03,5,0,0,0,0,0,white,FieldHockeyPenalty
v_FieldHockeyPenalty_g07_c04,5,0,0,0,0,0,white,FieldHockeyPenalty
v_FieldHockeyPenalty_g12_c02,1,3,1,0,0,0,asian,FieldHockeyPenalty
v_FieldHockeyPenalty_g12_c06,1,2,2,0,0,0,asian,FieldHockeyPenalty
v_FieldHockeyPenalty_g15_c01,1,0,4,0,0,0,black,FieldHockeyPenalty
