video_name,thin_count,wide_count,final,category
v_Drumming_g18_c03,0,5,wide,Drumming
v_Drumming_g18_c05,0,5,wide,Drumming
v_Drumming_g21_c07,2,3,wide,Drumming
v_FieldHockeyPenalty_g04_c05,2,3,wide,FieldHockeyPenalty
v_FieldHockeyPenalty_g19_c03,0,5,wide,FieldHockeyPenalty
v_FieldHockeyPenalty_g22_c04,2,3,wide,FieldHockeyPenalty
v_FieldHockeyPenalty_g23_c03,1,4,wide,FieldHockeyPenalty
v_FrisbeeCatch_g07_c02,1,4,wide,FrisbeeCatch
v_HeadMassage_g12_c01,1,4,wide,HeadMassage
v_HeadMassage_g15_c03,2,3,wide,HeadMassage
v_HeadMassage_g24_c03,2,3,wide,HeadMassage
v_HorseRace_g02_c01,2,3,wide,HorseRace
v_HorseRace_g03_c01,1,4,wide,HorseRace
v_HorseRace_g03_c02,2,3,wide,HorseRace
v_HorseRace_g06_c04,2,3,wide,HorseRace
v_HorseRace_g07_c04,3,2,thin,HorseRace
v_HorseRace_g07_c05,3,2,thin,HorseRace
v_HorseRace_g11_c05,2,3,wide,HorseRace
v_HorseRace_g12_c04,1,4,wide,HorseRace
v_HorseRace_g13_c02,5,0,thin,HorseRace
v_HorseRace_g13_c05,5,0,thin,HorseRace
v_HorseRace_g15_c03,1,4,wide,HorseRace
v_HorseRace_g17_c01,2,3,wide,HorseRace
v_HorseRace_g17_c02,2,3,wide,HorseRace
v_HorseRace_g18_c03,1,4,wide,HorseRace
v_HorseRace_g18_c04,0,5,wide,HorseRace
v_HorseRace_g19_c02,1,4,wide,HorseRace
v_HorseRace_g19_c03,2,3,wide,HorseRace
v_HorseRace_g20_c02,0,5,wide,HorseRace
v_HorseRace_g20_c03,0,5,wide,HorseRace
v_HorseRace_g24_c03,2,3,wide,HorseRace
v_JavelinThrow_g20_c02,2,3,wide,JavelinThrow
v_JumpingJack_g06_c02,2,3,wide,JumpingJack
v_JumpingJack_g23_c02,2,3,wide,JumpingJack
v_JumpingJack_g23_c04,1,4,wide,JumpingJack
v_MilitaryParade_g01_c03,0,5,wide,MilitaryParade
v_MilitaryParade_g02_c02,1,4,wide,MilitaryParade
v_MilitaryParade_g05_c01,3,2,thin,MilitaryParade
v_MilitaryParade_g06_c03,2,3,wide,MilitaryParade
v_MilitaryParade_g07_c01,2,3,wide,MilitaryParade
v_MilitaryParade_g12_c04,2,3,wide,MilitaryParade
v_MilitaryParade_g13_c01,1,4,wide,MilitaryParade
v_MilitaryParade_g16_c01,5,0,thin,MilitaryParade
v_MilitaryParade_g17_c01,2,3,wide,MilitaryParade
v_MilitaryParade_g21_c01,0,5,wide,MilitaryParade
v_MilitaryParade_g21_c03,2,3,wide,MilitaryParade
v_MilitaryParade_g24_c04,0,5,wide,MilitaryParade
v_MilitaryParade_g25_c07,1,4,wide,MilitaryParade
v_PlayingTabla_g01_c04,2,3,wide,PlayingTabla
v_SoccerPenalty_g01_c01,0,5,wide,SoccerPenalty
v_SoccerPenalty_g01_c03,2,3,wide,SoccerPenalty
v_SoccerPenalty_g01_c06,2,3,wide,SoccerPenalty
v_SoccerPenalty_g04_c01,1,4,wide,SoccerPenalty
v_SoccerPenalty_g07_c05,2,3,wide,SoccerPenalty
v_SoccerPenalty_g08_c01,1,4,wide,SoccerPenalty
v_SoccerPenalty_g09_c05,2,3,wide,SoccerPenalty
v_SoccerPenalty_g11_c01,0,5,wide,SoccerPenalty
v_SoccerPenalty_g11_c03,2,3,wide,SoccerPenalty
