video_name,kid_count,young_count,old_count,final,category
v_BlowDryHair_g20_c02,0,1,4,old,BlowDryHair
v_BlowDryHair_g22_c04,4,0,1,kid,BlowDryHair
v_BlowDryHair_g23_c03,0,5,0,young,BlowDryHair
v_BlowDryHair_g23_c04,0,5,0,young,BlowDryHair
v_BlowDryHair_g23_c06,0,3,2,young,BlowDryHair
v_BlowDryHair_g24_c02,0,2,3,old,BlowDryHair
v_BlowingCandles_g02_c03,5,0,0,kid,BlowingCandles
v_BlowingCandles_g08_c01,0,1,4,old,BlowingCandles
v_BlowingCandles_g08_c02,0,2,3,old,BlowingCandles
v_BlowingCandles_g11_c03,0,0,5,old,BlowingCandles
v_BlowingCandles_g13_c02,2,0,3,old,BlowingCandles
v_BlowingCandles_g13_c04,1,3,1,young,BlowingCandles
v_BlowingCandles_g17_c01,2,3,0,young,BlowingCandles
v_BlowingCandles_g17_c03,0,1,4,old,BlowingCandles
v_BlowingCandles_g22_c01,1,1,3,old,BlowingCandles
v_BlowingCandles_g24_c01,0,0,5,old,BlowingCandles
v_BlowingCandles_g24_c02,0,0,5,old,BlowingCandles
v_BlowingCandles_g25_c05,0,1,4,old,BlowingCandles
v_BodyWeightSquats_g02_c01,0,4,1,young,BodyWeightSquats
v_BodyWeightSquats_g02_c02,0,3,2,young,BodyWeightSquats
v_BodyWeightSquats_g03_c03,1,2,2,young,BodyWeightSquats
v_BodyWeightSquats_g04_c04,0,4,1,young,BodyWeightSquats
v_BodyWeightSquats_g10_c04,0,1,4,old,BodyWeightSquats
v_BodyWeightSquats_g10_c05,0,1,4,old,BodyWeightSquats
v_BodyWeightSquats_g19_c01,2,1,2,kid,BodyWeightSquats
v_BodyWeightSquats_g21_c01,0,3,2,young,BodyWeightSquats
v_BodyWeightSquats_g21_c03,0,3,2,young,BodyWeightSquats
v_BodyWeightSquats_g25_c04,0,1,4,old,BodyWeightSquats
v_BodyWeightSquats_g25_c05,0,2,3,old,BodyWeightSquats
v_BodyWeightSquats_g25_c07,0,1,4,old,BodyWeightSquats
v_Bowling_g01_c03,3,2,0,kid,Bowling
v_Bowling_g03_c05,4,1,0,kid,Bowling
v_Bowling_g04_c04,3,2,0,kid,Bowling
v_Bowling_g05_c04,0,2,3,old,Bowling
v_Bowling_g05_c07,4,1,0,kid,Bowling
v_Bowling_g07_c02,3,2,0,kid,Bowling
v_Bowling_g07_c03,3,2,0,kid,Bowling
v_Bowling_g08_c01,1,1,3,old,Bowling
v_Bowling_g08_c03,1,1,3,old,Bowling
v_Bowling_g08_c05,2,1,2,kid,Bowling
v_Bowling_g08_c07,3,1,1,kid,Bowling
v_Bowling_g10_c01,2,3,0,young,Bowling
v_Bowling_g10_c06,0,5,0,young,Bowling
v_Bowling_g10_c07,2,3,0,young,Bowling
v_Bowling_g11_c06,0,2,3,old,Bowling
v_Bowling_g12_c02,2,3,0,young,Bowling
v_Bowling_g12_c04,1,4,0,young,Bowling
v_Bowling_g13_c03,2,2,1,kid,Bowling
v_Bowling_g14_c01,5,0,0,kid,Bowling
v_Bowling_g14_c03,4,1,0,kid,Bowling
v_Bowling_g16_c02,3,2,0,kid,Bowling
v_Bowling_g17_c02,0,1,4,old,Bowling
v_Bowling_g18_c01,1,1,3,old,Bowling
v_Bowling_g18_c05,0,0,5,old,Bowling
v_Bowling_g20_c03,0,0,5,old,Bowling
v_Bowling_g21_c01,4,1,0,kid,Bowling
v_Bowling_g21_c03,5,0,0,kid,Bowling
v_Bowling_g22_c05,3,2,0,kid,Bowling
v_Bowling_g22_c06,3,2,0,kid,Bowling
v_Bowling_g23_c03,0,2,3,old,Bowling
v_BoxingPunchingBag_g03_c04,0,3,2,young,BoxingPunchingBag
v_BoxingPunchingBag_g03_c07,0,3,2,young,BoxingPunchingBag
v_BoxingPunchingBag_g04_c01,1,3,1,young,BoxingPunchingBag
v_BoxingPunchingBag_g04_c02,1,3,1,young,BoxingPunchingBag
v_BoxingPunchingBag_g04_c03,2,2,1,kid,BoxingPunchingBag
v_BoxingPunchingBag_g05_c01,0,2,3,old,BoxingPunchingBag
v_BoxingPunchingBag_g05_c07,2,2,1,kid,BoxingPunchingBag
v_BoxingPunchingBag_g12_c02,0,1,4,old,BoxingPunchingBag
v_BoxingPunchingBag_g12_c03,0,1,4,old,BoxingPunchingBag
v_BoxingPunchingBag_g12_c04,0,1,4,old,BoxingPunchingBag
v_BoxingPunchingBag_g16_c03,0,3,2,young,BoxingPunchingBag
v_BoxingPunchingBag_g16_c06,0,3,2,young,BoxingPunchingBag
v_BoxingPunchingBag_g16_c07,0,4,1,young,BoxingPunchingBag
v_BoxingPunchingBag_g18_c01,0,1,4,old,BoxingPunchingBag
v_BoxingPunchingBag_g18_c06,0,2,3,old,BoxingPunchingBag
v_BoxingPunchingBag_g20_c02,0,3,2,young,BoxingPunchingBag
v_BoxingPunchingBag_g20_c05,0,3,2,young,BoxingPunchingBag
v_BoxingPunchingBag_g20_c07,0,5,0,young,BoxingPunchingBag
v_BoxingPunchingBag_g24_c02,0,0,5,old,BoxingPunchingBag
v_BoxingPunchingBag_g24_c03,0,1,4,old,BoxingPunchingBag
v_BoxingPunchingBag_g24_c05,0,2,3,old,BoxingPunchingBag
v_BoxingSpeedBag_g01_c01,0,4,1,young,BoxingSpeedBag
v_BoxingSpeedBag_g01_c03,0,3,2,young,BoxingSpeedBag
v_BoxingSpeedBag_g07_c04,0,4,1,young,BoxingSpeedBag
v_BoxingSpeedBag_g07_c07,0,3,2,young,BoxingSpeedBag
v_BoxingSpeedBag_g08_c05,1,2,2,young,BoxingSpeedBag
v_BoxingSpeedBag_g10_c01,3,2,0,kid,BoxingSpeedBag
v_BoxingSpeedBag_g11_c04,0,3,2,young,BoxingSpeedBag
v_BoxingSpeedBag_g12_c05,0,3,2,young,BoxingSpeedBag
v_BoxingSpeedBag_g15_c01,0,0,5,old,BoxingSpeedBag
v_BoxingSpeedBag_g15_c02,0,2,3,old,BoxingSpeedBag
v_BoxingSpeedBag_g15_c03,0,2,3,old,BoxingSpeedBag
v_BoxingSpeedBag_g23_c02,0,2,3,old,BoxingSpeedBag
v_BoxingSpeedBag_g23_c03,0,1,4,old,BoxingSpeedBag
v_BreastStroke_g04_c03,0,5,0,young,BreastStroke
v_BreastStroke_g04_c04,2,3,0,young,BreastStroke
v_BreastStroke_g05_c02,0,2,3,old,BreastStroke
v_BreastStroke_g06_c04,0,2,3,old,BreastStroke
v_BreastStroke_g08_c01,0,3,2,young,BreastStroke
v_BreastStroke_g10_c01,4,1,0,kid,BreastStroke
v_BreastStroke_g11_c01,0,3,2,young,BreastStroke
v_BreastStroke_g11_c04,0,3,2,young,BreastStroke
v_BreastStroke_g13_c01,0,2,3,old,BreastStroke
v_BreastStroke_g15_c04,0,2,3,old,BreastStroke
v_BreastStroke_g17_c03,0,2,3,old,BreastStroke
v_BreastStroke_g18_c03,2,2,1,kid,BreastStroke
v_BreastStroke_g22_c03,0,1,4,old,BreastStroke
v_BreastStroke_g23_c01,2,3,0,young,BreastStroke
v_BreastStroke_g23_c03,1,3,1,young,BreastStroke
v_BreastStroke_g24_c01,2,1,2,kid,BreastStroke
v_BreastStroke_g25_c01,0,3,2,young,BreastStroke
v_BreastStroke_g25_c04,1,2,2,young,BreastStroke
v_BrushingTeeth_g03_c01,0,3,2,young,BrushingTeeth
v_BrushingTeeth_g03_c05,0,3,2,young,BrushingTeeth
v_BrushingTeeth_g06_c04,0,3,2,young,BrushingTeeth
v_BrushingTeeth_g08_c05,0,3,2,young,BrushingTeeth
v_BrushingTeeth_g11_c03,0,3,2,young,BrushingTeeth
v_BrushingTeeth_g12_c01,0,4,1,young,BrushingTeeth
v_BrushingTeeth_g12_c05,0,3,2,young,BrushingTeeth
v_BrushingTeeth_g12_c06,0,4,1,young,BrushingTeeth
v_BrushingTeeth_g14_c03,0,4,1,young,BrushingTeeth
v_BrushingTeeth_g22_c04,2,3,0,young,BrushingTeeth
v_BrushingTeeth_g25_c01,0,1,4,old,BrushingTeeth
v_CleanAndJerk_g02_c04,0,2,3,old,CleanAndJerk
v_CleanAndJerk_g05_c03,0,3,2,young,CleanAndJerk
v_CleanAndJerk_g06_c02,0,3,2,young,CleanAndJerk
v_CleanAndJerk_g08_c01,0,4,1,young,CleanAndJerk
v_CleanAndJerk_g08_c04,0,1,4,old,CleanAndJerk
v_CleanAndJerk_g09_c03,0,5,0,young,CleanAndJerk
v_CleanAndJerk_g09_c04,0,5,0,young,CleanAndJerk
v_CleanAndJerk_g10_c04,0,0,5,old,CleanAndJerk
v_CleanAndJerk_g14_c03,0,3,2,young,CleanAndJerk
v_CleanAndJerk_g14_c05,0,3,2,young,CleanAndJerk
v_CleanAndJerk_g19_c01,0,3,2,young,CleanAndJerk
v_CleanAndJerk_g21_c01,2,2,1,kid,CleanAndJerk
v_CleanAndJerk_g21_c02,0,3,2,young,CleanAndJerk
v_CleanAndJerk_g24_c03,0,3,2,young,CleanAndJerk
v_CliffDiving_g03_c02,0,2,3,old,CliffDiving
v_CliffDiving_g03_c03,0,2,3,old,CliffDiving
v_CliffDiving_g04_c01,0,1,4,old,CliffDiving
v_CliffDiving_g05_c02,0,2,3,old,CliffDiving
v_CliffDiving_g07_c02,0,2,3,old,CliffDiving
v_CliffDiving_g10_c01,0,1,4,old,CliffDiving
v_CliffDiving_g10_c06,0,2,3,old,CliffDiving
v_CliffDiving_g10_c07,0,1,4,old,CliffDiving
v_CliffDiving_g12_c03,0,1,4,old,CliffDiving
v_CliffDiving_g18_c06,0,1,4,old,CliffDiving
v_CliffDiving_g19_c02,0,2,3,old,CliffDiving
v_CliffDiving_g19_c04,0,2,3,old,CliffDiving
v_CliffDiving_g20_c01,0,2,3,old,CliffDiving
v_CliffDiving_g20_c04,0,0,5,old,CliffDiving
v_CliffDiving_g20_c07,0,0,5,old,CliffDiving
v_CliffDiving_g22_c02,0,2,3,old,CliffDiving
v_CliffDiving_g24_c01,0,3,2,young,CliffDiving
v_CliffDiving_g24_c02,0,3,2,young,CliffDiving
v_CricketBowling_g02_c01,0,2,3,old,CricketBowling
v_CricketBowling_g02_c03,1,1,3,old,CricketBowling
v_CricketBowling_g04_c04,2,0,3,old,CricketBowling
v_CricketBowling_g06_c05,0,1,4,old,CricketBowling
v_CricketBowling_g07_c01,0,1,4,old,CricketBowling
v_CricketBowling_g07_c03,2,2,1,kid,CricketBowling
v_CricketBowling_g14_c01,0,1,4,old,CricketBowling
v_CricketBowling_g14_c02,1,0,4,old,CricketBowling
v_CricketBowling_g21_c01,2,2,1,kid,CricketBowling
v_CricketBowling_g21_c06,2,1,2,kid,CricketBowling
v_CricketBowling_g22_c07,1,1,3,old,CricketBowling
v_CricketShot_g03_c04,1,2,2,young,CricketShot
v_CricketShot_g03_c06,1,1,3,old,CricketShot
v_CricketShot_g05_c04,0,3,2,young,CricketShot
v_CricketShot_g06_c07,0,1,4,old,CricketShot
v_CricketShot_g07_c02,0,4,1,young,CricketShot
v_CricketShot_g09_c02,0,2,3,old,CricketShot
v_CricketShot_g09_c05,0,2,3,old,CricketShot
v_CricketShot_g09_c07,0,1,4,old,CricketShot
v_CricketShot_g10_c01,2,1,2,kid,CricketShot
v_CricketShot_g10_c02,3,1,1,kid,CricketShot
v_CricketShot_g10_c03,0,2,3,old,CricketShot
v_CricketShot_g11_c03,0,2,3,old,CricketShot
v_CricketShot_g11_c06,0,1,4,old,CricketShot
v_CricketShot_g20_c06,0,3,2,young,CricketShot
v_CricketShot_g21_c03,4,1,0,kid,CricketShot
v_CricketShot_g21_c05,0,2,3,old,CricketShot
v_CricketShot_g21_c06,0,2,3,old,CricketShot
v_CricketShot_g22_c02,3,1,1,kid,CricketShot
v_CricketShot_g22_c03,3,1,1,kid,CricketShot
v_CricketShot_g25_c03,0,2,3,old,CricketShot
v_CricketShot_g25_c04,0,2,3,old,CricketShot
v_CricketShot_g25_c06,1,1,3,old,CricketShot
v_CuttingInKitchen_g20_c02,0,4,1,young,CuttingInKitchen
v_CuttingInKitchen_g21_c01,0,3,2,young,CuttingInKitchen
v_CuttingInKitchen_g22_c03,0,3,2,young,CuttingInKitchen
v_CuttingInKitchen_g25_c06,0,3,2,young,CuttingInKitchen
v_Diving_g02_c02,2,3,0,young,Diving
v_Diving_g02_c04,0,5,0,young,Diving
v_Diving_g02_c07,1,4,0,young,Diving
v_Diving_g05_c02,2,3,0,young,Diving
v_Diving_g05_c03,0,5,0,young,Diving
v_Diving_g05_c04,2,3,0,young,Diving
v_Diving_g06_c06,3,2,0,kid,Diving
v_Diving_g09_c07,0,2,3,old,Diving
v_Diving_g10_c02,2,3,0,young,Diving
v_Diving_g10_c03,1,4,0,young,Diving
v_Diving_g10_c04,0,5,0,young,Diving
v_Diving_g11_c05,0,5,0,young,Diving
v_Diving_g11_c06,0,5,0,young,Diving
v_Diving_g16_c03,3,2,0,kid,Diving
v_Diving_g16_c05,3,2,0,kid,Diving
v_Diving_g20_c02,3,2,0,kid,Diving
v_Diving_g20_c05,3,2,0,kid,Diving
v_Diving_g21_c04,3,2,0,kid,Diving
v_Diving_g23_c06,5,0,0,kid,Diving
v_Diving_g24_c07,3,2,0,kid,Diving
v_Drumming_g02_c04,0,3,2,young,Drumming
v_Drumming_g03_c01,0,4,1,young,Drumming
v_Drumming_g08_c01,0,3,2,young,Drumming
v_Drumming_g08_c03,0,3,2,young,Drumming
v_Drumming_g11_c03,0,2,3,old,Drumming
v_Drumming_g14_c05,0,4,1,young,Drumming
v_Drumming_g15_c02,2,2,1,kid,Drumming
v_Drumming_g15_c04,2,0,3,old,Drumming
v_Drumming_g15_c05,2,0,3,old,Drumming
v_Drumming_g15_c07,2,1,2,kid,Drumming
v_Drumming_g17_c01,1,2,2,young,Drumming
v_Drumming_g17_c06,2,2,1,kid,Drumming
v_Drumming_g18_c01,0,4,1,young,Drumming
v_Drumming_g18_c03,2,1,2,kid,Drumming
v_Drumming_g18_c06,0,5,0,young,Drumming
v_Drumming_g19_c01,3,2,0,kid,Drumming
v_Drumming_g19_c05,5,0,0,kid,Drumming
v_Drumming_g21_c06,0,4,1,young,Drumming
v_Drumming_g22_c02,0,5,0,young,Drumming
v_Drumming_g22_c03,0,5,0,young,Drumming
v_Drumming_g25_c04,2,3,0,young,Drumming
v_Fencing_g07_c01,0,1,4,old,Fencing
v_Fencing_g09_c01,0,1,4,old,Fencing
v_Fencing_g13_c01,0,2,3,old,Fencing
v_Fencing_g17_c02,3,2,0,kid,Fencing
v_Fencing_g19_c03,0,2,3,old,Fencing
v_Fencing_g22_c01,0,5,0,young,Fencing
v_Fencing_g22_c02,0,3,2,young,Fencing
