video_name,thin_and_tall_count,thin_and_short_count,wide_and_tall_count,wide_and_short_count,final,category
v_Billiards_g16_c04,0,3,0,2,thin_and_short,Billiards
v_Billiards_g17_c03,0,0,0,5,wide_and_short,Billiards
v_Billiards_g17_c05,0,2,0,3,wide_and_short,Billiards
v_Billiards_g18_c02,0,5,0,0,thin_and_short,Billiards
v_Billiards_g18_c04,0,5,0,0,thin_and_short,Billiards
v_Billiards_g18_c06,0,5,0,0,thin_and_short,Billiards
v_Billiards_g19_c01,0,5,0,0,thin_and_short,Billiards
v_Billiards_g19_c02,0,3,0,2,thin_and_short,Billiards
v_Billiards_g19_c03,0,5,0,0,thin_and_short,Billiards
v_Billiards_g21_c01,0,3,0,2,thin_and_short,Billiards
v_Billiards_g21_c02,0,5,0,0,thin_and_short,Billiards
v_Billiards_g21_c03,0,3,0,2,thin_and_short,Billiards
v_Billiards_g23_c01,0,0,0,5,wide_and_short,Billiards
v_Billiards_g23_c02,0,1,0,4,wide_and_short,Billiards
v_Billiards_g25_c04,0,4,0,1,thin_and_short,Billiards
v_BlowDryHair_g01_c04,0,0,0,5,wide_and_short,BlowDryHair
v_BlowDryHair_g02_c01,0,0,0,5,wide_and_short,BlowDryHair
v_BlowDryHair_g02_c02,0,0,2,3,wide_and_short,BlowDryHair
v_BlowDryHair_g02_c03,2,0,3,0,wide_and_tall,BlowDryHair
v_BlowDryHair_g03_c02,1,0,0,4,wide_and_short,BlowDryHair
v_BlowDryHair_g03_c03,0,0,3,2,wide_and_tall,BlowDryHair
v_BlowDryHair_g03_c04,0,1,0,4,wide_and_short,BlowDryHair
v_BlowDryHair_g04_c04,0,1,1,3,wide_and_short,BlowDryHair
v_BlowDryHair_g04_c05,0,2,3,0,wide_and_tall,BlowDryHair
v_BlowDryHair_g05_c01,5,0,0,0,thin_and_tall,BlowDryHair
v_BlowDryHair_g05_c03,1,0,1,3,wide_and_short,BlowDryHair
v_BlowDryHair_g05_c05,1,2,1,1,thin_and_short,BlowDryHair
v_BlowDryHair_g06_c04,0,0,2,3,wide_and_short,BlowDryHair
v_BlowDryHair_g06_c07,0,0,0,5,wide_and_short,BlowDryHair
v_BlowDryHair_g07_c03,0,0,1,4,wide_and_short,BlowDryHair
v_BlowDryHair_g08_c02,0,0,3,2,wide_and_tall,BlowDryHair
v_BlowDryHair_g08_c03,0,1,2,2,wide_and_tall,BlowDryHair
v_BlowDryHair_g08_c05,0,0,5,0,wide_and_tall,BlowDryHair
v_BlowDryHair_g09_c01,1,2,0,2,thin_and_short,BlowDryHair
v_BlowDryHair_g09_c04,0,0,3,2,wide_and_tall,BlowDryHair
v_BlowDryHair_g10_c01,1,4,0,0,thin_and_short,BlowDryHair
v_BlowDryHair_g10_c02,2,3,0,0,thin_and_short,BlowDryHair
v_BlowDryHair_g10_c04,0,0,5,0,wide_and_tall,BlowDryHair
v_BlowDryHair_g12_c03,0,0,5,0,wide_and_tall,BlowDryHair
v_BlowDryHair_g12_c04,0,0,5,0,wide_and_tall,BlowDryHair
v_BlowDryHair_g12_c06,1,0,4,0,wide_and_tall,BlowDryHair
v_BlowDryHair_g13_c04,0,1,4,0,wide_and_tall,BlowDryHair
v_BlowDryHair_g15_c02,0,0,0,5,wide_and_short,BlowDryHair
v_BlowDryHair_g15_c03,0,0,4,1,wide_and_tall,BlowDryHair
v_BlowDryHair_g16_c02,2,0,3,0,wide_and_tall,BlowDryHair
v_BlowDryHair_g17_c01,0,1,1,3,wide_and_short,BlowDryHair
v_BlowDryHair_g17_c03,0,0,0,5,wide_and_short,BlowDryHair
v_BlowDryHair_g17_c05,3,2,0,0,thin_and_tall,BlowDryHair
v_BlowDryHair_g19_c04,0,0,5,0,wide_and_tall,BlowDryHair
v_BlowDryHair_g20_c03,1,2,0,2,thin_and_short,BlowDryHair
v_BlowDryHair_g20_c04,1,4,0,0,thin_and_short,BlowDryHair
v_BlowDryHair_g21_c02,2,0,2,1,thin_and_tall,BlowDryHair
v_BlowDryHair_g21_c04,2,0,2,1,thin_and_tall,BlowDryHair
v_BlowDryHair_g22_c01,4,0,1,0,thin_and_tall,BlowDryHair
v_BlowDryHair_g23_c01,2,0,3,0,wide_and_tall,BlowDryHair
v_BlowDryHair_g23_c02,0,0,5,0,wide_and_tall,BlowDryHair
v_BlowDryHair_g23_c03,0,5,0,0,thin_and_short,BlowDryHair
v_BlowDryHair_g23_c04,0,2,3,0,wide_and_tall,BlowDryHair
v_BlowDryHair_g24_c02,0,0,5,0,wide_and_tall,BlowDryHair
v_BlowDryHair_g25_c01,0,0,5,0,wide_and_tall,BlowDryHair
v_BlowDryHair_g25_c03,2,0,3,0,wide_and_tall,BlowDryHair
v_BlowingCandles_g02_c03,0,3,0,2,thin_and_short,BlowingCandles
v_BlowingCandles_g02_c04,4,1,0,0,thin_and_tall,BlowingCandles
v_BlowingCandles_g03_c03,0,1,0,4,wide_and_short,BlowingCandles
v_BlowingCandles_g03_c04,0,0,0,5,wide_and_short,BlowingCandles
v_BlowingCandles_g08_c04,0,0,0,5,wide_and_short,BlowingCandles
v_BlowingCandles_g09_c01,0,0,0,5,wide_and_short,BlowingCandles
v_BlowingCandles_g09_c04,0,1,0,4,wide_and_short,BlowingCandles
v_BlowingCandles_g18_c01,0,2,0,3,wide_and_short,BlowingCandles
v_BlowingCandles_g18_c03,0,0,0,5,wide_and_short,BlowingCandles
v_BlowingCandles_g19_c03,0,5,0,0,thin_and_short,BlowingCandles
v_BlowingCandles_g21_c01,1,1,0,3,wide_and_short,BlowingCandles
v_BlowingCandles_g21_c02,0,2,0,3,wide_and_short,BlowingCandles
v_BlowingCandles_g22_c01,0,4,0,1,thin_and_short,BlowingCandles
v_BlowingCandles_g23_c03,3,1,0,1,thin_and_tall,BlowingCandles
v_BlowingCandles_g25_c01,0,0,0,5,wide_and_short,BlowingCandles
v_BlowingCandles_g25_c02,0,0,0,5,wide_and_short,BlowingCandles
v_BlowingCandles_g25_c06,0,2,0,3,wide_and_short,BlowingCandles
v_BodyWeightSquats_g03_c04,0,4,0,1,thin_and_short,BodyWeightSquats
v_BodyWeightSquats_g03_c05,1,4,0,0,thin_and_short,BodyWeightSquats
v_BodyWeightSquats_g06_c01,3,0,2,0,thin_and_tall,BodyWeightSquats
v_BodyWeightSquats_g06_c05,0,2,2,1,thin_and_short,BodyWeightSquats
v_BodyWeightSquats_g07_c01,2,1,0,2,thin_and_tall,BodyWeightSquats
v_BodyWeightSquats_g09_c04,2,0,3,0,wide_and_tall,BodyWeightSquats
v_BodyWeightSquats_g12_c02,2,0,3,0,wide_and_tall,BodyWeightSquats
v_BodyWeightSquats_g12_c04,5,0,0,0,thin_and_tall,BodyWeightSquats
v_BodyWeightSquats_g14_c01,0,0,0,5,wide_and_short,BodyWeightSquats
v_BodyWeightSquats_g14_c03,0,2,0,3,wide_and_short,BodyWeightSquats
v_BodyWeightSquats_g17_c04,0,1,0,4,wide_and_short,BodyWeightSquats
v_BodyWeightSquats_g18_c04,0,2,0,3,wide_and_short,BodyWeightSquats
v_BodyWeightSquats_g20_c02,0,2,0,3,wide_and_short,BodyWeightSquats
v_BodyWeightSquats_g20_c03,1,1,0,3,wide_and_short,BodyWeightSquats
v_BodyWeightSquats_g20_c04,4,0,0,1,thin_and_tall,BodyWeightSquats
v_BodyWeightSquats_g21_c03,0,1,0,4,wide_and_short,BodyWeightSquats
v_BodyWeightSquats_g21_c04,0,2,0,3,wide_and_short,BodyWeightSquats
v_BodyWeightSquats_g22_c01,3,1,0,1,thin_and_tall,BodyWeightSquats
v_BodyWeightSquats_g22_c02,1,2,0,2,thin_and_short,BodyWeightSquats
v_BodyWeightSquats_g24_c01,0,2,0,3,wide_and_short,BodyWeightSquats
v_BodyWeightSquats_g25_c06,0,2,0,3,wide_and_short,BodyWeightSquats
v_Bowling_g01_c01,0,2,0,3,wide_and_short,Bowling
v_Bowling_g01_c03,0,2,0,3,wide_and_short,Bowling
v_Bowling_g01_c07,0,1,0,4,wide_and_short,Bowling
v_Bowling_g03_c03,0,0,3,2,wide_and_tall,Bowling
v_Bowling_g05_c05,0,0,3,2,wide_and_tall,Bowling
v_Bowling_g07_c01,0,4,0,1,thin_and_short,Bowling
v_Bowling_g07_c05,0,3,0,2,thin_and_short,Bowling
v_Bowling_g07_c06,0,3,0,2,thin_and_short,Bowling
v_Bowling_g09_c03,0,0,0,5,wide_and_short,Bowling
v_Bowling_g09_c05,0,0,0,5,wide_and_short,Bowling
v_Bowling_g09_c06,0,0,1,4,wide_and_short,Bowling
v_Bowling_g11_c04,0,3,0,2,thin_and_short,Bowling
v_Bowling_g12_c02,1,1,2,1,wide_and_tall,Bowling
v_Bowling_g12_c03,0,1,3,1,wide_and_tall,Bowling
v_Bowling_g20_c06,0,2,1,2,thin_and_short,Bowling
v_Bowling_g21_c04,0,3,0,2,thin_and_short,Bowling
v_Bowling_g22_c04,0,5,0,0,thin_and_short,Bowling
v_Bowling_g22_c07,0,5,0,0,thin_and_short,Bowling
v_Bowling_g23_c06,0,3,0,2,thin_and_short,Bowling
v_Bowling_g23_c07,0,2,1,2,thin_and_short,Bowling
v_Bowling_g24_c07,0,2,1,2,thin_and_short,Bowling
v_Bowling_g25_c02,0,1,0,4,wide_and_short,Bowling
v_Bowling_g25_c04,0,0,0,5,wide_and_short,Bowling
v_BoxingPunchingBag_g02_c03,2,1,0,2,thin_and_tall,BoxingPunchingBag
v_BoxingPunchingBag_g03_c01,0,2,1,2,thin_and_short,BoxingPunchingBag
v_BoxingPunchingBag_g03_c03,0,1,2,2,wide_and_tall,BoxingPunchingBag
v_BoxingPunchingBag_g03_c04,1,1,0,3,wide_and_short,BoxingPunchingBag
v_BoxingPunchingBag_g03_c06,0,0,0,5,wide_and_short,BoxingPunchingBag
v_BoxingPunchingBag_g06_c03,0,1,2,2,wide_and_tall,BoxingPunchingBag
v_BoxingPunchingBag_g06_c04,1,1,0,3,wide_and_short,BoxingPunchingBag
