video_name,count_white,count_asian,count_black,count_middle_eastern,count_indian,count_hispanic,final,category
v_Archery_g05_c04,5,0,0,0,0,0,white,Archery
v_Archery_g05_c05,5,0,0,0,0,0,white,Archery
v_Archery_g06_c04,1,0,0,3,0,1,middle_eastern,Archery
v_Archery_g06_c05,1,2,0,2,0,0,asian,Archery
v_Archery_g06_c06,2,0,0,3,0,0,middle_eastern,Archery
v_Archery_g07_c01,2,0,1,0,0,2,white,Archery
v_Archery_g07_c02,2,0,0,0,0,3,hispanic,Archery
v_Archery_g07_c04,4,0,1,0,0,0,white,Archery
v_Archery_g07_c06,0,0,2,0,0,3,hispanic,Archery
v_Archery_g12_c03,2,0,0,0,0,3,hispanic,Archery
v_Archery_g13_c01,1,4,0,0,0,0,asian,Archery
v_Archery_g17_c04,0,0,5,0,0,0,black,Archery
v_Archery_g18_c01,2,0,0,0,0,3,hispanic,Archery
v_Archery_g18_c07,1,0,0,0,0,4,hispanic,Archery
v_Archery_g19_c01,2,3,0,0,0,0,asian,Archery
v_Archery_g21_c01,1,0,1,0,0,3,hispanic,Archery
v_Archery_g21_c02,1,0,4,0,0,0,black,Archery
v_Archery_g23_c04,2,3,0,0,0,0,asian,Archery
v_Archery_g23_c05,1,4,0,0,0,0,asian,Archery
v_Archery_g23_c07,2,3,0,0,0,0,asian,Archery
v_BabyCrawling_g01_c03,0,5,0,0,0,0,asian,BabyCrawling
v_BabyCrawling_g02_c04,0,5,0,0,0,0,asian,BabyCrawling
v_BabyCrawling_g02_c05,0,2,3,0,0,0,black,BabyCrawling
v_BabyCrawling_g03_c01,0,1,4,0,0,0,black,BabyCrawling
v_BabyCrawling_g03_c03,0,0,4,1,0,0,black,BabyCrawling
v_BabyCrawling_g04_c02,1,1,1,0,0,2,hispanic,BabyCrawling
v_BabyCrawling_g06_c02,2,0,0,0,0,3,hispanic,BabyCrawling
v_BabyCrawling_g06_c06,1,3,1,0,0,0,asian,BabyCrawling
v_BabyCrawling_g07_c01,2,2,0,1,0,0,white,BabyCrawling
v_BabyCrawling_g07_c04,2,1,0,2,0,0,white,BabyCrawling
v_BabyCrawling_g07_c06,4,0,0,1,0,0,white,BabyCrawling
v_BabyCrawling_g09_c02,4,0,0,0,0,1,white,BabyCrawling
v_BabyCrawling_g09_c04,3,0,0,0,0,2,white,BabyCrawling
v_BabyCrawling_g12_c04,0,0,4,0,0,1,black,BabyCrawling
v_BabyCrawling_g13_c01,0,0,3,0,0,2,black,BabyCrawling
v_BabyCrawling_g13_c03,0,2,3,0,0,0,black,BabyCrawling
v_BabyCrawling_g15_c03,0,2,1,1,0,1,asian,BabyCrawling
v_BabyCrawling_g16_c01,0,2,1,0,0,2,asian,BabyCrawling
v_BabyCrawling_g16_c03,0,1,0,3,0,1,middle_eastern,BabyCrawling
v_BabyCrawling_g16_c04,1,0,0,2,0,2,middle_eastern,BabyCrawling
v_BabyCrawling_g19_c01,0,4,1,0,0,0,asian,BabyCrawling
v_BabyCrawling_g21_c03,2,0,0,3,0,0,middle_eastern,BabyCrawling
v_BabyCrawling_g22_c03,0,2,0,0,0,3,hispanic,BabyCrawling
v_BabyCrawling_g22_c06,0,2,0,0,0,3,hispanic,BabyCrawling
v_BabyCrawling_g23_c04,2,2,1,0,0,0,white,BabyCrawling
v_BabyCrawling_g24_c01,0,2,1,0,1,1,asian,BabyCrawling
v_BabyCrawling_g24_c04,0,1,0,3,0,1,middle_eastern,BabyCrawling
v_BabyCrawling_g24_c05,0,2,0,3,0,0,middle_eastern,BabyCrawling
v_BalanceBeam_g01_c03,0,0,5,0,0,0,black,BalanceBeam
v_BalanceBeam_g01_c04,0,0,0,3,2,0,middle_eastern,BalanceBeam
v_BalanceBeam_g02_c01,2,0,2,0,0,1,white,BalanceBeam
v_BalanceBeam_g02_c02,0,1,4,0,0,0,black,BalanceBeam
v_BalanceBeam_g03_c01,4,1,0,0,0,0,white,BalanceBeam
v_BalanceBeam_g03_c04,3,2,0,0,0,0,white,BalanceBeam
v_BalanceBeam_g04_c01,3,0,1,0,0,1,white,BalanceBeam
v_BalanceBeam_g04_c02,0,3,2,0,0,0,asian,BalanceBeam
v_BalanceBeam_g05_c01,2,0,3,0,0,0,black,BalanceBeam
v_BalanceBeam_g06_c02,3,2,0,0,0,0,white,BalanceBeam
v_BalanceBeam_g06_c04,3,2,0,0,0,0,white,BalanceBeam
v_BalanceBeam_g07_c01,2,0,3,0,0,0,black,BalanceBeam
v_BalanceBeam_g07_c02,0,2,0,0,0,3,hispanic,BalanceBeam
v_BalanceBeam_g08_c02,0,1,3,0,0,1,black,BalanceBeam
v_BalanceBeam_g09_c02,1,1,0,2,1,0,middle_eastern,BalanceBeam
v_BalanceBeam_g10_c02,1,2,2,0,0,0,asian,BalanceBeam
v_BalanceBeam_g11_c01,2,2,1,0,0,0,white,BalanceBeam
v_BalanceBeam_g11_c03,0,0,1,3,1,0,middle_eastern,BalanceBeam
v_BalanceBeam_g12_c02,1,0,4,0,0,0,black,BalanceBeam
v_BalanceBeam_g12_c03,4,0,0,0,0,1,white,BalanceBeam
v_BalanceBeam_g13_c01,0,2,1,0,0,2,asian,BalanceBeam
v_BalanceBeam_g14_c01,2,0,0,0,1,2,white,BalanceBeam
v_BalanceBeam_g15_c03,3,2,0,0,0,0,white,BalanceBeam
v_BalanceBeam_g15_c04,1,1,2,0,1,0,black,BalanceBeam
v_BalanceBeam_g16_c01,0,1,2,1,0,1,black,BalanceBeam
v_BalanceBeam_g16_c02,0,1,3,0,0,1,black,BalanceBeam
v_BalanceBeam_g17_c04,5,0,0,0,0,0,white,BalanceBeam
v_BalanceBeam_g17_c05,0,2,3,0,0,0,black,BalanceBeam
v_BalanceBeam_g17_c06,4,1,0,0,0,0,white,BalanceBeam
v_BalanceBeam_g18_c02,2,3,0,0,0,0,asian,BalanceBeam
v_BalanceBeam_g19_c01,0,1,1,1,0,2,hispanic,BalanceBeam
v_BalanceBeam_g19_c02,5,0,0,0,0,0,white,BalanceBeam
v_BalanceBeam_g19_c03,1,1,0,0,3,0,indian,BalanceBeam
v_BalanceBeam_g20_c03,2,0,0,0,1,2,white,BalanceBeam
v_BalanceBeam_g20_c04,2,1,0,0,2,0,white,BalanceBeam
v_BalanceBeam_g21_c03,0,1,1,1,2,0,indian,BalanceBeam
v_BalanceBeam_g22_c01,3,0,0,0,0,2,white,BalanceBeam
v_BalanceBeam_g23_c01,2,1,2,0,0,0,white,BalanceBeam
v_BalanceBeam_g23_c03,0,2,3,0,0,0,black,BalanceBeam
v_BalanceBeam_g24_c03,3,2,0,0,0,0,white,BalanceBeam
v_BalanceBeam_g24_c04,1,1,0,0,3,0,indian,BalanceBeam
v_BandMarching_g02_c05,3,0,2,0,0,0,white,BandMarching
v_BandMarching_g02_c06,3,0,1,0,0,1,white,BandMarching
v_BandMarching_g02_c07,0,0,1,0,0,4,hispanic,BandMarching
v_BandMarching_g03_c02,0,0,1,1,1,2,hispanic,BandMarching
v_BandMarching_g03_c03,0,3,1,0,1,0,asian,BandMarching
v_BandMarching_g03_c06,1,1,0,0,2,1,indian,BandMarching
v_BandMarching_g03_c07,2,0,2,0,1,0,white,BandMarching
v_BandMarching_g04_c01,2,0,3,0,0,0,black,BandMarching
v_BandMarching_g05_c01,0,1,0,0,0,4,hispanic,BandMarching
v_BandMarching_g05_c02,0,0,5,0,0,0,black,BandMarching
v_BandMarching_g05_c04,1,1,3,0,0,0,black,BandMarching
v_BandMarching_g05_c06,4,0,0,0,1,0,white,BandMarching
v_BandMarching_g06_c03,2,0,3,0,0,0,black,BandMarching
v_BandMarching_g07_c03,1,0,4,0,0,0,black,BandMarching
v_BandMarching_g07_c05,0,0,2,0,0,3,hispanic,BandMarching
v_BandMarching_g07_c06,4,0,1,0,0,0,white,BandMarching
v_BandMarching_g07_c07,4,0,0,0,0,1,white,BandMarching
v_BandMarching_g08_c03,1,1,0,2,1,0,middle_eastern,BandMarching
v_BandMarching_g08_c06,1,0,0,4,0,0,middle_eastern,BandMarching
v_BandMarching_g09_c04,2,3,0,0,0,0,asian,BandMarching
v_BandMarching_g09_c05,0,1,0,1,3,0,indian,BandMarching
v_BandMarching_g09_c07,4,0,0,0,1,0,white,BandMarching
v_BandMarching_g10_c01,0,3,2,0,0,0,asian,BandMarching
v_BandMarching_g10_c02,1,2,2,0,0,0,asian,BandMarching
v_BandMarching_g11_c01,0,0,3,0,2,0,black,BandMarching
v_BandMarching_g11_c04,0,0,2,0,0,3,hispanic,BandMarching
v_BandMarching_g11_c07,0,2,1,0,2,0,asian,BandMarching
v_BandMarching_g12_c04,0,3,0,0,0,2,asian,BandMarching
v_BandMarching_g13_c01,0,0,5,0,0,0,black,BandMarching
v_BandMarching_g14_c03,2,0,1,1,1,0,white,BandMarching
v_BandMarching_g14_c04,2,1,1,0,1,0,white,BandMarching
v_BandMarching_g14_c06,2,1,0,1,1,0,white,BandMarching
v_BandMarching_g15_c01,2,0,1,1,0,1,white,BandMarching
v_BandMarching_g15_c02,2,0,1,0,0,2,white,BandMarching
v_BandMarching_g16_c03,4,0,0,0,1,0,white,BandMarching
v_BandMarching_g16_c04,3,2,0,0,0,0,white,BandMarching
v_BandMarching_g17_c04,1,0,0,0,0,4,hispanic,BandMarching
v_BandMarching_g18_c01,2,0,3,0,0,0,black,BandMarching
v_BandMarching_g19_c03,0,1,1,0,0,3,hispanic,BandMarching
v_BandMarching_g19_c06,1,0,2,0,0,2,black,BandMarching
v_BandMarching_g20_c05,0,0,0,0,0,5,hispanic,BandMarching
v_BandMarching_g20_c06,0,0,0,0,0,5,hispanic,BandMarching
v_BandMarching_g21_c02,1,1,3,0,0,0,black,BandMarching
v_BandMarching_g21_c03,0,1,4,0,0,0,black,BandMarching
v_BandMarching_g22_c03,1,0,1,0,0,3,hispanic,BandMarching
v_BandMarching_g22_c05,0,0,2,0,0,3,hispanic,BandMarching
v_BandMarching_g23_c05,2,0,3,0,0,0,black,BandMarching
v_BandMarching_g24_c03,2,3,0,0,0,0,asian,BandMarching
v_BandMarching_g24_c05,1,1,1,0,0,2,hispanic,BandMarching
v_BandMarching_g24_c06,1,3,0,0,0,1,asian,BandMarching
v_BandMarching_g25_c01,1,0,4,0,0,0,black,BandMarching
v_BandMarching_g25_c05,2,0,0,0,3,0,indian,BandMarching
v_BaseballPitch_g01_c05,4,0,0,1,0,0,white,BaseballPitch
v_BaseballPitch_g02_c02,1,0,2,0,0,2,black,BaseballPitch
v_BaseballPitch_g02_c03,1,2,2,0,0,0,asian,BaseballPitch
v_BaseballPitch_g03_c01,0,2,1,2,0,0,asian,BaseballPitch
v_BaseballPitch_g03_c02,1,4,0,0,0,0,asian,BaseballPitch
v_BaseballPitch_g03_c03,0,3,0,0,0,2,asian,BaseballPitch
v_BaseballPitch_g05_c02,0,1,4,0,0,0,black,BaseballPitch
v_BaseballPitch_g05_c03,0,0,5,0,0,0,black,BaseballPitch
v_BaseballPitch_g05_c04,0,2,3,0,0,0,black,BaseballPitch
v_BaseballPitch_g06_c05,0,0,5,0,0,0,black,BaseballPitch
v_BaseballPitch_g06_c06,0,1,4,0,0,0,black,BaseballPitch
v_BaseballPitch_g08_c06,2,0,3,0,0,0,black,BaseballPitch
v_BaseballPitch_g08_c07,1,0,3,1,0,0,black,BaseballPitch
v_BaseballPitch_g10_c01,0,0,2,0,0,3,hispanic,BaseballPitch
v_BaseballPitch_g11_c02,0,1,4,0,0,0,black,BaseballPitch
v_BaseballPitch_g12_c03,0,2,3,0,0,0,black,BaseballPitch
v_BaseballPitch_g12_c04,0,0,5,0,0,0,black,BaseballPitch
v_BaseballPitch_g14_c03,0,1,3,0,1,0,black,BaseballPitch
v_BaseballPitch_g15_c03,0,2,1,0,1,1,asian,BaseballPitch
v_BaseballPitch_g15_c06,1,3,0,0,0,1,asian,BaseballPitch
v_BaseballPitch_g19_c03,2,1,0,2,0,0,white,BaseballPitch
v_BaseballPitch_g19_c04,2,1,0,2,0,0,white,BaseballPitch
v_BaseballPitch_g20_c02,2,0,3,0,0,0,black,BaseballPitch
v_BaseballPitch_g20_c03,1,0,1,1,0,2,hispanic,BaseballPitch
v_BaseballPitch_g22_c03,0,2,3,0,0,0,black,BaseballPitch
v_BaseballPitch_g24_c03,0,2,1,2,0,0,asian,BaseballPitch
v_BaseballPitch_g24_c04,0,2,0,1,0,2,asian,BaseballPitch
v_BaseballPitch_g24_c05,0,0,0,5,0,0,middle_eastern,BaseballPitch
v_BaseballPitch_g25_c01,2,0,2,1,0,0,white,BaseballPitch
v_BaseballPitch_g25_c05,2,0,1,1,0,1,white,BaseballPitch
v_BaseballPitch_g25_c06,0,0,1,0,0,4,hispanic,BaseballPitch
v_BasketballDunk_g01_c01,0,1,0,0,0,4,hispanic,BasketballDunk
v_BasketballDunk_g01_c02,3,1,1,0,0,0,white,BasketballDunk
v_BasketballDunk_g01_c06,2,0,1,0,0,2,white,BasketballDunk
v_BasketballDunk_g02_c01,0,1,0,3,0,1,middle_eastern,BasketballDunk
v_BasketballDunk_g02_c02,2,1,2,0,0,0,white,BasketballDunk
v_BasketballDunk_g03_c01,0,4,0,1,0,0,asian,BasketballDunk
v_BasketballDunk_g03_c02,0,1,1,0,0,3,hispanic,BasketballDunk
v_BasketballDunk_g05_c04,0,2,0,0,3,0,indian,BasketballDunk
v_BasketballDunk_g07_c01,5,0,0,0,0,0,white,BasketballDunk
v_BasketballDunk_g07_c03,1,3,1,0,0,0,asian,BasketballDunk
v_BasketballDunk_g07_c04,3,0,2,0,0,0,white,BasketballDunk
v_BasketballDunk_g08_c02,1,4,0,0,0,0,asian,BasketballDunk
v_BasketballDunk_g08_c05,0,1,1,0,3,0,indian,BasketballDunk
v_BasketballDunk_g09_c02,0,5,0,0,0,0,asian,BasketballDunk
v_BasketballDunk_g09_c03,0,2,2,0,1,0,asian,BasketballDunk
v_BasketballDunk_g10_c02,3,2,0,0,0,0,white,BasketballDunk
v_BasketballDunk_g10_c03,5,0,0,0,0,0,white,BasketballDunk
v_BasketballDunk_g10_c04,0,1,4,0,0,0,black,BasketballDunk
v_BasketballDunk_g11_c01,1,0,2,0,0,2,black,BasketballDunk
v_BasketballDunk_g11_c04,0,0,5,0,0,0,black,BasketballDunk
v_BasketballDunk_g12_c01,1,0,4,0,0,0,black,BasketballDunk
v_BasketballDunk_g12_c02,0,0,4,1,0,0,black,BasketballDunk
v_BasketballDunk_g13_c03,0,1,3,1,0,0,black,BasketballDunk
v_BasketballDunk_g14_c04,3,0,2,0,0,0,white,BasketballDunk
v_BasketballDunk_g15_c02,0,0,1,0,4,0,indian,BasketballDunk
v_BasketballDunk_g15_c03,0,1,1,3,0,0,middle_eastern,BasketballDunk
v_BasketballDunk_g15_c07,0,0,1,1,3,0,indian,BasketballDunk
v_BasketballDunk_g16_c01,3,2,0,0,0,0,white,BasketballDunk
v_BasketballDunk_g17_c01,0,0,3,0,2,0,black,BasketballDunk
v_BasketballDunk_g17_c02,0,2,3,0,0,0,black,BasketballDunk
v_BasketballDunk_g17_c03,0,1,4,0,0,0,black,BasketballDunk
v_BasketballDunk_g18_c03,1,3,1,0,0,0,asian,BasketballDunk
v_BasketballDunk_g18_c05,1,2,0,0,2,0,asian,BasketballDunk
v_BasketballDunk_g19_c01,1,1,3,0,0,0,black,BasketballDunk
v_BasketballDunk_g19_c03,0,2,3,0,0,0,black,BasketballDunk
v_BasketballDunk_g20_c01,3,1,0,0,1,0,white,BasketballDunk
v_BasketballDunk_g20_c05,0,0,1,4,0,0,middle_eastern,BasketballDunk
v_BasketballDunk_g20_c06,0,1,1,1,2,0,indian,BasketballDunk
v_BasketballDunk_g21_c01,1,1,1,0,0,2,hispanic,BasketballDunk
v_BasketballDunk_g21_c03,0,2,2,1,0,0,asian,BasketballDunk
v_BasketballDunk_g23_c02,1,1,0,1,1,1,white,BasketballDunk
v_BasketballDunk_g23_c04,0,3,2,0,0,0,asian,BasketballDunk
v_BasketballDunk_g23_c05,2,2,1,0,0,0,white,BasketballDunk
v_BasketballDunk_g24_c02,0,2,0,1,2,0,asian,BasketballDunk
v_BasketballDunk_g24_c05,2,0,1,2,0,0,white,BasketballDunk
v_BasketballDunk_g25_c03,1,0,4,0,0,0,black,BasketballDunk
v_Basketball_g01_c06,4,0,1,0,0,0,white,Basketball
v_Basketball_g01_c07,4,0,1,0,0,0,white,Basketball
v_Basketball_g03_c03,0,2,0,1,2,0,asian,Basketball
v_Basketball_g04_c01,4,0,0,0,1,0,white,Basketball
v_Basketball_g04_c04,4,0,1,0,0,0,white,Basketball
v_Basketball_g05_c02,5,0,0,0,0,0,white,Basketball
v_Basketball_g05_c03,5,0,0,0,0,0,white,Basketball
v_Basketball_g06_c01,0,0,0,0,5,0,indian,Basketball
v_Basketball_g06_c02,0,1,0,0,4,0,indian,Basketball
v_Basketball_g07_c03,0,2,0,0,3,0,indian,Basketball
v_Basketball_g07_c04,1,3,0,0,1,0,asian,Basketball
v_Basketball_g08_c01,3,2,0,0,0,0,white,Basketball
v_Basketball_g08_c03,1,1,0,0,3,0,indian,Basketball
v_Basketball_g08_c04,1,0,4,0,0,0,black,Basketball
v_Basketball_g09_c02,2,3,0,0,0,0,asian,Basketball
v_Basketball_g09_c04,3,0,1,0,1,0,white,Basketball
v_Basketball_g10_c02,0,0,1,0,4,0,indian,Basketball
v_Basketball_g11_c02,0,0,4,0,1,0,black,Basketball
v_Basketball_g12_c03,0,0,2,0,0,3,hispanic,Basketball
v_Basketball_g12_c05,0,0,2,0,0,3,hispanic,Basketball
v_Basketball_g13_c01,0,1,0,0,2,2,indian,Basketball
v_Basketball_g13_c04,0,0,0,0,3,2,indian,Basketball
v_Basketball_g14_c01,2,1,2,0,0,0,white,Basketball
v_Basketball_g14_c03,4,0,1,0,0,0,white,Basketball
v_Basketball_g15_c02,2,3,0,0,0,0,asian,Basketball
v_Basketball_g15_c05,2,3,0,0,0,0,asian,Basketball
v_Basketball_g15_c07,2,3,0,0,0,0,asian,Basketball
v_Basketball_g16_c01,0,0,4,0,1,0,black,Basketball
v_Basketball_g16_c03,0,0,4,0,0,1,black,Basketball
v_Basketball_g17_c01,0,2,2,0,1,0,asian,Basketball
v_Basketball_g17_c04,0,1,4,0,0,0,black,Basketball
v_Basketball_g18_c03,0,0,4,0,0,1,black,Basketball
v_Basketball_g18_c04,3,1,1,0,0,0,white,Basketball
v_Basketball_g18_c05,3,1,0,0,0,1,white,Basketball
v_Basketball_g19_c03,0,3,2,0,0,0,asian,Basketball
v_Basketball_g19_c06,0,3,2,0,0,0,asian,Basketball
v_Basketball_g20_c03,0,4,0,0,1,0,asian,Basketball
v_Basketball_g20_c07,0,3,0,0,2,0,asian,Basketball
v_Basketball_g21_c02,0,2,2,0,0,1,asian,Basketball
v_Basketball_g21_c06,1,2,0,0,2,0,asian,Basketball
v_Basketball_g22_c02,0,1,0,1,0,3,hispanic,Basketball
v_Basketball_g22_c06,1,0,0,0,1,3,hispanic,Basketball
v_Basketball_g22_c07,0,1,1,0,2,1,indian,Basketball
v_Basketball_g23_c03,2,0,0,1,2,0,white,Basketball
v_Basketball_g24_c01,2,3,0,0,0,0,asian,Basketball
v_BenchPress_g07_c03,1,0,1,0,0,3,hispanic,BenchPress
v_BenchPress_g07_c04,1,0,2,1,0,1,black,BenchPress
v_BenchPress_g07_c06,2,0,0,0,0,3,hispanic,BenchPress
v_BenchPress_g07_c07,0,0,3,0,0,2,black,BenchPress
v_BenchPress_g10_c02,2,1,1,1,0,0,white,BenchPress
v_BenchPress_g10_c03,0,0,0,2,0,3,hispanic,BenchPress
v_BenchPress_g12_c01,4,0,0,0,0,1,white,BenchPress
v_BenchPress_g12_c02,2,0,0,0,0,3,hispanic,BenchPress
v_BenchPress_g12_c03,4,0,0,0,0,1,white,BenchPress
v_BenchPress_g12_c04,2,1,0,0,0,2,white,BenchPress
v_BenchPress_g13_c05,3,2,0,0,0,0,white,BenchPress
v_BenchPress_g13_c06,3,2,0,0,0,0,white,BenchPress
v_BenchPress_g17_c02,2,0,3,0,0,0,black,BenchPress
v_BenchPress_g17_c03,2,0,3,0,0,0,black,BenchPress
v_BenchPress_g17_c06,2,0,3,0,0,0,black,BenchPress
v_BenchPress_g22_c02,4,0,0,0,0,1,white,BenchPress
v_BenchPress_g22_c04,4,0,0,0,0,1,white,BenchPress
v_BenchPress_g22_c06,1,0,0,2,0,2,middle_eastern,BenchPress
v_BenchPress_g22_c07,3,0,1,0,0,1,white,BenchPress
v_BenchPress_g23_c01,3,0,0,0,0,2,white,BenchPress
v_BenchPress_g23_c02,2,0,3,0,0,0,black,BenchPress
v_BenchPress_g23_c05,4,0,0,0,0,1,white,BenchPress
v_BenchPress_g24_c03,2,0,1,0,0,2,white,BenchPress
v_BenchPress_g24_c04,3,0,0,0,0,2,white,BenchPress
v_Biking_g02_c06,0,3,1,0,0,1,asian,Biking
v_Biking_g04_c01,0,5,0,0,0,0,asian,Biking
v_Biking_g04_c05,1,1,1,0,0,2,hispanic,Biking
v_Biking_g05_c01,1,0,0,2,0,2,middle_eastern,Biking
v_Biking_g05_c02,1,0,0,0,0,4,hispanic,Biking
v_Biking_g05_c03,0,1,0,0,2,2,indian,Biking
v_Biking_g05_c05,0,1,0,0,2,2,indian,Biking
v_Biking_g05_c06,0,1,3,0,0,1,black,Biking
v_Biking_g06_c04,0,2,0,0,0,3,hispanic,Biking
v_Biking_g06_c05,2,0,0,0,0,3,hispanic,Biking
v_Biking_g07_c05,0,1,0,0,0,4,hispanic,Biking
v_Biking_g07_c06,4,0,0,0,0,1,white,Biking
v_Biking_g08_c01,0,1,4,0,0,0,black,Biking
v_Biking_g08_c02,0,0,4,1,0,0,black,Biking
v_Biking_g08_c05,0,1,0,3,0,1,middle_eastern,Biking
v_Biking_g09_c01,0,0,1,1,1,2,hispanic,Biking
v_Biking_g09_c02,0,2,0,1,2,0,asian,Biking
v_Biking_g10_c02,0,2,0,0,0,3,hispanic,Biking
v_Biking_g10_c05,1,0,0,0,0,4,hispanic,Biking
v_Biking_g11_c04,1,2,2,0,0,0,asian,Biking
v_Biking_g12_c04,0,3,0,0,0,2,asian,Biking
v_Biking_g13_c01,0,4,0,0,1,0,asian,Biking
v_Biking_g13_c02,0,4,0,0,1,0,asian,Biking
v_Biking_g13_c06,1,0,3,0,0,1,black,Biking
v_Biking_g14_c02,2,2,1,0,0,0,white,Biking
v_Biking_g17_c01,1,3,0,0,1,0,asian,Biking
v_Biking_g18_c01,0,0,0,3,0,2,middle_eastern,Biking
v_Biking_g18_c02,1,1,0,1,0,2,hispanic,Biking
v_Biking_g18_c05,0,0,1,1,0,3,hispanic,Biking
v_Biking_g20_c03,1,0,0,3,0,1,middle_eastern,Biking
v_Biking_g20_c05,0,1,0,0,0,4,hispanic,Biking
v_Biking_g21_c02,0,2,0,2,1,0,asian,Biking
v_Biking_g22_c01,0,4,0,0,0,1,asian,Biking
v_Biking_g22_c03,3,2,0,0,0,0,white,Biking
v_Biking_g22_c04,3,2,0,0,0,0,white,Biking
v_Biking_g24_c02,2,1,2,0,0,0,white,Biking
v_Biking_g24_c03,2,1,2,0,0,0,white,Biking
v_Biking_g24_c06,0,3,1,1,0,0,asian,Biking
v_Biking_g25_c03,1,0,1,2,0,1,middle_eastern,Biking
v_Billiards_g01_c04,0,5,0,0,0,0,asian,Billiards
v_Billiards_g02_c01,1,4,0,0,0,0,asian,Billiards
v_Billiards_g02_c03,1,1,3,0,0,0,black,Billiards
v_Billiards_g02_c05,2,0,3,0,0,0,black,Billiards
v_Billiards_g07_c02,2,0,3,0,0,0,black,Billiards
v_Billiards_g08_c01,0,0,0,0,5,0,indian,Billiards
v_Billiards_g08_c02,0,5,0,0,0,0,asian,Billiards
v_Billiards_g10_c01,3,0,1,0,1,0,white,Billiards
v_Billiards_g10_c02,0,4,1,0,0,0,asian,Billiards
v_Billiards_g10_c04,3,1,1,0,0,0,white,Billiards
v_Billiards_g15_c01,1,0,2,0,0,2,black,Billiards
v_Billiards_g15_c07,0,1,0,0,0,4,hispanic,Billiards
v_Billiards_g16_c04,2,3,0,0,0,0,asian,Billiards
v_Billiards_g19_c01,1,0,3,0,1,0,black,Billiards
v_Billiards_g19_c04,0,0,1,0,4,0,indian,Billiards
v_Billiards_g19_c06,0,5,0,0,0,0,asian,Billiards
v_Billiards_g20_c01,0,2,0,3,0,0,middle_eastern,Billiards
v_Billiards_g20_c02,3,2,0,0,0,0,white,Billiards
v_Billiards_g23_c01,1,0,0,0,0,4,hispanic,Billiards
v_Billiards_g23_c03,2,0,3,0,0,0,black,Billiards
v_Billiards_g24_c01,1,0,3,1,0,0,black,Billiards
